SAMPLES,c1_4238,c1_4925,c2_10615,c2_10690,c2_13133,c2_19081,c2_27635,c2_30460,c2_33657,c2_4030,c2_44816,c2_52196,c2_52202,c2_52203,c2_56602
15061942,4,2,3,1,0,2,3,3,2,2,3,0,4,4,1
15061763,4,1,4,0,0,1,3,3,2,3,2,0,4,4,1
15061801,2,1,4,0,2,3,4,3,3,3,2,0,4,4,0
15061494,4,2,4,0,0,1,3,2,2,4,4,0,4,4,0
15061613,4,0,4,0,0,2,3,4,4,2,2,0,2,4,1
15062137,3,3,3,1,1,1,3,2,3,1,1,1,3,3,0
15061319,4,3,3,1,0,2,4,2,2,2,1,0,4,4,0
15062142,2,1,2,1,2,2,4,4,2,3,1,0,4,4,0
15060320,4,2,4,0,0,1,3,3,2,1,2,0,4,4,1
15061768,3,1,3,1,1,2,3,4,4,1,2,0,3,4,0
15061522,3,2,4,0,1,1,2,4,4,3,3,0,4,4,2
15060081,4,2,3,1,0,2,NA,2,2,2,1,0,4,4,0
15061656,4,1,4,0,0,1,4,2,3,2,3,0,4,4,1
15061759,4,1,3,1,0,1,2,3,3,1,3,0,4,4,0
15061928,4,1,3,1,0,3,4,3,3,0,1,0,4,4,0
15061454,3,0,3,1,1,2,4,4,3,3,3,1,3,3,0
15061605,2,1,4,0,2,1,3,4,3,4,2,0,2,4,0
15060087,3,2,3,1,1,1,3,4,2,0,1,1,3,3,1
15061619,3,3,3,1,1,1,3,2,3,1,1,1,3,3,0
15060090,3,1,4,0,1,1,3,4,3,2,2,1,2,3,0
15061731,3,3,3,1,1,1,3,2,3,1,1,1,3,3,0
15061655,4,1,4,0,0,2,4,3,4,2,1,1,3,3,0
15061661,4,0,4,0,0,2,3,4,4,2,2,0,2,4,1
15061499,4,2,3,1,0,1,4,3,3,2,0,0,2,4,0
15061647,4,3,3,1,0,2,4,2,2,2,1,0,4,4,0
15061612,4,1,4,0,0,0,3,2,2,1,2,0,4,4,0
15061742,4,2,3,1,0,1,4,3,3,2,0,0,2,4,0
15061710,3,0,3,1,1,2,4,3,2,3,3,0,4,4,1
15062372,3,1,1,1,1,2,3,3,3,2,1,0,4,4,1
15061583,4,0,4,0,0,2,3,4,4,2,2,0,2,4,1
15061767,3,1,4,0,1,3,3,4,2,1,2,0,4,4,1
15062130,4,2,3,1,0,3,4,4,4,2,1,0,4,4,1
15061637,4,3,3,1,0,2,4,2,2,2,1,0,4,4,0
15061337,3,2,3,1,1,2,3,4,3,1,2,0,4,4,1
15062104,3,2,3,1,1,1,4,3,3,3,2,0,4,4,2
15061579,4,2,4,0,0,0,3,3,2,1,1,0,4,4,NA
15061932,3,0,3,1,1,1,3,4,3,1,2,0,4,4,0
15061603,3,2,3,1,1,1,3,4,2,0,1,1,3,3,1
15060025,4,3,3,1,0,2,4,2,2,2,1,0,4,4,0
15061704,4,3,3,1,0,2,4,2,2,2,1,0,4,4,0
