SAMPLES,c1_11920,c1_12152,c1_15218,c1_4464,c1_7964,c2_12720,c2_18549,c2_28212,c2_32056,c2_35049,c2_39191,c2_50324,c2_51390,c2_53521,c2_55279
15061942,0,4,1,3,2,1,4,0,4,4,4,4,3,3,1
15061763,1,4,1,3,4,2,4,0,3,4,4,4,2,2,0
15061801,1,3,2,3,1,4,4,0,4,4,2,2,4,3,2
15061494,2,4,2,3,3,3,4,0,4,4,2,2,3,1,1
15061613,0,4,1,3,2,1,4,0,2,2,3,4,4,2,2
15062137,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15061319,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15062142,1,3,1,2,3,2,3,1,4,3,2,3,3,2,2
15060320,0,4,2,4,3,2,4,0,4,4,4,4,3,2,0
15061768,0,4,1,2,4,3,4,0,4,4,4,4,3,3,2
15061522,1,4,2,4,2,3,4,0,4,4,4,4,3,3,2
15060081,3,4,1,3,1,3,3,0,3,4,3,NA,3,1,2
15061656,1,3,2,4,1,3,2,1,4,3,3,3,3,2,0
15061759,0,4,1,2,4,3,4,0,4,4,3,2,3,2,2
15061928,0,3,2,1,2,2,4,0,4,4,4,1,3,2,0
15061454,1,4,3,4,2,4,4,0,4,4,3,2,3,1,2
15061605,1,4,2,3,2,3,4,0,2,4,4,4,4,3,3
15060087,1,4,1,3,3,1,4,0,4,4,4,3,4,2,0
15061619,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15060090,1,3,1,3,2,3,3,2,4,3,2,3,3,2,2
15061731,1,4,1,1,3,3,4,0,4,4,4,4,3,2,1
15061655,1,3,0,2,1,3,2,0,4,2,3,3,1,3,2
15061661,0,4,1,3,2,1,4,0,2,2,3,4,4,2,2
15061499,0,4,1,3,2,1,4,0,NA,3,4,4,3,1,2
15061647,2,4,1,3,1,3,4,0,3,4,4,4,3,0,2
15061612,2,4,2,3,4,2,4,0,3,4,4,4,3,2,1
15061742,0,4,1,3,2,1,4,0,NA,3,4,4,3,1,2
15061710,1,4,0,4,2,3,4,0,4,4,3,1,3,2,0
15062372,2,4,0,3,2,2,3,0,4,3,4,4,4,1,2
