SAMPLES,c1_11920,c1_5940,c2_23251,c2_49812,c2_54586
15061942,0,0,1,3,1
15061763,1,1,0,2,2
15061801,1,0,0,1,1
15061494,2,0,0,0,4
15061613,0,1,1,1,3
15062137,1,0,1,1,3
15061319,2,0,2,2,2
15062142,1,1,2,0,4
15060320,0,0,0,0,4
15061768,0,1,0,3,1
15061522,1,1,1,2,2
15060081,3,0,2,2,2
15061656,1,1,0,1,2
15061759,0,2,0,3,1
15061928,0,0,2,2,1
15061454,1,1,1,1,1
15061605,1,0,2,0,2
15060087,1,0,0,2,2
15061619,1,0,1,1,3
15060090,1,2,0,1,1
15061731,1,0,1,1,3
15061655,1,1,1,2,2
15061661,0,1,1,1,3
15061499,0,1,1,2,1
15061647,2,0,2,2,2
15061612,2,0,0,4,0
15061742,0,1,1,2,1
15061710,1,1,0,2,1
15062372,2,2,0,2,1
15061583,0,1,1,1,3
15061767,2,1,0,2,2
15062130,1,0,2,1,3
15061637,2,0,2,2,2
15061337,1,1,0,2,2
15062104,1,1,1,1,3
15061579,1,1,1,3,1
15061932,2,0,1,1,2
15061603,1,0,0,2,2
15060025,2,0,2,2,3
15061704,2,0,2,2,2
15061334,0,0,2,2,2
15061631,1,1,0,2,1
15060964,1,1,2,2,1
15061778,1,0,1,1,3
15061718,1,1,1,1,1
15061486,1,1,1,2,2
15060214,2,0,0,1,3
15061333,1,1,0,3,1
15061962,2,0,1,1,2
15061624,1,0,0,2,3
15061282,0,1,1,1,3
15061529,1,1,1,2,2
15061935,2,0,1,1,3
15061568,0,0,0,1,3
15061491,1,0,1,1,3
15061318,1,1,0,2,1
15061361,1,1,0,2,2
15061515,2,1,0,1,2
15062123,0,1,1,2,1
15061358,2,0,2,2,2
15061428,0,0,2,0,4
15061496,1,1,0,1,3
15061648,0,1,2,1,3
15061808,1,0,0,1,1
15061600,1,0,0,2,3
15061730,2,0,1,2,2
15061623,2,0,2,2,2
15061405,0,1,1,1,3
15061299,0,1,1,1,3
15061578,1,1,1,1,3
15061476,1,0,1,1,2
15061765,1,1,1,2,2
15062111,0,0,1,0,4
15061397,1,0,0,2,2
15061713,2,0,2,2,2
15061584,3,0,1,3,1
15061912,0,0,4,2,1
15061260,2,0,2,2,2
15062099,0,1,1,3,1
15061350,1,0,1,1,3
15060933,1,0,1,2,1
15061548,3,1,1,2,2
15061348,1,1,0,2,2
15061560,2,0,1,1,3
15061544,1,1,0,2,1
15061449,1,1,1,1,1
15062348,0,0,2,0,4
15061916,1,1,0,2,2
15062138,1,0,0,2,2
15061946,1,1,0,1,3
15061676,1,1,0,2,2
15060536,1,2,2,2,2
15061391,1,0,1,1,3
15061662,1,1,1,1,1
15061228,1,2,0,2,0
15061356,1,2,0,1,1
15061963,1,0,1,1,3
15061338,1,0,0,2,2
15062331,1,2,0,1,1
15062098,0,0,2,0,4
15062114,1,1,1,3,1
15062046,0,0,4,2,1
15062370,1,1,1,1,3
15061685,0,1,0,3,1
15061540,0,1,1,2,1
15061721,0,0,2,2,1
15062074,2,1,0,1,3
15062362,1,1,0,2,2
15061689,1,0,1,1,3
15061357,1,1,1,1,3
15061376,0,0,2,0,4
15061308,1,0,1,1,3
