SAMPLES,c1_13006,c1_16534,c1_16540,c1_16542,c1_3098,c1_3497,c1_3499,c1_4347,c1_5112,c1_513,c1_5837,c1_7871,c1_7872,c1_7874,c1_8069,c2_10681,c2_12976,c2_14980,c2_22024,c2_27270,c2_39029,c2_4030,c2_47202,c2_53914,c2_686
15061942,2,1,2,3,4,3,0,3,2,2,1,2,3,1,4,4,2,2,2,3,0,2,2,2,3
15061763,1,1,1,4,3,1,1,3,4,3,0,2,3,1,4,3,1,2,1,2,3,3,3,2,2
15061801,4,2,1,3,2,1,1,4,1,2,0,3,4,0,2,3,4,1,2,4,1,3,4,3,2
15061494,2,0,0,4,4,2,1,2,2,2,0,4,4,0,4,4,3,0,2,2,1,4,4,2,3
15061613,2,2,2,3,NA,3,2,1,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15062137,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061319,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15062142,2,1,2,4,4,3,1,3,3,2,0,3,4,0,2,4,4,0,2,3,1,3,4,2,3
15060320,1,2,2,3,3,3,1,4,3,3,0,3,3,1,4,3,2,2,2,3,1,1,2,1,2
15061768,2,3,3,3,4,2,0,1,3,2,0,4,4,0,3,4,2,0,2,3,0,1,4,1,4
15061522,2,2,1,3,3,2,0,2,2,0,1,4,4,0,4,4,2,2,1,3,3,3,4,2,2
15060081,2,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,2
15061656,1,2,2,4,4,3,2,1,2,2,0,4,4,0,4,2,1,0,1,4,1,2,4,2,2
15061759,1,2,1,4,4,4,1,2,3,1,0,4,4,0,2,4,2,0,2,3,0,1,4,NA,3
15061928,2,2,0,4,4,2,0,1,3,2,1,3,3,1,3,4,4,1,2,3,2,0,1,2,3
15061454,0,0,1,4,4,2,0,2,1,1,0,2,2,0,4,4,3,2,2,3,1,3,4,1,4
15061605,2,2,1,3,3,2,1,3,2,3,0,3,3,0,1,4,1,1,2,4,1,4,4,3,3
15060087,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15061619,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15060090,3,1,2,2,3,1,0,4,1,3,0,2,2,1,3,4,2,3,2,3,2,2,3,2,1
15061731,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061655,1,2,3,4,3,3,1,3,2,1,0,3,3,1,3,3,2,1,2,3,2,2,4,2,1
15061661,2,2,2,3,NA,3,2,2,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15061499,2,1,1,4,4,2,1,2,1,3,0,3,3,1,4,3,1,2,1,3,1,2,3,2,4
15061647,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061612,1,2,2,3,4,0,0,2,3,4,0,3,4,0,4,4,2,2,0,3,1,1,4,2,3
15061742,2,1,1,4,4,2,1,1,1,3,0,3,3,1,4,3,1,2,1,3,1,2,3,2,4
15061710,0,0,1,3,3,4,2,3,3,0,1,3,3,1,4,3,1,2,1,2,3,3,3,3,1
15062372,2,1,1,4,3,4,1,3,1,3,1,3,3,1,4,3,3,2,3,3,2,2,3,1,3
15061583,2,2,2,3,NA,3,2,1,2,3,0,3,3,0,3,3,2,2,3,4,0,2,4,3,3
15061767,1,1,1,4,3,2,1,3,2,4,1,3,3,1,4,3,2,2,2,3,3,1,3,2,1
15062130,1,2,2,4,4,2,1,2,1,4,0,4,4,0,3,3,1,0,1,4,2,2,4,2,3
15061637,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061337,2,2,2,4,3,3,1,2,2,1,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15062104,2,2,0,4,3,3,0,2,2,3,1,3,3,1,4,4,2,2,2,2,2,3,3,2,1
15061579,2,2,2,3,4,3,2,3,1,2,1,3,4,0,3,2,0,0,3,4,0,1,3,3,4
15061932,1,1,1,4,3,2,0,4,2,2,2,2,4,0,4,3,2,0,1,4,2,1,4,3,3
15061603,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15060025,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061704,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061334,2,2,2,4,4,3,1,3,2,2,0,4,4,0,4,3,3,0,1,3,1,1,4,3,2
15061631,1,0,1,3,3,4,2,3,3,0,1,3,3,1,4,3,1,2,1,2,2,3,3,3,1
15060964,1,1,1,4,4,2,0,2,4,4,1,4,4,0,4,4,2,0,2,3,2,3,4,2,0
15061778,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061718,0,0,1,4,4,2,0,2,1,2,0,2,2,0,4,4,3,2,2,3,1,3,4,1,4
15061486,2,1,3,3,4,2,0,3,2,3,0,4,4,0,2,2,3,2,0,2,0,2,4,1,2
15060214,1,1,2,4,4,3,1,3,2,1,2,2,3,0,4,3,3,2,1,4,2,1,4,2,3
15061333,2,3,1,4,3,1,0,2,3,2,1,3,3,1,4,4,2,2,1,3,0,1,2,2,3
15061962,1,1,1,4,3,2,0,4,2,2,2,2,4,0,4,3,2,0,1,4,2,1,4,3,3
15061624,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15061282,2,2,2,3,NA,3,2,2,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15061529,2,2,1,3,4,2,2,2,1,3,1,1,2,2,4,4,2,NA,1,2,1,2,2,2,2
15061935,1,1,1,4,3,2,0,4,1,2,2,2,4,0,4,3,2,0,1,4,2,1,4,3,3
15061568,3,1,1,4,3,2,0,3,3,4,0,4,4,0,3,4,4,0,1,3,0,2,4,2,3
15061491,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061318,1,3,3,4,3,3,2,2,2,2,1,4,4,0,3,4,3,2,2,3,1,1,4,2,2
15061361,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061515,2,1,2,4,4,3,2,3,2,3,1,3,3,0,4,2,2,1,1,4,1,2,4,3,2
15062123,2,1,1,4,4,2,1,2,1,3,0,3,3,1,4,3,1,2,1,3,1,2,3,2,4
15061358,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061428,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15061496,1,1,1,3,4,4,1,1,2,1,0,4,4,0,4,4,2,0,3,2,1,2,4,2,3
15061648,2,0,1,4,3,3,1,3,2,4,1,2,3,1,4,3,3,2,1,3,0,1,3,3,0
15061808,4,2,1,3,2,1,1,4,1,2,0,3,4,0,2,3,3,1,2,4,1,3,4,3,2
15061600,2,1,1,4,4,3,0,1,0,2,1,4,4,0,4,4,4,0,2,3,1,2,4,2,2
15061730,2,2,2,3,4,2,0,1,2,2,1,3,3,1,3,4,1,3,2,3,1,1,3,3,3
15061623,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061405,2,2,2,3,NA,3,2,2,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15061299,2,2,2,3,NA,3,2,1,2,3,0,3,3,0,3,3,2,1,3,4,0,2,4,3,3
15061578,2,2,0,4,3,3,0,2,2,3,1,3,3,1,4,4,2,2,2,2,2,3,3,2,1
15061476,2,2,3,3,3,4,3,1,1,2,0,3,4,0,3,3,3,2,0,3,1,1,4,1,2
15061765,2,2,1,3,4,2,2,2,1,3,1,1,2,2,4,4,2,NA,1,2,1,2,2,2,2
15062111,3,1,1,4,3,2,1,1,2,2,0,2,3,1,3,3,2,2,1,3,1,1,3,2,3
15061397,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15061713,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15061584,2,2,4,2,4,2,0,3,1,2,0,3,4,0,3,3,2,0,0,4,0,2,4,3,2
15061912,0,2,0,4,4,2,2,1,1,2,1,1,4,0,4,4,1,2,0,3,2,3,4,2,1
15061260,3,1,1,4,4,2,1,3,1,2,1,3,3,1,4,3,2,2,1,3,1,2,3,2,3
15062099,1,3,3,4,2,2,1,3,2,3,0,4,4,0,3,3,2,0,3,4,1,1,4,2,1
15061350,2,1,1,4,4,2,0,2,3,3,0,3,3,1,3,4,4,2,2,3,3,3,3,3,3
15060933,2,1,3,1,4,1,1,3,0,2,2,4,4,0,3,3,3,0,3,3,2,2,4,4,3
15061548,1,3,2,4,4,2,0,3,1,3,0,4,4,0,4,4,2,0,1,3,1,2,4,2,4
15061348,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061560,1,1,2,4,4,2,1,1,2,2,1,3,3,0,4,3,2,2,1,4,0,2,4,3,2
15061544,3,3,2,3,4,3,0,4,3,3,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15061449,0,0,1,4,4,2,0,2,1,2,0,2,2,0,4,4,3,2,2,3,1,3,4,1,4
15062348,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15061916,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,2,2,2
15062138,3,2,2,3,4,2,0,4,3,2,NA,4,4,NA,4,4,2,1,0,4,1,0,4,1,3
15061946,1,1,1,3,4,4,1,1,2,1,0,4,4,0,4,4,2,0,3,2,1,2,4,2,3
15061676,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15060536,2,1,3,2,4,2,2,2,1,4,1,4,4,0,4,4,3,0,2,3,3,3,4,3,1
15061391,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061662,0,0,1,4,4,2,0,2,1,2,0,2,2,0,4,4,3,2,2,3,1,3,4,1,4
15061228,1,1,3,4,4,2,2,2,1,3,0,4,4,0,2,2,0,0,0,4,2,3,4,2,2
15061356,3,1,2,2,3,1,0,4,1,3,0,2,2,1,3,4,2,3,2,3,2,2,3,2,1
15061963,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061338,3,2,2,3,4,2,0,4,3,2,0,4,4,0,4,4,2,0,0,4,1,0,4,1,3
15062331,3,1,2,2,NA,1,0,4,1,3,0,2,2,1,3,4,2,3,2,3,2,2,3,3,1
15062098,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15062114,2,2,2,3,4,3,2,3,1,2,1,3,4,0,3,2,0,0,3,4,0,1,3,3,4
15062046,0,2,0,4,4,2,2,1,1,2,1,1,4,0,4,4,1,2,0,3,2,3,4,2,1
15062370,2,2,0,4,3,3,0,2,2,3,1,3,3,1,4,4,2,2,2,2,2,3,3,2,1
15061685,2,1,1,4,3,1,1,3,2,3,1,3,3,1,4,3,2,2,1,3,2,2,3,2,3
15061540,2,1,1,4,4,2,1,2,1,3,0,3,3,1,4,3,1,2,1,3,1,2,3,2,4
15061721,3,1,1,4,4,1,0,2,2,4,1,3,3,1,2,4,2,1,3,3,2,1,3,2,1
15062074,1,2,2,4,4,3,1,3,3,4,1,4,4,0,4,3,3,0,1,4,1,2,4,2,3
15062362,2,2,2,4,3,3,1,2,2,2,1,3,3,1,4,3,2,2,2,3,1,1,3,2,2
15061689,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
15061357,2,2,0,4,3,3,0,1,2,3,1,3,3,1,4,4,2,2,2,2,2,3,3,2,1
15061376,3,2,2,4,3,3,1,3,3,4,1,3,3,1,4,3,2,2,1,3,2,1,3,3,3
15061308,1,1,1,4,4,2,1,3,3,3,1,4,4,0,4,3,2,0,1,3,1,1,4,3,2
