"GSCORE","SNP","CHROM","POS","TRAIT","ANNOT"
"0.982","c1_5483","chr08","57177039","CBaya.H","Glutamate--cysteine ligase, bacteria and plant"
"0.966","c1_7964","chr02","38139240","CPFlor.C","NAD dependent epimerase/dehydratase family"
"0.966","c2_12720","chr07","54318643","CPFlor.C","G protein beta WD-40 repeat signature"
"0.955","c2_21934","chr04","5765944","CSBrote.C","OCRE domain"
"0.954","c1_8194","chr03","55211205","CPFlor.L","Signal recognition particle SRP54, helical bundle"
"0.951","c2_51974","chr08","2472934","CSBrote.C","Pyridoxal phosphate-dependent transferase domain 1"
"0.947","c1_7874","chr02","43712601","CPulpa.C","Bacterial/plant glycogen synthase"
"0.947","c2_14491","chr01","67248400","CPulpa.C","Virus X resistance protein-like, coiled-coil domain"
"0.938","c1_5936","chr11","28989434","CPBrote.L","Bifunctional aspartokinase/homoserine dehydrogenase, N-terminal catalytic domain"
"0.938","c1_5940","chr11","29258142","CPBrote.L","Leucine-rich repeat domain superfamily"
"0.938","c1_11237","chr11","13277951","CPBrote.L","D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain"
"0.923","c2_47202","chr02","44641059","CPulpa.L","Pyridine nucleotide-disulphide oxidoreductase"
"0.917","c2_32702","chr08","1899939","CPFlor.H",NA
"0.895","c2_36872","chr07","3452120","CSPulpa.H","Chloride channel, voltage gated"
"0.895","c2_36859","chr07","3398145","CSPulpa.H","Armadillo-type fold"
"0.885","c2_53521","chr01","12643802","CPFlor.H","Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain"
"0.884","c1_4319","chr11","1240937","CPFlor.H","Nmd3, N-terminal"
"0.884","c2_27271","chr02","42001715","CPFlor.H","Ascorbate oxidase homologue, first cupredoxin domain"
"0.884","c2_53273","chr11","10339933","CPFlor.H","Zinc finger, RING/FYVE/PHD-type"
"0.88","c1_14992","chr10","53500596","CPFlor.H","DEAD/DEAH box helicase domain"
"0.88","c2_51390","chr03","1033702","CPFlor.H",NA
"0.88","c2_49910","chr01","86380115","CPFlor.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.88","c2_36577","chr01","84761046","CPFlor.H","Thioredoxin-like superfamily"
"0.88","c2_38952","chr02","26857322","CPFlor.H","Zinc finger, RING/FYVE/PHD-type"
"0.876","c2_54916","chr12","50520906","CPFlor.H","Glycoside hydrolase family 17"
"0.876","c2_45643","chr07","2001373","CPFlor.H","Glycosyl transferase, family 20"
"0.876","c2_18549","chr07","55778768","CPFlor.H","EF-hand domain pair"
"0.866","c1_11907","chr09","58172429","CSPulpa.H","Serine-threonine/tyrosine-protein kinase, catalytic domain"
"0.859","c2_27439","chr02","34015955","CTallo.H","Invertase/pectin methylesterase inhibitor domain superfamily"
"0.847","c2_49313","chr11","10087686","CPBrote.L","Bulb-type lectin domain superfamily"
"0.843","c1_14763","chr08","48388972","CPBrote.L",NA
"0.843","c2_51051","chr08","48748977","CPBrote.L","Pectinacetylesterase/NOTUM"
"0.843","c2_23828","chr05","782722","CPBrote.L","7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK"
"0.843","c2_24556","chr12","59404785","CPBrote.L","Phosphoenolpyruvate carboxylase, bacterial/plant-type"
"0.831","c1_11459","chr02","45124985","CTallo.C","Glucose/ribitol dehydrogenase family signature"
"0.827","c2_56627","chr11","11020656","CPulpa.H","Phosphatidylinositol-4-phosphate 5-kinase, N-terminal"
"0.827","c2_39342","chr04","61680075","CPulpa.H","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"0.825","c1_11495","chr02","24792151","CPFlor.L","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"0.825","c1_13289","chr01","6218981","CPulpa.H","BPM, C-terminal"
"0.823","c2_57401","chr09","47335903","CPulpa.H","Cytochrome b561 and DOMON domain-containing protein"
"0.823","c2_50391","chr02","33624476","CPulpa.H","Zinc finger, RING/FYVE/PHD-type"
"0.823","c2_4200","chr09","37679162","CPulpa.H","Conserved hypothetical ATP binding protein"
"0.823","c2_38405","chr01","63687206","CPulpa.H","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A"
"0.823","c1_8186","chr07","3086913","CPulpa.H","Methyltransferase type 11"
"0.823","c1_8019","chr10","49714737","CPulpa.H","B3 DNA binding domain"
"0.823","c2_34870","chr04","65068637","CPulpa.H","Myc-type, basic helix-loop-helix (bHLH) domain"
"0.823","c2_20698","chr09","63372314","CPulpa.H","Aldehyde dehydrogenase, C-terminal"
"0.823","c2_14731","chr01","86671954","CPulpa.H","ATPase, V0 complex, subunit 116kDa, eukaryotic"
"0.823","c1_4799","chr01","86886038","CPulpa.H","Aldolase-type TIM barrel"
"0.823","c2_4910","chr01","83816270","CPulpa.H","Pyruvate kinase family signature"
