"GSCORE","SNP","TRAIT","SIGNIFICANCE","REF","SNP_POS","SEQID","GOTERMS","SOURCEANNOT","ANNOT"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.04G026670.1",NA,"Pfam","Neprosin"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.08G027770.1","GO:0006750, GO:0004357, GO:0042398, GO:0003824","PIRSF","Glutamate--cysteine ligase, bacteria and plant"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.08G027770.1","GO:0006750, GO:0004357, GO:0042398, GO:0003824","Pfam","Glutamate-cysteine ligase family 2(GCS2)"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.08G027770.1","GO:0006750, GO:0004357, GO:0042398, GO:0003824","SUPERFAMILY","Glutamine synthetase/guanido kinase, catalytic domain"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.08G027770.1","GO:0006750, GO:0004357, GO:0042398, GO:0003824","TIGRFAM","glu_cys_lig_pln: glutamate--cysteine ligase"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","CDD","MATH/TRAF domain"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","Gene3D","TRAF-like"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","Pfam","MATH/TRAF domain"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","Pfam","Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","ProSitePatterns","Ubiquitin specific protease (USP) domain signature 1."
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","ProSitePatterns","Ubiquitin specific protease (USP) domain signature 2."
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","ProSiteProfiles","MATH/TRAF domain profile."
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","ProSiteProfiles","Ubiquitin specific protease (USP) domain profile."
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","SMART","MATH/TRAF domain"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","SUPERFAMILY","Papain-like cysteine peptidase superfamily"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.10G025740.1","GO:0036459, GO:0006511, GO:0016579, GO:0005515","SUPERFAMILY","TRAF domain-like"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","Gene3D","Leucine-rich repeat domain superfamily"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","PRINTS","C2 domain signature"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","Pfam","C2 domain"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","Pfam","Leucine-rich repeat"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","Pfam","Synaptotagmin-like mitochondrial-lipid-binding domain"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","ProSiteProfiles","C2 domain profile."
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","ProSiteProfiles","Synaptotagmin-like mitochondrial lipid-binding proteins (SMP) domain profile."
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","SMART","C2 domain"
0.987,"c1_5483","CBaya.H",TRUE,"chr08",57177039,"Soltu.DM.12G027080.1","GO:0005515, GO:0008289","SMART","Leucine-rich repeat, typical subtype"
0.971,"c1_7964","CPFlor.C",TRUE,"chr02",38139240,"Soltu.DM.02G024900.1","GO:0003824","Pfam","NAD dependent epimerase/dehydratase family"
0.971,"c1_7964","CPFlor.C",TRUE,"chr02",38139240,"Soltu.DM.02G024900.1","GO:0003824","SUPERFAMILY","NAD(P)-binding Rossmann-fold domains"
0.971,"c1_7964","CPFlor.C",TRUE,"chr02",38139240,"Soltu.DM.02G024900.2","GO:0003824","Pfam","NAD dependent epimerase/dehydratase family"
0.971,"c1_7964","CPFlor.C",TRUE,"chr02",38139240,"Soltu.DM.02G024900.2","GO:0003824","SUPERFAMILY","NAD(P)-binding Rossmann-fold domains"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.1","GO:0016857, GO:0005975, GO:0003824","CDD","Ribulose-phosphate 3-epimerase-like"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.1","GO:0016857, GO:0005975, GO:0003824","Gene3D","Aldolase-type TIM barrel"
0.971,"c2_12720","CPFlor.C",TRUE,"chr07",54318643,"Soltu.DM.03G029950.1","GO:0016857, GO:0005975, GO:0003824","Pfam","Ribulose-phosphate 3 epimerase family"
