SAMPLES,c2_10615,c2_10690,c2_33657,c2_44816,c2_52202
15060021,3,1,2,3,4
15060027,4,0,2,1,4
15060039,3,1,4,2,4
15060042,4,0,3,2,4
15060050,4,0,3,2,2
15060056,4,2,2,3,3
15060063,4,0,3,3,3
15060070,3,1,2,1,3
15060072,4,0,2,3,3
15060082,4,0,2,2,4
15060085,3,1,3,2,4
15060097,4,1,3,2,4
15060101,3,1,4,0,1
15060102,4,0,3,3,3
15060110,3,1,2,1,3
15060112,3,1,3,2,4
15060114,4,0,4,2,2
15060120,4,0,2,3,4
15060121,4,0,2,2,4
15060122,4,0,3,2,2
15060138,3,1,4,3,4
15060160,4,0,3,2,2
15060187,4,0,3,3,3
15060188,3,1,2,2,3
15060190,3,1,2,2,4
15060191,3,1,3,0,2
15060215,4,0,4,2,3
15060313,4,0,2,2,3
15060345,3,1,4,2,4
15060383,4,0,2,2,3
15060420,3,1,4,2,4
15060543,4,0,1,2,3
15060570,4,0,3,3,4
15060797,4,0,1,2,4
15060846,4,0,3,2,2
15060907,4,0,3,3,2
15060909,3,1,3,2,4
15060910,3,1,4,2,3
15061007,4,0,2,3,4
15061011,3,1,2,1,4
15061122,4,0,3,2,2
15061204,4,0,2,2,3
15061213,3,1,4,2,4
15061215,3,1,4,2,4
15061216,4,1,3,2,2
15061225,4,0,4,2,2
15061226,4,0,2,3,4
15061237,4,0,1,2,3
15061256,4,1,3,3,4
15061257,4,0,1,2,3
15061258,4,0,2,3,4
15061259,3,1,2,1,3
15061261,3,1,2,1,4
15061262,3,1,4,0,1
15061263,2,2,4,0,3
15061264,3,1,4,1,2
15061265,4,0,2,1,4
15061270,4,0,3,3,4
15061271,4,0,1,2,2
15061273,4,0,2,1,4
15061274,3,1,4,1,4
15061277,4,0,3,2,3
15061279,3,1,3,1,4
15061281,3,1,4,2,4
15061283,3,1,3,2,4
15061286,4,0,1,2,2
15061288,3,1,4,2,4
15061289,3,1,4,2,4
15061290,3,1,2,2,4
15061291,3,1,2,2,3
15061293,4,0,2,2,4
15061295,4,0,3,4,4
15061296,3,1,2,3,4
15061297,4,1,3,3,4
15061298,3,1,1,2,3
15061300,4,0,2,1,4
15061301,3,1,1,2,3
15061302,3,1,2,0,4
15061303,3,1,3,2,4
15061305,4,0,2,2,4
15061307,4,0,4,2,3
15061312,3,1,2,2,3
15061313,3,1,3,0,2
15061314,3,1,4,1,3
15061317,3,1,4,0,1
15061320,4,0,2,4,4
15061323,4,0,4,2,2
15061324,4,0,2,3,2
15061327,3,1,2,1,4
15061329,3,1,3,2,4
15061330,4,0,2,1,1
15061331,3,1,1,1,4
15061335,3,1,1,1,4
15061336,4,0,3,1,3
15061340,3,1,2,1,3
15061342,3,1,3,2,4
15061344,4,0,2,2,4
15061345,3,1,4,2,4
15061346,3,1,4,2,4
15061347,3,1,3,3,4
15061349,4,0,3,1,4
15061352,3,1,3,1,3
15061353,3,1,3,2,4
15061355,3,1,3,2,4
15061360,3,1,3,2,4
15061364,3,1,3,2,4
15061365,3,1,4,2,4
15061367,3,1,4,2,4
15061368,4,0,2,2,4
15061369,4,0,2,2,4
15061370,3,1,4,2,4
15061377,3,1,2,1,4
15061378,3,1,1,1,4
15061380,3,1,3,3,4
15061382,4,0,4,2,2
15061383,3,1,3,2,4
15061384,3,1,2,1,3
15061385,3,1,2,1,3
15061386,4,0,2,2,4
15061388,4,0,2,2,4
15061389,3,1,3,1,3
15061390,3,1,3,1,3
15061392,4,1,2,4,3
15061394,3,1,4,0,1
15061396,3,1,4,0,1
15061404,3,1,3,1,3
15061406,3,1,3,2,4
15061410,2,1,2,1,4
15061411,3,1,4,2,3
15061414,3,1,3,1,3
15061415,4,0,3,3,3
15061417,3,1,3,1,3
15061418,3,1,3,1,3
15061419,3,1,2,1,3
15061420,4,0,2,4,4
15061421,3,1,2,1,4
15061422,3,3,2,1,3
15061423,3,3,2,2,2
15061424,4,0,2,3,4
15061425,3,1,4,2,4
15061430,3,1,4,2,4
15061434,4,0,3,3,3
15061435,4,0,2,2,4
15061436,4,1,2,2,3
15061437,3,1,3,3,4
15061438,3,1,3,1,3
15061439,3,1,3,3,4
15061441,4,0,2,1,4
15061442,3,1,4,2,3
15061443,4,1,2,2,3
15061444,4,0,3,3,2
15061445,4,0,2,1,4
15061447,3,3,2,2,3
15061453,4,0,2,1,4
15061458,3,1,4,2,4
15061459,3,1,3,1,3
15061461,3,1,4,2,4
15061462,3,1,3,3,4
15061463,3,2,2,1,3
15061469,4,0,2,2,4
15061470,4,0,3,2,2
15061471,4,0,3,2,2
15061475,3,1,2,1,4
15061477,4,0,3,3,2
15061478,3,1,2,1,3
