SAMPLES,c1_4803,c2_14841,c2_28012,c2_38167,c2_44000
15060021,2,1,1,0,3
15060027,3,2,0,1,3
15060039,2,1,0,1,4
15060042,3,1,1,0,3
15060050,1,1,1,0,3
15060056,4,1,1,0,3
15060063,4,4,0,0,4
15060070,2,1,0,0,4
15060072,2,1,1,2,4
15060082,3,1,0,0,3
15060085,3,3,0,0,3
15060097,2,2,0,2,3
15060101,4,2,0,0,3
15060102,2,1,0,0,4
15060110,2,1,0,0,4
15060112,3,1,0,0,3
15060114,3,2,0,0,3
15060120,2,1,0,0,3
15060121,2,0,0,0,4
15060122,1,1,1,0,3
15060138,2,1,0,0,4
15060160,2,1,2,0,3
15060187,2,0,1,0,3
15060188,2,1,0,0,3
15060190,2,1,0,0,3
15060191,2,1,0,0,4
15060215,3,2,0,0,3
15060313,3,2,0,0,2
15060345,2,0,0,0,4
15060383,3,2,0,0,2
15060420,2,0,0,0,4
15060543,1,0,0,0,4
15060570,2,0,0,0,4
15060797,4,2,0,0,3
15060846,1,1,1,0,3
15060907,2,1,0,0,4
15060909,1,0,0,2,4
15060910,3,1,0,0,2
15061007,3,0,0,0,2
15061011,1,1,0,0,3
15061122,1,1,1,0,3
15061204,2,1,0,0,4
15061213,2,1,0,1,4
15061215,2,1,0,1,4
15061216,4,1,0,0,3
15061225,3,2,0,0,3
15061226,2,0,0,0,4
15061237,1,0,0,0,4
15061256,3,2,0,0,4
15061257,2,1,0,0,3
15061258,3,2,1,0,3
15061259,2,1,0,0,4
15061261,1,1,0,0,3
15061262,4,2,0,0,3
15061263,4,3,0,0,4
15061264,4,2,0,0,3
15061265,2,2,2,0,3
15061270,2,2,1,0,3
15061271,3,1,0,2,3
15061273,2,2,2,0,3
15061274,3,1,0,1,3
15061277,4,3,1,1,4
15061279,3,1,0,1,3
15061281,2,1,0,1,4
15061283,3,1,0,0,3
15061286,3,1,0,2,3
15061288,2,1,0,1,4
15061289,2,1,0,1,4
15061290,0,0,0,0,4
15061291,3,1,0,2,2
15061293,3,2,0,0,4
15061295,2,1,0,0,4
15061296,3,1,0,0,3
15061297,3,2,0,0,4
15061298,2,0,1,1,2
15061300,2,0,0,0,4
15061301,2,0,1,1,2
15061302,4,1,0,1,4
15061303,1,0,0,2,4
15061305,2,1,0,0,3
15061307,2,1,0,1,4
15061312,3,1,0,2,2
15061313,2,1,0,0,4
15061314,4,1,0,1,2
15061317,4,2,0,0,3
15061320,2,0,0,0,4
15061323,3,2,0,0,3
15061324,3,1,1,1,3
15061327,1,1,0,0,3
15061329,3,1,1,1,3
15061330,1,0,0,3,2
15061331,3,1,0,0,3
15061335,2,1,1,0,4
15061336,1,1,0,1,4
15061340,2,1,0,0,4
15061342,3,1,0,0,3
15061344,2,1,0,0,3
15061345,2,0,0,0,4
15061346,2,0,0,0,4
15061347,3,2,0,0,2
15061349,3,1,0,0,3
15061352,3,1,1,1,3
15061353,3,1,0,0,3
15061355,3,1,0,0,3
15061360,3,1,0,0,3
15061364,3,1,0,0,3
15061365,2,1,0,1,4
15061367,2,1,0,1,4
15061368,2,0,0,0,4
15061369,2,0,0,0,4
15061370,2,0,0,0,4
15061377,1,1,0,0,3
15061378,2,1,1,0,4
15061380,3,2,0,0,2
15061382,3,2,0,0,3
15061383,3,1,0,0,3
15061384,2,1,0,0,4
15061385,2,1,0,0,4
15061386,2,0,0,0,4
15061388,3,3,1,1,3
15061389,3,1,1,1,3
15061390,3,1,1,1,3
15061392,3,1,0,0,4
15061394,4,2,0,0,3
15061396,4,2,0,0,3
15061404,3,1,1,1,3
15061406,3,1,0,0,3
15061410,1,0,0,0,4
15061411,1,0,0,0,4
15061414,3,1,1,1,3
15061415,3,3,1,0,2
15061417,3,1,1,1,3
15061418,3,1,1,1,3
15061419,2,1,0,0,4
15061420,2,0,0,0,4
15061421,1,1,0,0,3
15061422,4,1,0,0,3
15061423,4,1,0,0,3
15061424,3,2,1,0,3
15061425,2,0,0,0,4
15061430,2,0,0,0,4
15061434,3,3,1,0,2
15061435,3,1,0,1,2
15061436,2,2,0,2,3
15061437,1,1,0,0,3
15061438,3,1,1,1,3
15061439,1,1,0,0,3
15061441,2,0,0,0,4
15061442,1,0,0,0,4
15061443,2,2,0,2,3
15061444,3,2,0,0,3
15061445,2,0,0,0,4
15061447,4,2,0,0,3
15061453,2,0,0,0,4
15061458,2,0,0,0,4
15061459,3,1,1,2,3
15061461,2,0,0,0,4
15061462,1,1,0,0,3
15061463,3,1,0,0,3
15061469,2,1,0,0,3
15061470,1,1,1,0,3
15061471,1,1,1,0,3
15061475,1,1,0,0,3
15061477,3,2,0,0,3
15061478,2,1,0,0,4
15061479,4,1,0,0,3
15061480,2,0,0,0,4
15061481,2,1,0,0,4
15061482,2,2,0,2,3
15061484,2,2,1,0,3
15061485,2,2,0,2,3
15061487,2,1,1,0,3
15061488,3,1,1,1,3
15061489,3,1,1,1,3
15061490,3,1,1,1,3
15061492,3,1,1,1,3
15061493,3,1,0,0,2
15061495,3,2,0,0,2
15061498,3,1,1,1,3
15061500,2,2,0,2,3
15061501,3,3,0,0,3
15061503,4,1,0,0,3
15061504,3,2,0,0,3
15061505,3,1,0,2,3
15061507,1,0,0,0,4
15061508,1,0,0,0,4
15061509,2,1,0,0,4
15061511,2,1,0,0,4
15061514,1,1,0,0,3
15061516,3,3,0,0,3
15061517,3,1,0,0,3
15061518,4,1,0,0,3
15061520,3,2,0,0,3
15061521,3,1,1,0,3
15061523,2,1,0,0,4
15061524,3,2,0,0,2
15061525,1,0,0,0,4
15061526,3,2,1,0,3
15061528,3,2,0,0,2
15061530,1,0,0,0,4
15061533,1,0,0,0,4
15061534,2,1,1,0,3
15061535,3,2,0,0,2
15061536,1,0,0,0,4
15061537,4,2,0,0,3
15061538,2,1,0,0,4
15061539,2,1,0,0,4
15061542,2,1,0,0,4
15061543,2,1,0,1,4
15061546,2,1,0,0,4
15061549,3,1,0,1,3
15061550,3,2,1,0,3
15061551,2,1,0,2,3
15061553,1,1,0,0,2
15061555,1,1,0,0,3
15061556,2,2,0,2,3
15061557,1,1,0,0,3
15061561,1,1,1,2,4
15061564,4,1,0,0,3
15061565,3,2,0,0,2
15061566,2,1,0,0,4
15061567,2,1,0,1,4
15061571,1,0,0,0,4
15061575,2,2,1,0,3
15061576,1,1,1,0,3
15061577,3,1,1,1,3
15061580,3,1,0,0,3
15061585,1,1,1,0,3
15061586,1,1,1,0,3
15061588,2,2,0,2,3
15061601,3,1,0,0,3
15061602,1,1,0,0,2
15061604,2,1,1,2,4
15061608,1,1,1,0,3
15061609,2,1,0,0,4
15061610,3,1,0,0,3
15061614,3,2,0,0,3
15061621,3,3,0,0,3
15061622,1,1,0,0,3
15061626,3,2,0,1,3
15061627,2,0,0,0,3
15061628,2,1,0,0,4
15061629,2,1,0,0,3
15061630,2,1,1,0,3
15061632,3,2,0,0,3
15061633,3,2,0,2,2
15061638,1,1,0,0,3
15061639,3,2,1,0,2
15061640,2,2,0,0,4
15061641,3,2,1,0,2
15061642,1,1,0,0,3
15061645,2,2,0,0,4
15061646,4,2,0,0,3
15061649,2,2,1,1,4
15061650,2,2,2,1,2
15061651,1,0,0,0,4
15061653,2,0,0,0,4
15061654,3,2,0,0,3
15061658,3,2,0,0,3
15061659,1,1,1,0,3
15061665,1,0,0,0,4
15061666,3,1,1,1,3
15061667,2,2,1,0,3
15061668,1,0,0,0,4
15061669,2,1,0,1,2
15061670,3,2,1,0,2
15061671,4,1,0,1,2
15061673,2,1,0,0,4
15061677,3,1,1,1,3
15061678,3,1,1,1,3
15061679,3,1,0,1,2
15061680,3,2,1,0,2
15061682,1,1,0,0,3
15061683,3,1,0,0,3
15061684,2,1,1,1,4
15061686,3,1,0,0,3
15061687,1,0,0,0,3
15061688,3,1,0,0,3
15061690,3,1,1,1,3
15061702,2,2,0,0,4
15061706,2,1,2,0,2
15061707,3,2,1,0,3
15061709,2,1,0,1,2
15061712,3,2,0,1,3
15061714,3,3,1,0,2
15061717,2,1,0,0,3
15061719,4,2,0,0,3
15061720,4,4,1,0,2
15061722,3,2,0,0,3
15061723,3,3,0,0,3
15061724,3,2,0,0,3
15061725,3,3,1,0,2
15061726,3,1,0,0,2
15061729,3,2,1,0,3
15061733,3,1,1,1,3
15061734,3,1,1,1,3
15061735,3,3,1,0,2
15061736,3,2,1,0,3
15061737,3,2,1,0,3
15061738,3,1,1,1,3
15061740,3,3,1,1,2
15061744,2,1,1,1,3
15061747,4,2,0,0,3
15061751,1,1,1,0,3
15061752,3,3,1,1,2
15061753,3,1,1,1,3
15061754,3,1,0,1,4
15061755,1,0,0,1,4
15061756,1,0,0,1,4
15061757,3,1,0,1,2
15061758,1,1,0,0,3
15061760,3,2,1,0,3
15061761,4,2,0,0,3
15061762,3,2,0,0,2
15061764,2,1,0,0,4
15061766,2,1,0,0,4
15061769,3,1,0,2,3
15061771,3,1,1,1,3
15061772,2,0,0,0,4
15061773,2,1,0,0,4
15061776,2,2,0,2,3
15061777,3,1,0,1,2
15061784,3,1,1,1,3
15061785,3,0,0,0,3
15061788,3,2,0,0,2
15061789,2,2,0,2,3
15061790,3,1,0,1,2
15061795,2,1,1,0,3
15061797,3,1,1,1,3
15061798,4,1,0,0,3
15061799,3,1,0,1,2
15061800,3,0,0,0,3
15061811,1,1,0,0,3
15061813,2,2,0,2,3
15061814,3,2,1,0,2
15061815,3,2,0,0,3
15061826,4,1,0,0,3
15061905,2,1,0,1,4
15061906,3,2,0,0,3
15061907,3,2,0,1,0
15061908,3,1,0,1,3
15061909,3,3,0,0,3
15061910,3,2,0,0,3
15061911,1,0,0,2,4
15061915,1,0,0,2,4
15061917,2,0,0,0,4
15061918,1,1,1,0,3
15061926,3,2,0,0,3
15061927,0,0,0,0,3
15061929,2,0,1,0,3
15061930,1,1,1,0,3
15061933,3,1,0,0,3
15061934,3,2,1,0,3
15061937,2,2,2,0,3
15061939,3,1,1,1,3
15061941,2,1,0,1,2
15061944,2,1,0,1,4
15061945,2,0,0,0,4
15061948,3,1,0,0,3
15061949,4,2,0,1,4
15061951,2,0,0,0,4
15061952,3,2,1,0,3
15061953,2,1,0,0,4
15061954,2,0,0,0,4
15061957,3,1,0,1,3
15061958,2,1,0,1,4
15061960,3,2,0,0,3
15061961,2,1,0,0,4
15061964,4,2,0,0,3
15061965,2,1,0,0,3
15061966,2,1,1,0,3
15061967,2,1,0,0,4
15061968,3,1,0,1,2
15061969,2,2,0,0,4
15062036,3,1,1,0,3
15062038,2,0,0,0,4
15062039,2,1,0,1,4
15062050,2,2,1,1,3
15062051,2,0,0,0,4
15062052,2,0,0,0,4
15062053,2,1,0,1,4
15062063,3,1,0,0,3
15062067,2,2,0,0,4
15062069,3,2,0,0,2
15062071,4,2,0,0,3
15062080,4,2,1,1,4
15062081,2,2,0,0,3
15062092,3,1,0,0,3
15062094,2,1,0,0,4
15062097,1,1,0,0,3
15062100,3,2,0,0,3
15062101,2,2,1,0,3
15062102,4,3,0,0,3
15062103,3,1,1,1,3
15062105,2,1,0,0,4
15062106,3,1,1,1,3
15062107,1,0,0,0,4
15062108,3,1,1,1,3
15062109,2,0,0,0,4
15062112,2,1,0,0,4
15062115,2,0,0,0,4
15062117,2,0,0,0,4
15062118,2,0,0,0,4
15062119,3,1,1,1,3
15062122,3,1,1,1,3
15062124,2,1,0,0,4
15062126,2,1,0,0,4
15062133,3,2,0,0,2
15062136,4,4,0,0,4
15062139,3,3,1,0,2
15062143,2,2,1,0,3
15062144,2,1,0,0,4
15062145,3,2,1,0,3
15062146,2,1,1,0,3
