SAMPLES,c1_13482,c1_4799,c2_10681,c2_48370,c2_57401
15060021,2,0,3,2,3
15060027,0,1,2,4,0
15060039,1,3,4,3,0
15060042,1,1,3,4,1
15060050,1,2,4,4,0
15060056,2,1,4,2,0
15060063,2,3,4,4,1
15060070,1,0,4,3,0
15060072,3,3,3,0,0
15060082,2,1,4,3,0
15060085,1,2,3,0,1
15060097,0,2,2,2,0
15060101,3,0,2,1,0
15060102,2,1,4,2,1
15060110,1,0,4,3,0
15060112,2,1,3,2,0
15060114,3,0,3,4,0
15060120,1,0,4,4,1
15060121,3,1,3,3,0
15060122,1,2,4,4,0
15060138,2,3,4,3,0
15060160,1,2,4,4,0
15060187,0,3,4,2,0
15060188,1,1,4,3,0
15060190,2,1,3,3,0
15060191,4,0,3,3,0
15060215,3,0,3,4,0
15060313,1,0,3,2,0
15060345,2,2,3,3,0
15060383,1,0,3,2,0
15060420,2,2,3,3,0
15060543,4,4,3,0,4
15060570,1,3,4,4,1
15060797,2,3,2,1,1
15060846,1,2,4,4,0
15060907,3,3,4,3,2
15060909,2,2,3,2,0
15060910,3,2,3,4,0
15061007,2,1,4,0,0
15061011,3,1,3,3,0
15061122,1,2,4,4,0
15061204,2,3,3,2,2
15061213,1,3,4,3,0
15061215,1,3,4,3,0
15061216,2,2,3,2,2
15061225,3,0,3,4,0
15061226,3,3,4,3,1
15061237,4,4,3,0,4
15061256,2,2,4,2,1
15061257,3,2,3,1,2
15061258,2,1,4,3,1
15061259,1,0,4,3,0
15061261,3,1,3,3,0
15061262,3,0,2,1,0
15061263,3,0,2,1,0
15061264,3,0,2,2,0
15061265,2,0,3,4,0
15061270,2,1,3,3,0
15061271,2,2,4,4,0
15061273,2,0,3,4,0
15061274,1,0,4,3,0
15061277,3,3,4,4,0
15061279,2,1,3,3,0
15061281,1,3,4,3,0
15061283,2,1,3,2,0
15061286,2,2,4,4,0
15061288,1,3,4,3,0
15061289,1,3,4,3,0
15061290,1,3,4,3,0
15061291,2,1,4,3,0
15061293,3,0,3,2,0
15061295,2,1,4,2,1
15061296,3,2,4,3,0
15061297,2,2,4,2,1
15061298,0,0,3,3,0
15061300,4,2,2,3,0
15061301,0,0,3,3,0
15061302,1,1,3,3,0
15061303,2,2,3,2,0
15061305,1,1,3,3,0
15061307,2,1,2,3,0
15061312,2,1,4,3,0
15061313,4,0,3,3,0
15061314,2,2,3,3,0
15061317,3,0,2,1,0
15061320,2,3,4,2,0
15061323,3,0,3,4,0
15061324,1,1,2,2,0
15061327,3,1,3,3,0
15061329,2,2,4,3,0
15061330,1,2,2,2,0
15061331,3,2,4,2,0
15061335,1,0,3,3,0
15061336,1,0,3,3,0
15061340,1,0,4,3,0
15061342,2,1,3,2,0
15061344,1,0,3,3,0
15061345,2,2,3,3,0
15061346,2,2,3,3,0
15061347,1,2,4,2,2
15061349,3,2,3,3,0
15061352,1,1,3,3,0
15061353,2,1,3,2,0
15061355,2,1,3,2,0
15061360,2,1,3,2,0
15061364,2,1,3,2,0
15061365,1,3,4,3,0
15061367,1,3,4,3,0
15061368,3,1,3,3,0
15061369,3,1,3,3,0
15061370,2,2,3,3,0
15061377,3,1,3,3,0
15061378,1,0,3,3,0
15061380,1,2,4,2,2
15061382,3,0,3,4,0
15061383,2,1,3,2,0
15061384,1,0,4,3,0
15061385,1,0,4,3,0
15061386,3,1,3,3,0
15061388,2,0,4,3,0
15061389,1,1,2,3,0
15061390,1,1,3,3,0
15061392,3,2,4,2,0
15061394,3,0,2,1,0
15061396,3,0,2,1,0
15061404,1,1,3,3,0
15061406,2,1,3,2,0
15061410,2,2,4,2,0
15061411,1,0,4,2,0
15061414,1,1,3,3,0
15061415,2,2,4,3,2
15061417,1,1,3,3,0
15061418,1,1,3,3,0
15061419,1,0,4,3,0
15061420,2,3,4,2,0
15061421,3,1,3,3,0
15061422,3,3,4,3,0
15061423,3,2,4,3,0
15061424,2,1,4,3,1
15061425,2,2,3,3,0
15061430,2,2,3,3,0
15061434,2,2,4,3,2
15061435,1,1,3,2,0
15061436,1,1,4,3,0
15061437,1,1,4,2,1
15061438,1,1,3,3,0
15061439,1,1,4,2,1
15061441,4,2,2,3,0
15061442,1,0,4,2,0
15061443,1,1,4,3,0
15061444,2,1,4,3,1
15061445,4,2,2,3,0
15061447,2,2,4,2,0
15061453,4,2,2,3,0
15061458,2,2,3,3,0
15061459,1,1,3,3,0
15061461,2,2,3,3,0
15061462,1,1,4,2,1
15061463,3,2,4,3,0
15061469,1,0,3,3,0
15061470,1,2,4,4,0
15061471,1,2,4,4,0
15061475,3,1,3,3,0
15061477,2,1,4,3,1
15061478,1,0,4,3,0
15061479,3,3,4,3,0
15061480,4,2,2,3,0
15061481,4,0,3,3,0
15061482,1,1,4,3,0
15061484,2,1,3,3,0
15061485,1,1,4,3,0
15061487,2,1,4,3,2
15061488,1,1,3,3,0
15061489,1,1,3,3,0
15061490,1,1,3,3,0
15061492,1,1,3,3,0
15061493,1,2,4,2,2
15061495,1,2,4,2,2
15061498,1,1,3,3,0
15061500,1,1,4,3,0
15061501,2,1,4,2,1
15061503,3,2,4,3,0
15061504,3,0,3,4,0
15061505,2,2,4,4,0
15061507,1,0,4,2,0
15061508,1,0,4,2,0
15061509,2,1,4,2,1
15061511,2,1,4,2,1
15061514,3,1,3,3,0
15061516,2,1,4,2,1
15061517,2,1,3,2,0
15061518,3,2,4,3,0
15061520,2,1,4,4,0
15061521,1,1,3,4,1
15061523,1,0,4,3,0
15061524,2,3,4,2,2
15061525,1,0,4,2,0
15061526,2,1,NA,3,1
15061528,1,2,4,2,2
15061530,1,0,4,2,0
15061533,1,0,4,2,0
15061534,2,0,3,2,3
15061535,1,2,4,2,2
15061536,1,0,4,2,0
15061537,3,0,2,1,0
15061538,1,0,4,3,0
15061539,1,0,4,3,0
15061542,4,0,3,3,0
15061543,1,3,4,3,0
15061546,1,0,4,3,0
15061549,2,1,3,3,0
15061550,2,1,4,3,1
15061551,1,1,4,3,0
15061553,3,3,3,2,0
15061555,3,1,3,3,0
15061556,1,1,4,3,0
15061557,3,1,3,3,0
15061561,2,2,4,2,0
15061564,3,3,4,3,0
15061565,1,0,3,2,0
15061566,1,0,4,3,0
15061567,1,1,4,4,0
15061571,3,1,3,3,0
15061575,2,1,3,3,0
15061576,1,2,4,4,0
15061577,2,2,4,3,0
15061580,2,1,3,2,0
15061585,1,2,4,4,0
15061586,1,2,4,4,0
15061588,1,1,4,3,0
15061601,2,1,3,2,0
15061602,2,2,3,2,0
15061604,3,3,3,0,0
15061608,1,2,4,4,0
15061609,1,0,4,3,0
15061610,2,1,3,2,0
15061614,3,0,3,4,0
15061621,2,1,4,2,1
15061622,2,1,3,3,0
15061626,0,1,2,4,0
15061627,3,2,4,3,0
15061628,2,1,4,2,1
15061629,1,0,4,4,1
15061630,2,0,3,2,3
15061632,3,0,3,4,0
15061633,1,1,3,4,0
15061638,3,1,3,3,0
15061639,2,0,4,4,0
15061640,4,2,3,4,0
15061641,2,0,4,4,0
15061642,3,1,3,3,0
15061645,4,1,3,4,0
15061646,3,0,2,1,0
15061649,3,2,4,4,0
15061650,2,1,2,3,2
15061651,1,0,4,2,0
15061653,2,2,3,3,0
15061654,3,0,3,4,0
15061658,3,0,3,4,0
15061659,1,2,4,4,0
15061665,2,2,4,2,0
15061666,3,3,2,3,0
15061667,2,1,3,3,0
15061668,2,2,4,2,0
15061669,1,0,3,3,0
15061670,2,0,4,4,0
15061671,2,2,3,3,0
15061673,2,0,4,3,0
15061677,1,1,3,3,0
15061678,1,1,3,3,0
15061679,1,1,3,2,0
15061680,2,0,4,4,0
15061682,3,1,3,3,0
15061683,2,1,3,2,0
15061684,3,3,4,4,0
15061686,2,1,3,2,0
15061687,1,1,4,1,0
15061688,2,1,3,2,0
15061690,1,1,3,3,0
15061702,4,2,3,4,0
15061706,1,1,3,4,1
15061707,4,2,4,3,0
15061709,1,0,3,3,0
15061712,1,1,4,2,2
15061714,2,2,4,3,2
15061717,2,1,3,3,0
15061719,3,0,2,1,0
15061720,2,2,4,3,2
15061722,2,2,4,2,0
15061723,2,1,4,2,1
15061724,2,1,4,3,1
15061725,2,2,4,3,2
15061726,3,2,3,4,0
15061729,2,1,4,3,1
15061733,1,1,3,3,0
15061734,1,1,3,3,0
15061735,2,2,4,3,2
15061736,2,1,4,3,1
15061737,2,1,4,3,1
15061738,1,1,2,3,0
15061740,1,2,4,4,1
15061744,2,2,3,2,1
15061747,3,0,2,1,0
15061751,1,2,4,4,0
15061752,1,2,4,4,1
15061753,1,1,3,3,0
15061754,1,1,2,3,0
15061755,3,0,4,3,0
15061756,3,0,4,3,0
15061757,1,1,3,2,0
15061758,1,1,4,2,1
15061760,2,1,4,3,1
15061761,3,0,2,1,0
15061762,1,2,4,2,2
15061764,2,1,4,2,1
15061766,4,0,3,3,0
15061769,3,3,4,4,0
15061771,1,1,3,3,0
15061772,3,1,3,3,0
15061773,2,1,4,2,1
15061776,1,1,4,3,0
15061777,1,1,3,2,0
15061784,1,1,3,3,0
15061785,2,4,4,3,0
15061788,2,3,4,2,2
15061789,1,1,4,3,0
15061790,1,1,3,2,0
15061795,2,0,3,2,3
15061797,1,1,3,3,0
15061798,3,2,4,3,0
15061799,1,1,3,2,0
15061800,4,3,3,2,1
15061811,3,1,3,3,0
15061813,1,1,4,3,0
15061814,2,0,4,4,0
15061815,3,0,3,4,0
15061826,3,3,4,3,0
15061905,1,3,4,3,0
15061906,2,0,3,3,0
15061907,4,2,4,3,1
15061908,2,1,3,3,0
15061909,1,2,3,0,1
15061910,3,0,3,4,0
15061911,2,2,3,2,0
15061915,2,2,3,2,0
15061917,2,2,3,3,0
15061918,1,2,4,4,0
15061926,3,0,3,4,0
15061927,2,1,4,1,1
15061929,0,3,4,2,0
15061930,1,2,4,4,0
15061933,2,1,3,2,0
15061934,2,1,4,3,1
15061937,2,0,3,4,0
15061939,1,1,3,3,0
15061941,1,0,3,3,0
15061944,1,3,4,4,0
15061945,2,2,3,3,0
15061948,2,1,3,2,0
15061949,1,1,3,3,0
15061951,2,2,3,3,0
15061952,2,1,4,3,1
15061953,1,0,4,3,0
15061954,2,2,3,3,0
15061957,1,0,4,3,0
15061958,1,1,4,4,0
15061960,2,0,3,3,0
15061961,1,0,4,3,0
15061964,3,0,2,1,0
15061965,3,1,2,2,0
15061966,2,1,4,3,2
15061967,3,1,3,3,0
15061968,1,1,3,2,0
15061969,2,1,3,4,1
15062036,1,1,3,4,1
15062038,2,2,3,3,0
15062039,1,3,4,3,0
15062050,2,4,4,3,0
15062051,2,2,3,3,0
15062052,2,2,3,3,0
15062053,1,3,NA,3,0
15062063,2,1,3,2,0
15062067,2,1,3,4,1
15062069,2,3,4,2,2
15062071,3,0,2,1,0
15062080,2,2,NA,4,0
15062081,4,0,4,3,0
15062092,2,1,3,2,0
15062094,1,0,4,3,0
15062097,3,1,3,3,0
15062100,2,0,4,4,1
15062101,2,1,3,3,0
15062102,2,1,3,3,0
15062103,0,1,3,4,0
15062105,1,0,4,3,0
15062106,1,1,3,3,0
15062107,1,0,4,2,0
15062108,1,1,3,3,0
15062109,2,2,3,3,0
15062112,1,0,4,3,0
15062115,4,2,2,3,0
15062117,2,2,3,3,0
15062118,2,2,3,3,0
15062119,2,2,4,3,0
15062122,3,3,2,3,0
15062124,2,1,4,2,1
15062126,1,1,4,3,0
15062133,1,2,4,2,2
15062136,2,3,4,4,1
15062139,2,2,4,3,2
15062143,2,1,3,3,0
15062144,1,0,4,3,0
