SAMPLES,c1_15909,c2_12976,c2_13133,c2_13177,c2_13180
15061942,3,2,0,0,0
15061763,4,1,0,0,0
15061801,2,4,2,2,2
15061494,4,3,0,0,0
15061613,4,2,0,0,0
15062137,3,2,1,1,1
15061319,3,2,0,0,0
15062142,2,4,2,2,2
15060320,3,2,0,0,0
15061768,3,2,1,1,1
15061522,3,2,1,1,1
15060081,3,2,0,0,0
15061656,4,1,0,0,0
15061759,4,2,0,0,0
15061928,3,4,0,0,0
15061454,4,3,1,1,1
15061605,3,1,2,2,2
15060087,3,2,1,1,1
15061619,3,2,1,1,1
15060090,4,2,1,1,1
15061731,3,2,1,1,1
15061655,4,2,0,0,0
15061661,4,2,0,0,0
15061499,3,1,0,0,0
15061647,3,2,0,0,0
15061612,4,2,0,0,0
15061742,3,1,0,0,0
15061710,4,1,1,1,1
15062372,3,3,1,1,1
15061583,4,2,0,0,0
15061767,4,2,1,1,1
15062130,3,1,0,0,0
15061637,3,2,0,0,0
15061337,3,2,1,1,1
15062104,3,2,1,1,1
15061579,4,0,0,0,0
15061932,3,2,1,1,1
15061603,3,2,1,1,1
15060025,3,2,0,0,0
15061704,3,2,0,0,0
15061334,4,3,1,1,1
15061631,4,1,1,1,1
15060964,3,2,1,0,0
15061778,3,2,1,1,1
15061718,4,3,1,1,1
15061486,4,3,0,0,0
15060214,4,3,0,0,0
15061333,3,2,0,0,0
15061962,3,2,1,1,1
15061624,3,2,1,1,1
15061282,4,2,0,0,0
15061529,4,2,1,1,1
15061935,3,2,1,1,1
15061568,4,4,0,0,0
15061491,3,2,1,1,1
15061318,3,3,1,1,1
15061361,3,2,1,1,1
15061515,4,2,1,1,1
15062123,3,1,0,0,0
15061358,3,2,0,0,0
15061428,2,2,1,1,1
15061496,4,2,1,1,1
15061648,3,3,0,0,0
15061808,2,3,2,2,2
15061600,4,4,1,1,1
15061730,3,1,0,0,0
15061623,3,2,0,0,0
15061405,4,2,0,0,0
15061299,4,2,0,0,0
15061578,3,2,1,1,1
15061476,4,3,1,1,1
15061765,4,2,1,1,1
15062111,2,2,0,0,0
15061397,3,2,1,1,1
15061713,3,2,0,0,0
15061584,4,2,1,1,1
15061912,4,1,0,0,0
15061260,3,2,0,0,0
15062099,3,2,1,1,1
15061350,3,4,0,0,0
15060933,3,3,0,0,0
15061548,3,2,0,0,0
15061348,3,2,1,1,1
15061560,3,2,1,1,1
15061544,3,2,1,1,1
15061449,4,3,1,1,1
15062348,2,2,1,1,1
15061916,3,2,1,1,1
15062138,3,2,1,1,1
15061946,4,2,1,1,1
15061676,3,2,1,1,1
15060536,4,3,0,0,0
15061391,3,2,1,1,1
15061662,4,3,1,1,1
15061228,4,0,1,1,1
15061356,4,2,1,1,1
15061963,3,2,1,1,1
15061338,3,2,1,1,1
15062331,4,2,1,1,1
15062098,2,2,1,1,1
15062114,4,0,0,0,0
15062046,4,1,0,0,0
15062370,3,2,1,1,1
15061685,3,2,0,0,0
15061540,3,1,0,0,0
15061721,2,2,0,0,0
15062074,4,3,0,0,0
15062362,3,2,1,1,1
15061689,3,2,1,1,1
15061357,3,2,1,1,1
15061376,2,2,1,1,1
15061308,3,2,1,1,1
