SAMPLES,c1_15909,c1_16643,c1_4238,c1_4925,c1_5126,c1_7132,c2_10615,c2_10690,c2_12770,c2_13133,c2_13177,c2_13180,c2_19081,c2_22165,c2_27635,c2_30460,c2_33657,c2_4030,c2_44816,c2_51370,c2_51567,c2_52196,c2_52202,c2_52203,c2_56602
15060021,4,3,3,0,4,1,3,1,4,1,1,1,2,0,4,3,2,3,3,0,4,0,4,4,1
15060027,4,4,4,2,3,0,4,0,3,0,0,0,1,2,3,4,2,2,1,0,4,0,4,4,2
15060039,2,3,2,0,4,2,3,1,4,2,2,2,2,0,4,4,4,2,2,1,3,0,4,4,1
15060042,3,3,3,1,4,2,4,0,4,1,1,1,1,1,4,4,3,2,2,0,4,0,4,4,0
15060050,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15060056,4,4,4,1,4,1,4,2,2,0,0,0,2,0,2,NA,2,2,3,0,4,0,3,4,0
15060063,2,4,4,1,4,0,4,0,4,0,0,0,3,1,4,NA,3,3,3,0,3,1,3,3,2
15060070,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15060072,3,3,3,1,4,2,4,0,4,1,1,1,2,1,4,4,2,3,3,2,4,0,3,4,2
15060082,4,3,4,1,3,2,4,0,3,0,0,0,0,1,3,2,2,1,2,1,4,0,4,4,0
15060085,2,4,4,0,4,2,3,1,4,0,0,0,0,2,4,3,3,2,2,1,3,0,4,4,0
15060097,4,3,4,1,4,3,4,1,3,0,0,0,1,2,3,4,3,2,2,1,2,0,4,4,0
15060101,4,4,3,2,4,2,3,1,4,1,1,1,2,2,4,4,4,2,0,0,NA,1,1,3,0
15060102,4,4,3,1,4,2,4,0,3,1,1,1,1,2,3,3,3,2,3,0,4,0,3,4,0
15060110,3,4,3,2,4,1,3,1,3,1,1,1,1,1,3,4,2,0,1,0,3,1,3,3,1
15060112,3,4,3,2,4,1,3,1,3,1,1,1,2,2,3,4,3,1,2,0,4,0,4,4,1
15060114,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,2,4,1
15060120,4,3,4,1,4,1,4,0,2,0,0,0,1,1,2,3,2,1,3,0,4,0,4,4,0
15060121,4,4,3,1,2,1,4,0,3,1,1,1,3,1,3,4,2,1,2,1,4,0,4,4,1
15060122,4,3,3,1,2,2,4,0,3,1,1,1,1,1,3,4,3,2,2,1,4,1,2,3,0
15060138,2,4,4,2,4,3,3,1,3,0,0,0,2,0,3,2,4,2,3,0,4,0,4,4,1
15060160,4,3,3,1,2,2,4,0,2,1,2,2,1,1,3,4,3,2,2,NA,4,1,2,3,0
15060187,4,3,3,3,4,2,4,0,4,0,0,0,2,1,4,3,3,2,3,0,3,0,3,4,1
15060188,3,4,3,2,4,1,3,1,2,1,1,1,1,1,3,4,2,1,2,0,3,1,3,3,1
15060190,4,4,4,2,4,1,3,1,3,0,0,0,2,0,3,3,2,2,2,1,3,0,4,4,1
15060191,3,4,4,2,3,1,3,1,4,0,0,0,1,1,4,3,3,2,0,0,3,0,2,4,0
15060215,4,3,4,0,4,2,4,0,3,0,0,0,2,1,3,4,4,2,2,0,4,0,3,4,1
15060313,4,3,2,1,3,2,4,0,2,2,2,2,3,0,2,3,2,3,2,1,3,0,3,4,0
15060345,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15060383,4,3,2,1,3,2,4,0,2,2,2,2,3,0,2,3,2,3,2,1,3,0,3,4,0
15060420,2,4,3,3,4,0,3,1,3,1,1,1,1,2,3,3,4,1,2,1,4,0,4,4,1
15060543,3,4,4,1,3,0,4,0,2,0,0,0,2,0,2,2,1,2,2,0,2,1,3,3,1
15060570,4,3,3,0,3,2,4,0,3,0,0,0,4,1,3,3,3,2,3,0,4,0,4,4,0
