SAMPLES,c1_10202,c1_10555,c1_10836,c1_14271,c1_14664,c1_14813,c1_15909,c1_2718,c1_4140,c1_4206,c1_4238,c1_4243,c1_4796,c1_5126,c1_590,c1_9695,c2_10615,c2_10690,c2_10802,c2_12770,c2_12976,c2_13133,c2_13177,c2_13180,c2_14731,c2_17938,c2_19081,c2_26296,c2_27635,c2_2998,c2_32400,c2_32415,c2_32710,c2_328,c2_33657,c2_35053,c2_35101,c2_36599,c2_4030,c2_4165,c2_44816,c2_45061,c2_45886,c2_46778,c2_47301,c2_4875,c2_48810,c2_50220,c2_51390,c2_5858
15061942,1,3,1,1,3,3,3,3,2,4,4,2,2,4,4,1,3,1,1,3,2,0,0,0,3,4,2,3,3,3,3,1,2,3,2,0,4,0,2,3,3,4,1,0,4,2,1,0,3,2
15061763,1,3,1,2,3,3,4,4,1,3,4,2,1,3,3,2,4,0,2,3,1,0,0,0,3,3,1,3,3,4,2,2,3,4,2,0,4,0,3,3,2,4,2,1,3,1,3,1,2,0
15061801,2,3,3,3,3,2,2,4,3,3,2,4,0,3,4,2,4,0,3,4,4,2,2,2,4,2,3,1,4,4,3,2,3,3,3,2,4,0,3,0,2,4,3,2,4,3,2,2,4,1
15061494,2,4,2,1,4,2,4,4,0,4,4,1,1,3,4,2,4,0,1,3,3,0,0,0,3,4,1,2,3,3,2,2,3,3,2,2,3,2,4,2,4,3,1,1,4,2,0,3,3,2
15061613,1,3,3,0,3,2,4,4,2,3,4,4,2,4,4,2,4,0,2,3,2,0,0,0,4,3,2,1,3,3,2,2,2,2,4,2,3,0,2,2,2,4,3,1,4,2,2,2,4,2
15062137,2,3,1,0,3,3,3,4,1,3,3,2,1,4,4,1,3,1,1,3,2,1,1,1,3,4,1,1,3,4,3,1,3,3,3,1,3,0,1,3,1,4,2,2,4,1,2,0,3,0
15061319,0,4,2,3,2,3,3,4,2,4,4,2,0,3,4,1,3,1,3,4,2,0,0,0,4,3,2,2,4,4,3,1,2,4,2,1,3,0,2,3,1,4,3,1,4,2,3,2,3,1
15062142,1,4,1,2,2,4,2,4,2,2,2,3,0,4,4,2,2,1,3,4,4,2,2,2,2,3,2,1,4,1,2,2,1,2,2,1,3,0,3,1,1,4,2,1,3,2,1,2,3,1
15060320,0,3,2,2,4,3,3,4,3,4,4,3,0,3,4,1,4,0,3,3,2,0,0,0,4,3,1,1,3,4,3,1,1,4,2,0,4,2,1,3,2,4,2,1,4,1,2,2,3,1
15061768,1,4,1,1,3,2,3,4,3,3,3,3,0,4,3,0,3,1,3,3,2,1,1,1,4,3,2,1,3,4,4,0,3,3,4,1,4,0,1,3,2,4,2,1,4,1,1,2,3,2
15061522,0,4,1,3,2,3,3,4,1,3,3,3,1,4,3,0,4,0,1,2,2,1,1,1,3,4,1,2,2,4,4,0,3,4,4,2,3,0,3,1,3,4,1,2,4,3,2,0,3,0
15060081,1,4,2,3,2,3,3,4,2,4,4,2,1,3,4,2,3,1,2,3,2,0,0,0,3,3,2,2,NA,4,3,1,2,4,2,2,3,0,2,2,1,NA,3,1,4,2,2,2,3,1
15061656,2,4,3,3,3,3,4,3,1,4,4,2,0,3,3,2,4,0,2,4,1,0,0,0,3,3,1,2,4,3,2,2,2,4,3,2,2,2,2,1,3,4,1,1,4,2,3,0,3,3
