SAMPLES,c1_1000,c1_11350,c1_12015,c1_12320,c1_12345,c1_13135,c1_2112,c1_2352,c1_2458,c1_2718,c1_2978,c1_4271,c1_4604,c1_4822,c1_5546,c1_9204,c1_9566,c1_988,c2_15047,c2_1506,c2_15908,c2_19584,c2_21934,c2_22301,c2_22753,c2_27806,c2_28228,c2_29981,c2_33008,c2_34705,c2_34789,c2_34863,c2_34866,c2_36780,c2_37256,c2_41405,c2_41412,c2_42655,c2_4438,c2_46081,c2_46100,c2_46107,c2_49184,c2_51974,c2_52905,c2_55085,c2_56145,c2_56238,c2_5858,c2_8867
15061942,3,4,1,4,4,0,0,0,3,3,0,2,3,1,2,4,3,1,1,3,3,2,2,2,3,0,1,1,1,3,0,1,3,3,0,4,4,0,0,4,4,4,3,3,4,1,4,3,2,4
15061763,0,4,2,3,3,0,0,0,2,4,0,2,3,2,3,4,3,3,0,4,4,2,2,3,4,1,0,1,1,3,2,1,2,3,1,4,4,0,0,4,4,4,3,3,4,2,4,4,0,4
15061801,3,4,2,4,4,1,1,0,3,4,0,1,1,3,2,3,4,1,2,4,3,2,2,1,4,2,1,2,3,4,2,2,0,4,0,3,3,0,2,4,4,4,1,3,4,3,3,4,1,3
15061494,0,4,2,4,4,0,0,0,3,4,0,0,2,4,3,1,3,4,4,4,3,1,3,3,2,1,2,0,0,3,3,1,2,3,0,4,4,0,2,3,3,3,4,3,2,0,4,4,2,4
15061613,3,4,3,4,4,1,1,0,3,4,1,1,1,3,3,3,4,1,3,4,3,2,1,2,4,1,2,1,2,1,2,0,2,2,0,3,3,0,1,4,4,4,2,3,4,2,3,4,2,3
15062137,0,4,4,4,4,0,0,0,2,4,0,2,2,3,2,3,4,4,0,3,4,2,2,2,4,1,0,2,0,1,1,3,1,1,0,4,4,1,0,3,3,3,4,3,3,0,4,3,0,4
15061319,2,4,0,4,4,0,0,0,2,4,1,2,2,3,3,3,3,2,2,4,2,2,1,3,3,0,2,1,1,1,0,0,2,1,0,4,4,0,0,4,4,4,3,3,4,0,4,4,1,4
15062142,2,4,3,4,4,1,1,0,2,4,1,2,1,4,4,4,4,2,2,4,4,2,2,3,3,0,1,2,0,2,2,0,2,2,0,3,3,0,0,3,3,3,4,3,4,0,3,4,1,3
15060320,2,4,1,4,4,0,0,0,3,4,0,0,2,4,3,2,4,2,2,4,4,0,1,3,4,1,1,1,1,3,2,1,3,3,0,4,4,0,0,4,4,4,3,3,4,1,4,4,1,4
15061768,2,4,2,4,4,0,0,0,3,4,0,2,3,1,2,4,3,2,1,4,4,0,3,2,2,0,1,2,2,2,1,1,3,3,0,4,4,0,0,4,4,4,2,3,4,2,4,4,2,4
15061522,1,4,1,4,4,0,0,0,2,4,0,1,1,2,4,4,2,3,1,3,4,2,3,3,2,1,1,3,2,3,3,2,2,3,0,4,4,0,0,4,4,4,2,3,4,1,4,3,0,4
15060081,2,NA,1,3,NA,1,1,0,2,4,2,2,2,3,2,3,3,2,2,NA,2,3,1,2,3,NA,2,2,2,2,0,1,1,2,0,3,3,NA,0,NA,4,NA,2,3,4,1,3,4,1,3
15061656,1,4,2,4,4,1,1,0,1,3,1,3,3,3,4,2,3,2,3,3,3,2,2,2,3,2,3,1,3,3,2,1,2,4,0,3,3,0,0,4,4,4,1,3,4,2,3,4,3,3
15061759,1,4,1,4,4,0,0,0,4,4,0,1,2,1,2,4,2,3,2,3,4,0,2,3,2,0,2,1,2,2,1,1,3,2,0,4,4,0,0,4,4,4,2,3,4,3,4,3,2,4
15061928,1,4,0,4,4,0,0,1,4,4,0,0,3,4,3,3,3,3,3,3,3,1,3,2,3,1,1,1,1,0,2,1,2,1,0,4,4,0,0,4,4,4,3,3,4,2,4,4,1,4
15061454,2,4,0,3,3,0,0,0,3,4,0,1,2,3,3,4,2,2,4,3,3,1,2,2,NA,1,2,3,0,2,3,1,3,3,0,4,4,0,0,4,4,4,4,3,4,1,4,3,3,4
15061605,3,4,2,4,4,1,1,0,3,4,1,1,1,4,3,3,4,1,3,4,4,2,2,1,4,1,1,1,1,3,3,0,1,3,0,3,3,0,2,4,4,4,3,3,4,1,3,4,1,3
15060087,1,4,2,4,4,0,0,0,2,4,0,3,3,3,3,4,4,3,4,3,3,2,2,2,2,0,1,2,2,2,1,1,3,2,0,4,4,0,0,4,4,4,2,3,4,1,4,3,3,4
15061619,0,4,4,4,4,0,0,0,2,4,0,2,2,3,2,3,4,4,0,3,4,2,2,2,4,1,0,2,0,1,1,3,1,1,0,4,4,1,0,3,3,3,4,3,3,0,4,3,0,4
15060090,3,3,2,3,3,1,1,0,1,4,0,2,1,3,3,4,3,1,1,4,3,1,1,1,3,1,1,4,1,3,1,1,3,3,0,3,3,0,0,4,4,4,3,3,4,1,3,4,2,4
15061731,0,4,4,4,4,0,0,0,2,4,0,2,2,3,2,3,4,4,0,3,4,2,2,3,4,1,0,1,0,1,1,3,1,1,0,4,4,1,0,3,3,3,4,3,3,0,4,3,0,4
15061655,4,4,0,3,3,2,2,0,3,3,1,2,2,2,4,2,4,0,1,2,2,1,1,1,4,3,3,4,3,3,2,1,2,3,0,3,3,3,1,4,4,4,1,3,4,1,3,4,2,3
