SAMPLES,c1_13482,c1_4799,c1_8186,c2_10681,c2_14731,c2_22024,c2_34870,c2_47202,c2_48370,c2_4910,c2_50391,c2_53914,c2_55779,c2_57401,c2_5966
15061942,3,2,1,4,3,2,2,2,3,2,3,2,0,0,2
15061763,1,1,2,3,3,1,2,3,2,1,2,2,1,0,3
15061801,2,1,3,3,4,2,1,4,4,3,3,3,1,1,3
15061494,2,3,2,4,3,2,2,4,2,1,3,2,1,2,2
15061613,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
15062137,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061319,3,1,1,3,4,1,2,3,3,2,4,2,1,0,2
15062142,2,2,1,4,2,2,3,4,2,3,4,2,0,0,2
15060320,1,0,1,3,4,2,2,2,3,1,4,1,2,0,3
15061768,1,0,2,4,4,2,1,4,2,1,3,1,2,0,1
15061522,2,1,3,4,3,1,1,4,4,2,3,2,2,0,1
15060081,3,1,2,3,3,1,2,3,3,2,4,2,1,0,2
15061656,2,2,1,2,3,1,3,4,0,3,4,2,1,1,2
15061759,1,1,2,4,4,2,2,4,2,1,3,NA,1,1,1
15061928,0,2,2,4,2,2,3,1,2,1,3,2,1,0,3
15061454,1,1,2,4,3,2,3,4,2,2,3,1,0,2,2
15061605,2,0,2,4,4,2,1,4,4,2,2,3,0,0,3
15060087,1,0,1,4,4,0,2,4,3,0,3,1,0,0,4
15061619,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15060090,1,2,3,4,3,2,2,3,4,3,3,2,0,0,1
15061731,1,1,1,3,3,1,3,4,3,1,4,3,2,0,2
15061655,2,2,3,3,3,2,2,4,3,1,4,2,2,0,1
15061661,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
15061499,4,0,2,3,4,1,1,3,3,0,3,2,1,0,2
15061647,3,1,1,3,4,1,2,3,3,2,4,2,1,0,2
15061612,2,1,2,4,3,0,3,4,3,2,3,2,2,0,2
15061742,4,0,2,3,4,1,1,3,3,0,3,2,1,0,2
15061710,2,0,2,3,4,1,2,3,2,1,2,3,2,3,2
15062372,2,0,2,3,4,3,1,3,3,0,3,1,1,0,2
15061583,3,0,3,3,4,3,0,4,4,1,3,3,0,0,2
