SAMPLES,c1_13289,c1_15219,c1_16171,c1_16540,c1_2640,c1_513,c2_12760,c2_12779,c2_12788,c2_34179,c2_43243,c2_45168,c2_46777,c2_55072,c2_58373
15060021,3,3,1,1,4,0,1,3,1,3,2,3,3,1,3
15060027,4,2,0,1,3,3,1,4,1,3,2,4,3,4,4
15060039,2,1,0,2,4,0,1,3,1,2,1,3,2,3,3
15060042,3,1,1,2,3,2,1,3,1,2,1,3,1,3,2
15060050,3,1,1,2,3,3,0,4,0,3,0,3,2,1,3
15060056,2,2,1,2,3,4,0,4,0,1,2,4,4,4,4
15060063,2,1,0,2,2,4,1,3,1,2,2,4,1,4,2
15060070,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15060072,1,1,3,1,2,2,0,4,1,1,0,4,1,2,4
15060082,4,0,1,2,3,4,0,4,0,4,2,3,2,2,4
15060085,2,2,0,0,4,3,1,3,1,1,4,4,3,3,3
15060097,1,1,0,1,4,1,0,4,1,2,0,4,3,3,3
15060101,2,2,1,2,2,3,0,4,0,3,2,4,2,2,4
15060102,3,2,0,1,3,3,0,4,0,2,2,4,2,4,3
15060110,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15060112,4,1,0,2,3,2,1,4,1,2,3,4,2,4,4
15060114,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15060120,3,2,1,4,3,3,0,4,0,3,1,3,2,1,4
15060121,4,1,0,1,3,4,0,4,0,1,4,4,4,4,4
15060122,3,1,1,2,3,3,0,4,0,3,0,3,2,1,3
15060138,4,2,0,3,2,1,1,4,1,1,2,4,0,3,3
15060160,2,1,2,2,3,3,0,4,0,3,0,3,2,2,3
15060187,3,1,0,2,1,2,0,4,0,3,3,3,1,2,3
15060188,2,1,1,2,2,2,NA,4,0,3,2,4,2,3,4
15060190,4,2,0,2,2,2,0,4,0,1,2,4,3,4,4
15060191,3,3,0,1,3,3,0,4,0,2,1,4,3,4,4
15060215,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15060313,2,1,1,1,4,1,2,2,2,4,1,3,3,1,2
15060345,2,1,0,2,2,4,0,4,0,0,3,4,3,4,4
15060383,2,1,1,1,4,1,2,2,2,4,1,3,3,1,2
15060420,2,1,0,2,2,4,0,4,0,0,3,4,3,4,4
15060543,0,2,0,3,2,2,0,4,1,2,4,4,1,4,4
15060570,2,0,0,1,2,4,0,4,1,3,2,3,2,3,3
15060797,3,2,0,0,2,1,0,4,0,3,3,4,2,3,4
15060846,3,1,1,2,3,3,0,4,0,3,0,3,2,1,3
15060907,1,1,0,3,3,4,0,4,1,2,2,3,3,2,4
15060909,2,2,0,1,4,2,0,4,0,1,2,4,3,4,4
15060910,2,1,1,2,3,3,1,3,1,1,1,4,2,2,3
15061007,1,1,1,1,2,4,1,4,1,2,2,3,2,2,3
15061011,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061122,3,1,1,2,3,3,0,4,0,3,0,3,2,1,3
15061204,2,0,1,2,1,2,0,4,1,1,2,4,3,4,4
15061213,2,1,0,2,4,0,1,3,1,2,1,3,2,3,3
