SAMPLES,c1_12106,c2_27763,c2_28666,c2_28697,c2_2957,c2_3747,c2_39100,c2_4366,c2_50176,c2_51578,c2_52898,c2_55639,c2_55830,c2_55835,c2_58236
15060021,0,0,4,4,1,3,3,4,4,0,2,2,3,1,2
15060027,2,0,3,3,2,2,3,4,3,0,2,4,2,2,2
15060039,1,1,3,3,3,3,4,4,4,1,1,2,2,2,3
15060042,0,0,3,3,2,2,4,4,4,1,2,4,3,1,2
15060050,1,1,1,1,2,1,4,4,4,1,1,4,2,2,3
15060056,3,0,3,3,1,3,4,3,2,1,0,3,4,0,4
15060063,2,0,3,2,2,2,4,4,4,1,2,4,4,0,3
15060070,1,1,3,3,2,2,4,3,4,0,3,3,2,2,1
15060072,1,0,2,4,2,1,4,3,2,2,2,4,2,2,2
15060082,1,0,2,2,1,2,4,4,4,1,1,3,3,1,3
15060085,0,0,3,3,2,3,3,3,4,0,2,3,3,1,2
15060097,1,2,3,3,0,1,4,4,3,0,2,1,2,2,2
15060101,1,0,2,3,3,1,4,3,3,1,2,3,1,3,2
15060102,1,0,4,4,1,1,3,3,3,1,1,3,3,1,3
15060110,1,1,3,3,2,2,4,3,4,0,3,3,2,2,1
15060112,1,0,3,3,1,1,3,3,4,0,2,3,3,1,2
15060114,1,1,2,3,2,2,3,2,2,1,1,3,1,3,3
15060120,0,0,3,3,1,2,4,4,4,2,2,2,4,0,2
15060121,1,0,4,4,2,3,4,3,4,0,2,4,2,2,2
15060122,1,1,1,1,2,1,4,4,4,1,1,4,2,2,3
15060138,0,0,3,3,3,2,3,4,3,0,3,3,4,0,1
15060160,1,1,1,2,2,1,4,4,4,1,2,4,2,2,3
15060187,0,2,2,3,2,1,4,3,4,0,1,4,2,2,3
15060188,1,1,3,3,2,2,4,3,4,0,2,3,2,2,1
15060190,1,0,4,4,2,3,4,4,2,0,3,2,2,2,1
15060191,1,0,1,2,2,1,4,2,3,1,2,2,2,2,2
15060215,1,1,2,3,2,2,3,2,2,1,1,3,1,3,3
15060313,1,1,1,2,1,2,4,2,3,1,1,2,3,1,3
15060345,1,0,3,3,0,1,4,4,2,0,1,3,2,2,3
15060383,1,1,1,2,1,2,4,2,2,1,1,2,3,1,3
15060420,1,0,3,3,0,1,4,4,2,0,1,3,2,2,3
15060543,0,0,3,3,2,3,4,4,1,0,0,3,2,2,4
15060570,0,0,2,2,1,2,4,4,4,0,0,2,4,0,4
15060797,0,0,2,3,4,2,3,3,3,0,0,3,4,0,4
15060846,1,1,1,1,2,1,4,4,4,1,1,4,2,2,3
15060907,1,0,3,3,2,1,3,4,3,0,0,3,2,2,4
15060909,1,1,3,3,1,2,4,4,4,0,1,2,1,3,3
15060910,1,0,1,2,3,0,4,3,1,1,3,3,3,1,1
15061007,1,0,2,2,1,3,4,4,3,0,1,4,2,2,3
15061011,2,0,3,3,1,1,4,3,3,0,1,2,3,1,3
15061122,1,1,1,1,2,1,4,4,4,1,1,4,2,2,3
15061204,2,0,3,4,2,1,2,3,2,1,0,4,4,0,4
15061213,1,1,3,3,3,3,4,4,4,1,1,2,2,2,3
