SAMPLES,c1_11211,c1_14083,c1_14770,c1_15521,c1_16021,c1_8132,c1_8186,c1_8353,c1_8518,c2_12959,c2_14636,c2_1506,c2_22205,c2_23841,c2_26165,c2_26167,c2_26210,c2_26211,c2_2653,c2_31180,c2_32644,c2_34002,c2_35101,c2_35997,c2_37762,c2_41337,c2_44712,c2_48808,c2_49128,c2_50502,c2_5149,c2_52067,c2_56238,c2_57263,c2_57678
15060021,2,0,1,4,4,4,2,0,3,1,3,2,2,3,3,2,1,3,1,3,4,1,3,2,0,2,2,1,1,1,4,2,2,3,2
15060027,3,0,0,4,4,4,1,1,4,2,1,2,2,3,3,1,1,3,3,2,4,3,4,3,0,3,4,2,2,2,4,3,2,3,2
15060039,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,2,2,2,3,2,4,2,2
15060042,1,0,2,4,4,3,2,0,3,3,4,4,2,3,3,1,3,3,0,2,4,1,3,4,2,0,2,3,2,1,3,3,4,1,1
15060050,2,0,0,4,4,4,3,2,3,2,3,4,2,2,2,2,3,2,2,4,3,2,4,4,2,1,3,2,1,0,4,2,4,2,3
15060056,4,1,0,3,4,4,0,2,3,2,3,3,3,3,4,0,1,3,1,4,4,2,4,2,NA,4,4,1,2,2,4,4,3,2,1
15060063,3,0,0,4,3,4,1,2,4,3,4,2,2,4,1,3,3,1,1,4,3,2,2,1,1,2,3,2,3,0,4,3,2,2,1
15060070,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15060072,2,0,3,4,3,4,1,1,4,3,2,3,2,2,3,1,1,2,2,3,3,2,4,1,1,2,4,3,3,4,4,4,3,2,2
15060082,3,0,3,3,4,4,2,1,4,2,4,4,3,3,2,2,3,3,1,3,3,3,4,1,1,1,1,2,1,3,4,3,4,3,0
15060085,1,0,1,3,2,4,3,0,3,1,2,3,1,3,2,2,3,3,1,2,4,3,3,1,0,3,4,1,2,1,4,4,3,4,3
15060097,1,1,0,3,3,3,0,1,4,4,0,4,1,0,4,0,2,2,3,2,3,1,4,1,1,2,2,3,1,2,4,3,4,3,3
15060101,1,0,2,3,4,3,2,1,2,1,3,4,2,1,3,1,1,3,1,2,4,3,4,0,2,2,4,1,2,1,3,3,4,3,2
15060102,2,0,2,3,3,3,2,0,3,2,2,3,2,3,2,2,2,3,1,3,4,3,4,1,1,2,3,2,1,2,4,3,3,3,0
15060110,3,0,2,3,4,3,1,0,3,2,2,3,4,3,2,2,2,2,0,2,4,3,4,1,2,2,4,1,2,0,3,3,3,3,1
15060112,2,0,2,3,4,3,1,0,3,2,2,4,3,4,2,2,2,2,1,3,4,3,4,3,1,2,3,2,1,2,4,4,4,2,2
15060114,1,0,1,4,3,4,3,2,4,1,2,4,1,2,3,1,1,4,3,3,3,2,3,2,1,2,3,3,3,1,4,4,4,1,2
15060120,4,0,2,4,4,4,3,1,3,2,2,3,2,3,3,1,3,4,0,4,4,3,4,2,1,1,1,1,1,4,4,3,3,1,1
15060121,2,0,1,3,4,3,1,0,3,3,2,4,2,3,4,0,0,4,2,1,4,3,3,2,1,2,4,3,0,1,3,4,4,4,1
15060122,2,0,0,4,4,4,3,2,3,2,3,4,2,2,2,2,3,2,2,4,3,2,4,4,2,1,3,2,1,0,4,2,4,2,3
15060138,1,0,3,4,4,3,1,2,3,2,3,3,2,3,2,2,2,2,0,1,4,3,4,2,1,1,4,3,3,2,3,3,4,4,1
15060160,2,0,0,4,4,4,3,2,3,2,2,4,2,1,2,2,3,2,3,4,3,2,4,4,2,1,3,2,2,0,4,2,4,2,3
15060187,3,0,0,4,4,4,3,1,3,1,4,3,2,3,3,2,4,2,2,4,4,2,4,2,0,2,4,2,1,2,3,3,4,2,3
15060188,3,0,2,3,4,3,1,1,3,2,2,3,3,2,2,2,2,2,1,2,3,2,4,1,2,2,4,1,2,0,3,3,3,3,1
15060190,2,0,1,4,4,4,2,0,4,2,3,4,1,4,2,1,1,3,2,3,4,3,3,1,0,2,3,2,1,1,4,4,4,3,2
15060191,1,0,2,4,4,3,2,1,3,1,2,4,3,1,2,1,1,3,1,3,4,3,3,0,0,2,3,3,1,2,4,3,4,3,2
15060215,1,0,1,4,3,4,3,1,4,1,2,4,1,2,3,1,1,4,3,3,3,2,3,2,1,2,3,3,3,1,4,4,4,1,2
15060313,2,0,2,4,3,4,2,2,3,2,2,3,1,2,3,2,3,3,3,3,3,2,3,0,1,2,2,2,2,2,4,3,3,2,2
15060345,1,0,2,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,2,4,4,4,3,2
15060383,2,0,2,4,3,4,2,3,3,2,2,3,1,3,3,2,3,3,3,3,3,2,3,0,1,2,2,2,2,2,4,3,3,2,2
15060420,1,0,1,4,4,3,1,0,4,2,3,3,3,3,3,1,1,3,2,2,4,3,4,3,1,2,4,3,1,2,4,4,4,3,2
15060543,4,0,2,4,3,4,4,3,4,2,2,3,2,3,3,2,3,3,1,3,3,2,3,3,1,1,4,3,3,0,NA,3,3,1,0
15060570,4,0,1,4,4,4,2,1,4,2,4,2,1,3,4,2,3,3,0,3,3,3,4,3,1,2,3,3,1,1,4,3,3,3,3
15060797,2,1,0,4,3,4,1,2,4,1,2,2,1,1,3,1,2,2,1,1,4,3,2,3,1,1,4,2,1,1,4,2,2,2,1
15060846,2,0,0,4,4,4,3,2,3,2,3,4,2,2,2,2,3,2,2,4,3,2,4,4,2,1,3,2,1,0,4,2,4,2,3
15060907,4,0,1,4,4,4,1,2,4,3,3,2,0,3,4,1,3,2,1,3,2,4,4,3,2,2,3,2,1,2,3,4,NA,4,4
15060909,2,0,1,4,4,3,0,0,4,3,1,4,3,0,3,1,2,2,2,2,3,1,4,2,2,2,3,2,2,2,4,1,4,3,1
15060910,1,0,1,4,4,4,2,2,4,2,1,4,2,2,3,1,2,3,2,1,4,2,3,2,1,1,3,2,3,1,4,2,4,3,3
15061007,2,0,2,3,4,4,3,2,4,2,3,4,1,3,2,3,2,4,1,4,4,3,3,2,1,1,4,0,2,2,4,4,4,4,2
15061011,3,0,3,4,4,4,1,1,3,3,3,4,3,3,2,1,1,3,2,3,4,3,3,1,0,3,3,3,0,1,4,3,4,3,1
15061122,2,0,0,4,4,4,3,2,3,2,3,4,2,2,2,2,3,2,2,4,2,2,4,4,2,1,3,2,1,0,4,2,4,2,3
15061204,4,0,1,NA,2,4,0,4,4,2,3,2,4,1,3,1,2,2,3,4,4,3,4,3,1,3,4,2,1,1,3,3,2,2,3
15061213,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,2,2,2,3,2,4,2,2
15061215,2,0,1,4,4,3,2,0,3,3,2,4,3,2,3,1,1,3,3,2,3,1,3,3,2,2,3,2,2,2,3,2,4,2,2
15061216,4,1,1,3,3,4,0,3,4,2,1,3,3,4,3,1,2,2,0,4,4,2,4,3,1,3,4,2,2,1,4,3,3,4,1
15061225,1,0,1,4,3,4,3,2,4,1,2,4,1,2,3,1,1,4,3,3,3,2,3,2,1,2,3,3,3,1,4,4,4,1,2
15061226,2,0,2,3,4,4,1,1,4,1,2,3,2,4,4,1,2,2,0,3,4,2,4,4,2,2,2,3,2,2,4,4,3,3,3
15061237,4,0,2,4,3,4,4,3,4,2,2,3,2,3,3,2,3,3,1,3,3,2,3,3,1,1,4,3,3,0,NA,3,3,1,0
15061256,3,0,1,4,3,4,2,2,4,2,2,2,1,2,2,3,2,3,2,4,4,4,2,3,0,3,3,3,1,2,4,4,2,2,1
