SAMPLES,c1_11276,c1_1318,c1_2519,c1_4822,c2_10961,c2_12959,c2_13613,c2_13671,c2_1688,c2_19081,c2_19223,c2_19692,c2_22050,c2_22466,c2_25289,c2_2998,c2_30296,c2_33516,c2_36777,c2_36781,c2_37136,c2_40821,c2_43123,c2_43926,c2_4438,c2_44815,c2_46777,c2_47405,c2_48734,c2_49812,c2_53053,c2_54586,c2_57750,c2_6906,c2_9908
15061942,0,3,3,1,0,0,1,0,2,2,1,2,4,0,4,3,3,0,3,1,0,1,4,4,0,1,4,0,2,3,0,1,4,3,0
15061763,0,2,4,2,1,3,1,3,1,1,0,2,4,2,4,4,2,2,3,1,1,2,4,3,0,2,3,0,2,2,0,2,2,3,0
15061801,2,1,3,3,3,4,2,1,2,3,1,0,3,0,4,4,2,1,3,1,2,2,3,3,2,4,1,0,1,1,2,1,2,3,0
15061494,1,0,3,4,1,2,2,3,1,1,0,1,3,0,4,3,1,2,3,1,1,3,3,4,2,1,2,0,1,0,1,4,3,4,2
15061613,1,1,3,3,1,1,2,2,2,2,0,2,2,0,4,3,3,3,3,1,2,3,4,3,1,3,2,0,1,1,1,3,3,4,0
15062137,0,1,4,3,1,2,2,1,2,1,1,0,2,0,4,4,3,2,3,1,1,3,4,4,0,3,1,1,1,1,0,3,2,4,1
15061319,0,3,3,3,0,3,2,1,1,2,1,2,3,1,4,4,0,1,4,0,2,1,4,4,0,3,3,1,1,2,0,2,3,4,1
15062142,2,0,2,4,3,3,2,1,1,2,2,2,3,0,2,1,1,1,3,1,1,2,3,4,0,3,3,2,1,0,1,4,4,3,1
15060320,0,0,4,4,1,4,1,1,2,1,0,2,3,1,4,4,2,1,3,1,1,1,4,3,0,2,2,0,1,0,0,4,4,3,0
15061768,1,2,2,1,1,2,2,1,1,2,0,1,2,0,4,4,3,2,2,2,2,2,4,4,0,2,2,1,1,3,0,1,3,2,0
15061522,0,1,2,2,1,2,1,0,3,1,1,0,2,0,4,4,3,2,3,2,2,1,4,3,0,1,1,1,2,2,0,2,3,3,2
15060081,0,2,3,3,1,2,2,1,1,2,1,2,2,1,4,4,0,2,4,0,2,2,4,4,0,2,2,1,1,2,1,2,3,4,1
15061656,1,2,4,3,2,1,1,1,1,1,1,3,4,0,3,3,1,2,3,1,0,3,3,4,0,1,3,1,1,1,1,2,4,3,3
15061759,0,4,2,1,0,0,4,2,1,1,0,2,4,1,4,4,4,1,3,1,1,2,4,4,0,1,4,0,0,3,0,1,3,3,0
15061928,1,0,3,4,0,2,4,3,2,3,0,3,3,1,4,3,2,3,4,0,3,3,3,4,0,3,2,1,0,2,1,1,3,4,1
15061454,0,4,2,3,1,2,2,1,1,2,0,1,2,0,4,3,3,1,3,1,2,1,4,4,0,2,1,1,1,1,0,1,3,4,2
15061605,1,3,3,4,1,3,3,1,1,1,0,1,4,2,4,3,1,2,4,0,2,2,4,3,2,2,3,0,2,0,1,2,2,4,0
15060087,1,2,4,3,1,2,1,1,1,1,0,1,3,1,4,4,1,2,3,1,2,2,4,4,0,3,2,0,1,2,0,2,4,3,1
15061619,0,1,4,3,1,2,2,1,2,1,1,0,2,0,4,4,3,2,3,1,1,3,4,4,0,3,1,1,1,1,0,3,2,4,1
15060090,2,4,3,3,0,2,3,0,2,1,2,1,3,0,4,4,1,3,4,0,1,3,3,2,0,2,2,0,2,1,1,1,3,4,0
15061731,0,1,4,3,1,2,2,1,2,1,1,0,2,0,4,4,3,2,3,1,1,3,4,4,0,3,1,1,1,1,0,3,2,4,1
15061655,1,1,3,2,0,1,3,0,0,2,0,2,4,1,3,3,1,3,4,0,1,1,4,3,1,4,3,1,0,2,1,2,2,3,0
15061661,1,1,3,3,1,1,2,2,2,2,0,2,2,0,4,3,3,3,3,1,2,3,4,3,1,3,2,0,1,1,1,3,3,4,0
