SAMPLES,c1_10031,c1_10915,c1_11124,c1_11137,c1_11459,c1_11802,c1_11806,c1_12354,c1_14089,c1_15219,c1_15689,c1_16495,c1_2333,c1_4171,c1_9356,c1_9397,c1_9428,c2_15796,c2_18788,c2_20521,c2_20714,c2_22205,c2_24454,c2_25654,c2_26403,c2_27879,c2_30596,c2_30741,c2_36021,c2_37342,c2_38787,c2_38952,c2_41163,c2_44804,c2_46707,c2_46710,c2_48033,c2_48715,c2_49938,c2_51053,c2_52477,c2_52898,c2_53177,c2_54139,c2_58236,c2_6004,c2_63,c2_6466,c2_7785,c2_9011
15060021,3,0,0,2,3,0,4,4,1,3,3,1,1,2,2,3,1,0,3,1,2,2,1,1,2,1,2,4,4,1,4,2,3,1,4,4,2,4,0,2,4,2,0,2,2,4,0,4,4,3
15060027,2,1,0,1,4,0,4,3,1,2,3,2,3,2,4,0,0,0,2,1,2,2,1,1,3,0,3,4,3,0,4,4,4,2,4,4,0,4,1,1,3,2,1,4,2,3,0,4,3,4
15060039,1,1,1,1,3,0,4,4,2,1,2,1,1,3,2,2,2,1,3,1,1,3,0,3,3,0,2,2,4,0,4,1,3,0,3,3,1,3,1,2,4,1,0,3,3,3,2,2,4,4
15060042,3,0,0,4,2,0,4,4,2,1,4,1,2,3,2,1,0,0,3,3,1,2,1,2,4,1,2,3,3,2,4,2,3,0,4,4,2,4,1,1,4,2,0,3,2,4,0,4,4,3
15060050,3,0,0,3,3,0,4,3,4,1,4,1,1,2,3,3,2,2,3,2,1,2,0,3,2,2,2,1,3,1,4,2,3,1,2,2,1,2,0,1,4,1,0,4,3,4,1,4,4,3
15060056,1,0,0,0,2,2,3,3,1,2,4,NA,1,2,4,0,0,1,4,1,3,3,0,3,4,0,3,4,NA,1,4,4,3,1,3,3,0,3,1,2,4,0,0,3,4,3,2,3,4,3
15060063,3,1,0,2,3,0,4,3,0,1,3,2,3,3,3,3,2,0,3,1,2,2,2,2,2,0,4,2,4,1,4,3,3,0,3,3,1,4,1,2,4,2,1,4,3,2,0,2,3,3
15060070,3,0,1,1,2,1,3,3,2,0,3,1,2,4,3,0,0,0,1,0,2,4,1,0,2,0,3,3,4,0,4,3,4,4,4,4,1,4,1,0,3,3,1,4,1,2,0,2,3,4
15060072,1,1,1,2,3,1,3,3,4,1,3,2,1,4,3,2,2,2,4,2,0,2,1,2,0,0,1,2,4,2,4,3,3,1,2,2,0,3,1,3,4,2,1,4,2,3,1,4,3,2
15060082,4,0,0,3,4,0,4,2,2,0,1,2,2,3,3,0,0,0,3,1,2,3,1,2,3,0,3,3,4,0,4,2,4,0,4,4,1,4,0,0,4,1,2,3,3,2,0,3,2,3
15060085,1,2,0,3,4,0,4,4,1,2,3,1,2,4,3,0,0,0,3,2,3,1,0,0,2,0,2,3,4,0,4,3,3,2,4,4,0,4,1,2,4,2,0,3,2,4,0,4,4,1
15060097,0,1,1,2,3,2,2,4,4,1,3,1,1,2,3,2,2,2,2,1,1,1,1,2,3,0,2,3,4,0,4,2,4,1,2,1,0,2,1,4,4,2,0,4,2,4,2,3,4,2
15060101,3,0,0,1,4,0,4,2,2,2,4,1,2,4,4,0,0,2,2,1,2,2,1,1,2,0,3,3,4,0,4,4,4,3,2,2,1,2,1,2,3,2,1,4,2,3,1,3,3,3
15060102,0,1,0,0,4,0,4,4,1,2,2,1,2,4,4,0,0,0,4,1,2,2,0,0,3,0,2,2,4,0,3,4,3,2,4,3,1,4,0,1,4,1,1,4,3,2,1,4,3,2
15060110,3,0,1,1,2,1,3,3,2,0,3,1,2,4,3,0,0,0,1,0,2,4,1,0,2,0,3,3,4,0,4,3,4,4,4,4,1,4,1,0,3,3,1,4,1,2,0,2,3,4
15060112,2,1,0,0,4,0,4,4,3,1,3,1,1,3,4,0,0,0,3,1,2,3,0,1,3,0,2,4,4,0,3,4,3,2,3,3,1,3,0,1,4,2,1,3,2,2,1,4,3,4
15060114,0,1,0,2,3,1,3,4,3,2,4,1,0,4,3,0,0,0,3,1,2,1,0,2,3,0,3,2,4,0,3,2,4,4,3,2,0,3,0,3,4,1,0,4,3,3,1,4,4,4
15060120,3,0,0,4,3,0,4,4,1,2,3,NA,2,3,2,0,0,0,4,2,2,2,0,3,2,0,4,3,3,1,4,2,4,2,4,4,1,4,0,0,4,2,1,2,2,3,0,2,3,3
15060121,2,1,1,2,4,2,3,4,4,1,3,1,0,3,3,0,0,1,3,0,3,2,2,2,4,0,3,2,4,1,3,3,3,3,3,3,1,3,1,1,3,2,0,4,2,2,1,3,4,2
15060122,3,0,0,3,3,0,4,3,4,1,4,1,1,2,3,3,2,2,3,2,1,2,0,3,2,2,2,1,3,1,4,2,3,1,2,2,1,2,0,1,4,1,0,4,3,4,1,4,4,3
15060138,4,0,0,1,4,0,4,3,3,2,3,0,0,4,4,2,2,0,2,1,2,2,0,0,4,1,2,4,4,0,4,4,4,1,4,4,2,4,1,1,3,3,1,3,1,3,0,3,3,3
15060160,3,0,0,3,3,0,4,3,4,1,4,1,1,3,2,3,2,1,3,2,1,2,0,3,2,2,2,1,3,2,4,2,3,1,2,2,2,2,0,2,4,2,0,4,3,4,2,4,4,3
15060187,2,0,0,3,4,0,4,4,0,1,3,2,0,4,3,1,0,0,2,2,1,2,2,0,3,0,3,4,3,1,4,2,4,0,4,2,0,4,0,1,4,1,0,4,3,2,0,1,4,2
15060188,3,NA,1,2,2,1,3,3,3,1,3,1,2,4,3,1,0,0,2,1,2,3,1,1,2,0,3,2,4,0,4,3,4,3,4,4,1,4,1,1,3,2,1,4,1,3,0,3,3,4
15060190,4,0,0,3,4,1,3,2,2,2,3,NA,1,4,4,0,0,1,3,0,2,1,1,2,4,1,1,3,4,1,4,4,4,3,4,4,0,4,0,3,4,3,1,3,1,3,1,2,3,4
15060191,3,0,0,3,4,0,4,1,2,3,4,0,1,4,4,0,0,2,3,1,1,3,0,2,3,0,2,2,4,0,4,4,4,4,1,1,0,1,1,2,3,2,0,4,2,2,2,4,4,4
15060215,0,1,0,2,3,1,3,4,3,2,4,1,0,4,3,0,0,0,3,1,2,1,0,2,3,0,3,2,4,0,3,2,4,4,3,2,0,3,0,3,4,1,0,4,3,3,1,4,4,4
15060313,2,0,0,3,3,1,3,4,2,1,3,2,1,4,3,0,0,1,3,1,2,1,0,2,3,0,2,4,4,0,4,1,4,3,4,4,0,4,0,2,4,1,1,2,3,2,3,3,3,2
15060345,3,1,0,1,4,0,4,3,3,1,3,1,0,3,4,1,1,0,3,0,2,3,2,0,3,0,2,3,4,1,4,4,4,2,3,3,0,3,0,2,4,1,0,4,3,2,0,4,4,3
15060383,2,0,0,3,3,1,3,4,2,1,3,2,1,4,3,0,0,1,3,1,2,1,0,2,3,0,2,4,4,0,4,1,4,3,4,4,0,4,0,2,4,1,1,2,3,2,3,3,3,2
15060420,3,1,0,1,4,0,4,3,3,1,3,1,0,3,4,1,1,0,3,0,2,3,2,0,3,0,2,3,4,1,4,4,4,2,3,3,0,3,0,2,4,1,0,4,3,2,0,4,4,3
15060543,3,1,1,3,4,0,4,4,1,2,4,2,2,4,3,0,0,1,4,3,0,2,2,3,3,0,3,4,3,1,4,3,4,0,3,3,0,3,0,2,4,0,0,4,4,3,1,4,4,4
15060570,3,1,0,3,4,0,4,4,2,0,4,NA,2,4,4,0,0,1,4,1,0,1,1,1,3,1,3,4,4,1,4,4,4,1,2,0,0,3,0,1,4,0,0,3,4,2,0,4,4,2
15060797,1,2,0,3,4,0,4,3,0,2,4,NA,2,3,3,2,1,0,3,1,2,1,0,3,3,0,2,4,4,1,4,4,4,1,3,3,0,3,0,1,4,0,0,3,4,3,0,4,4,4
15060846,3,0,0,3,3,0,4,3,4,1,4,1,1,2,3,3,2,2,3,2,1,2,0,3,2,2,2,1,3,1,4,2,3,1,2,2,1,2,0,1,4,1,0,4,3,4,1,4,4,3
15060907,3,2,0,3,3,2,3,3,2,1,3,2,2,4,4,2,2,2,3,0,2,0,2,0,2,2,2,4,4,1,4,4,4,1,4,2,1,4,1,2,4,0,0,2,4,2,0,3,4,1
15060909,1,1,1,0,3,0,4,4,4,2,2,1,1,3,3,2,2,2,2,1,3,3,1,2,2,0,2,4,4,0,3,3,3,1,2,2,1,2,1,2,4,1,0,3,3,3,3,4,4,4
15060910,2,0,0,2,3,1,3,4,1,1,4,2,2,2,3,2,2,1,3,0,2,2,1,0,2,1,3,3,4,0,4,3,4,4,2,3,1,3,0,3,4,3,0,4,1,2,2,4,4,4
15061007,2,2,0,2,3,0,4,3,0,1,4,0,2,4,4,0,0,1,4,2,1,1,0,1,4,0,1,3,4,0,4,4,4,0,3,3,0,3,0,2,4,1,0,3,3,2,1,3,4,2
15061011,4,0,0,2,4,0,4,2,1,2,3,1,1,4,4,1,1,1,4,0,1,3,0,2,4,0,2,3,4,0,4,4,4,3,3,3,0,3,0,2,4,1,1,3,3,2,1,4,3,4
15061122,3,0,0,3,3,0,4,3,4,1,4,1,1,2,3,3,2,2,3,2,1,2,0,3,2,2,2,1,3,1,4,2,3,1,2,2,1,2,0,1,4,1,0,4,3,4,1,4,4,3
15061204,3,1,0,2,4,1,2,3,1,0,3,NA,0,3,2,1,1,2,4,4,2,4,1,1,1,0,3,2,3,0,4,4,2,1,2,2,0,2,1,1,4,0,2,4,4,3,0,2,2,3
15061213,1,1,1,2,3,0,4,4,2,1,2,1,1,3,2,2,2,1,3,1,1,3,0,3,3,0,2,2,4,0,4,1,3,0,3,3,1,3,1,2,4,1,0,3,3,3,2,2,4,4
15061215,1,1,1,1,3,0,4,4,2,1,2,1,1,3,2,2,2,1,3,1,1,3,0,3,3,0,2,2,4,0,4,1,3,0,3,3,1,3,1,2,4,1,0,3,3,3,2,2,4,4
15061216,2,0,0,0,3,0,4,3,1,1,4,NA,2,2,3,0,0,1,3,1,3,3,0,3,4,0,3,4,NA,0,3,4,3,1,3,3,0,3,NA,2,4,1,0,3,3,3,2,3,4,2
15061225,0,1,0,2,3,1,3,4,3,2,4,1,0,4,3,0,0,0,3,1,3,1,0,2,3,0,3,2,4,0,3,2,4,4,3,2,0,3,0,3,4,1,0,4,3,3,1,4,4,4
15061226,3,2,0,2,4,0,4,4,4,0,4,2,2,4,4,0,0,1,4,2,1,2,1,4,3,0,2,3,4,0,4,4,4,1,1,1,0,2,0,2,4,1,0,4,3,2,0,3,4,1
15061237,3,1,1,3,4,0,4,4,1,2,4,2,2,4,3,0,0,1,4,3,0,2,2,3,3,0,3,4,3,1,4,3,4,0,2,3,0,3,0,2,4,0,0,4,4,3,1,4,4,4
15061256,2,0,0,2,3,0,4,3,2,2,4,1,1,4,4,0,0,1,4,2,2,1,0,2,4,0,2,4,4,1,4,4,3,0,4,4,0,4,0,2,4,1,1,3,3,3,1,3,3,2
15061257,2,1,1,4,4,0,4,3,2,1,3,1,3,4,2,1,1,1,4,2,1,2,3,0,3,0,2,4,3,0,4,2,4,1,4,4,1,3,0,2,4,0,1,4,4,2,1,4,3,4
15061258,2,0,0,2,3,0,4,4,1,0,3,2,1,4,3,1,1,0,2,0,2,2,1,1,3,0,3,4,3,2,4,4,4,3,4,4,1,4,1,1,4,2,1,3,2,2,1,3,3,4
15061259,3,0,1,1,2,1,3,3,2,0,3,1,2,4,3,0,0,0,1,0,2,4,1,0,2,0,3,3,4,0,4,3,4,4,4,4,1,4,1,0,3,3,1,4,1,2,0,3,3,4
15061261,4,0,0,2,4,0,4,2,1,2,3,1,1,4,4,1,1,1,4,0,1,3,0,2,4,0,2,3,4,0,4,4,4,3,3,3,0,3,0,2,4,1,1,3,3,2,1,4,3,4
15061262,3,0,0,1,4,0,4,2,2,2,4,1,2,4,4,0,0,2,2,1,2,2,1,1,2,0,3,3,4,0,4,4,4,3,2,2,1,2,1,2,3,2,1,4,2,3,1,3,3,3
15061263,3,0,0,2,4,0,4,3,0,1,4,0,2,4,4,0,0,3,2,1,1,3,1,0,1,0,3,3,4,0,4,4,4,3,2,2,1,2,1,3,3,2,1,4,2,3,1,3,3,2
