SAMPLES,c1_11418,c1_11997,c1_12169,c1_12345,c1_12945,c1_13482,c1_14083,c1_14684,c1_15485,c1_3049,c1_3051,c1_3060,c1_4803,c1_5483,c1_7005,c1_7695,c1_8330,c1_8635,c2_13766,c2_14470,c2_14793,c2_14841,c2_14848,c2_18664,c2_18848,c2_22939,c2_28012,c2_29187,c2_32802,c2_35411,c2_38167,c2_39155,c2_40775,c2_42374,c2_42943,c2_43998,c2_44000,c2_46144,c2_46448,c2_47661,c2_4904,c2_49042,c2_49758,c2_49906,c2_53380,c2_54139,c2_8659,c2_8661,c2_9021,c2_9908
15061942,4,0,4,4,1,3,0,0,2,4,0,4,3,2,0,3,2,4,3,3,2,1,2,2,4,2,0,4,0,1,0,3,4,4,1,3,3,0,1,0,4,3,1,4,2,3,4,4,4,0
15061763,4,0,4,3,3,1,0,0,1,4,0,4,3,1,0,3,1,4,1,1,3,1,1,3,4,1,0,4,0,1,1,2,4,4,1,2,2,0,1,0,4,3,3,4,2,4,4,4,4,0
15061801,4,0,3,4,3,2,0,0,2,4,0,4,2,2,0,1,1,4,2,3,2,2,2,3,4,2,0,4,0,3,0,0,4,4,2,4,4,0,2,0,4,3,3,4,4,4,4,4,4,0
15061494,4,0,4,4,2,2,0,0,1,3,1,3,3,2,0,2,3,4,1,3,1,2,1,1,3,1,0,4,0,3,0,4,4,4,2,2,2,1,2,1,4,1,3,3,2,4,3,3,2,2
15061613,4,1,4,4,2,3,0,1,2,4,0,4,3,1,0,1,1,4,1,3,3,2,1,2,4,1,0,4,0,3,0,2,3,3,0,3,3,0,0,0,4,2,3,4,4,4,4,4,4,0
15062137,4,0,4,4,2,1,0,0,0,4,0,4,3,1,0,3,2,4,1,3,3,1,2,3,4,2,1,4,0,2,1,3,4,4,1,3,3,0,1,0,4,3,3,4,3,3,4,4,4,1
15061319,4,0,4,4,1,3,0,0,3,4,0,4,1,2,0,3,1,4,1,3,1,1,3,2,4,2,0,4,1,1,0,4,4,4,2,3,3,0,1,0,4,1,1,4,3,3,4,4,4,1
15062142,3,1,4,4,0,2,0,0,2,2,2,2,1,2,0,1,1,4,1,0,1,0,3,1,3,2,0,4,2,2,0,2,3,4,2,4,4,2,2,0,3,3,1,4,3,4,3,3,2,1
15060320,4,0,4,4,3,1,1,0,2,4,0,4,2,1,0,3,1,4,1,3,2,1,2,1,4,2,0,4,1,3,1,3,4,4,1,2,2,0,1,0,4,3,3,4,3,4,4,4,4,0
15061768,4,0,3,4,1,1,0,0,1,4,0,4,1,1,0,2,2,4,1,1,2,0,1,2,3,2,0,4,0,1,0,1,4,4,0,4,4,0,0,0,4,3,1,4,4,4,4,4,4,0
15061522,4,0,3,4,3,2,0,0,2,4,0,4,3,2,0,3,3,4,1,1,3,1,2,2,4,2,0,4,0,2,0,1,4,4,0,2,3,0,0,0,4,3,1,4,1,4,4,4,4,2
15060081,4,0,4,NA,2,3,0,NA,2,4,0,4,2,2,0,2,1,4,1,3,1,1,2,3,4,1,0,4,2,1,0,3,NA,4,2,2,2,NA,1,NA,4,2,1,4,3,3,3,4,4,1
15061656,4,0,2,4,2,2,0,0,2,4,0,4,2,1,0,3,3,3,1,2,3,1,2,3,3,2,1,3,1,1,2,2,4,4,2,4,4,0,2,0,3,3,1,4,3,2,3,3,4,3
15061759,4,0,4,4,2,1,0,0,1,4,0,4,1,2,0,3,3,4,3,0,2,1,1,2,4,1,0,4,1,1,0,2,4,4,0,3,3,0,0,0,4,1,0,3,3,3,4,4,4,0
15061928,4,0,4,4,2,0,0,0,2,4,0,4,3,2,0,2,2,4,2,2,3,1,1,0,3,2,0,4,3,4,0,2,4,4,2,3,3,0,2,0,4,2,1,4,2,4,3,3,4,1
15061454,4,0,1,3,1,1,0,0,1,4,0,4,3,0,0,2,2,4,3,2,3,2,2,2,3,0,0,4,0,3,1,1,4,4,1,3,3,0,2,NA,4,0,2,4,2,3,4,4,4,2
15061605,4,0,3,4,3,2,0,0,3,4,0,4,4,2,0,1,2,3,2,3,3,3,0,2,3,3,1,4,0,2,0,2,4,4,1,2,2,0,1,0,4,2,4,4,4,4,4,4,4,0
15060087,4,0,4,4,0,1,0,0,2,4,0,4,2,1,0,3,1,4,1,3,2,1,2,3,4,2,0,4,1,1,0,3,4,4,2,4,4,0,2,0,4,2,1,4,2,4,4,4,4,1
15061619,4,0,4,4,2,1,0,0,0,4,0,4,3,1,0,3,2,4,1,3,3,1,2,2,4,2,1,4,0,2,1,3,4,4,1,3,3,0,1,0,4,3,3,4,3,3,4,4,4,1
15060090,3,0,3,3,1,1,0,0,3,4,0,4,1,3,0,1,4,3,3,1,2,1,3,0,3,2,1,4,1,1,0,1,4,4,2,3,3,0,2,0,4,2,3,4,4,4,4,4,4,0
15061731,4,0,4,4,2,1,0,0,0,4,0,4,3,1,0,3,2,4,1,3,3,1,2,2,4,2,1,4,0,2,1,3,4,4,1,3,3,0,1,0,4,3,3,4,3,3,4,4,4,1
15061655,2,0,4,3,3,2,0,0,0,3,1,3,2,0,0,3,2,3,2,1,1,1,2,3,3,3,1,3,2,2,0,2,4,4,0,4,4,1,0,0,4,3,2,3,2,3,4,4,3,0
15061661,4,1,4,4,2,3,0,1,2,4,0,4,3,1,0,1,1,4,1,3,3,2,1,2,4,1,0,4,0,3,0,2,3,3,0,3,3,0,0,0,4,2,3,4,4,4,4,4,4,0
15061499,4,0,4,4,0,4,0,0,4,3,1,3,2,2,0,3,2,4,0,3,1,1,2,2,4,2,0,4,1,2,0,4,4,4,2,4,4,1,2,0,4,1,0,3,3,4,4,4,3,1
15061647,4,0,4,4,1,3,0,0,3,4,0,4,1,2,0,3,1,4,1,3,1,1,3,2,4,2,0,4,1,1,0,4,4,4,2,3,3,0,1,0,4,1,1,4,3,3,4,4,4,1
15061612,4,0,3,3,2,2,0,0,1,4,0,4,3,1,0,3,1,4,0,0,3,1,1,1,3,1,0,4,0,1,0,3,4,4,0,3,3,0,0,0,4,3,3,4,2,3,4,4,4,0
