SAMPLES,c1_10180,c1_11459,c1_13482,c1_3098,c1_3499,c1_4799,c1_5837,c1_7874,c1_8186,c2_10617,c2_10681,c2_14731,c2_14980,c2_19135,c2_19537,c2_20714,c2_22024,c2_28224,c2_32257,c2_34870,c2_37406,c2_4030,c2_40858,c2_44804,c2_47202,c2_48370,c2_4910,c2_49313,c2_50041,c2_50391,c2_53914,c2_55779,c2_55781,c2_57401,c2_5966
15061942,4,4,3,4,0,2,1,1,1,1,4,3,2,3,2,2,2,1,4,2,2,2,1,2,2,3,2,3,3,3,2,0,4,0,2
15061763,3,4,1,3,1,1,0,1,2,3,3,3,2,3,0,3,1,0,4,2,4,3,3,1,3,2,1,2,3,2,2,1,3,0,3
15061801,4,2,2,2,1,1,0,0,3,2,3,4,1,3,2,2,2,0,4,1,2,3,2,2,4,4,3,3,3,3,3,1,3,1,3
15061494,4,3,2,4,1,3,0,0,2,1,4,3,0,3,3,2,2,0,4,2,1,4,2,2,4,2,1,2,4,3,2,1,3,2,2
15061613,3,3,3,NA,2,0,0,0,3,2,3,4,1,1,1,2,3,0,4,0,3,2,0,4,4,4,1,3,3,3,3,0,4,0,2
15062137,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15061319,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15062142,2,4,2,4,1,2,0,0,1,1,4,2,0,2,2,1,2,0,3,3,2,3,2,0,4,2,3,1,4,4,2,0,4,0,2
15060320,2,4,1,3,1,0,0,1,1,2,3,4,2,4,0,3,2,1,4,2,4,1,2,1,2,3,1,2,4,4,1,2,2,0,3
15061768,4,4,1,4,0,0,0,0,2,2,4,4,0,3,1,1,2,0,4,1,3,1,2,1,4,2,1,0,4,3,1,2,2,0,1
15061522,4,3,2,3,0,1,1,0,3,1,4,3,2,3,1,2,1,0,4,1,4,3,1,2,4,4,2,1,4,3,2,2,2,0,1
15060081,4,4,3,4,1,1,1,1,2,1,3,3,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,NA,4,2,1,3,0,2
15061656,3,4,2,4,2,2,0,0,1,2,2,3,0,2,1,1,1,1,4,3,3,2,2,1,4,0,3,3,4,4,2,1,3,1,2
15061759,4,4,1,4,1,1,0,0,2,1,4,4,0,4,2,2,2,0,4,2,2,1,3,3,4,2,1,0,3,3,NA,1,3,1,1
15061928,4,4,0,4,0,2,1,1,2,2,4,2,1,1,2,2,2,0,3,3,2,0,2,1,1,2,1,2,3,3,2,1,3,0,3
15061454,4,4,1,4,0,1,0,0,2,0,4,3,2,2,2,1,2,0,3,3,2,3,2,1,4,2,2,2,3,3,1,0,4,2,2
15061605,2,NA,2,3,1,0,0,0,2,2,4,4,1,2,1,2,2,0,3,1,3,4,2,1,4,4,2,1,2,2,3,0,4,0,3
15060087,4,2,1,4,0,0,0,0,1,2,4,4,0,3,3,2,0,1,4,2,1,0,0,4,4,3,0,2,4,3,1,0,4,0,4
15061619,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15060090,4,3,1,3,0,2,0,1,3,3,4,3,3,2,2,1,2,0,3,2,2,2,3,1,3,4,3,1,4,3,2,0,4,0,1
15061731,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15061655,3,4,2,3,1,2,0,1,3,2,3,3,1,2,1,3,2,2,3,2,3,2,3,2,4,3,1,3,2,4,2,2,2,0,1
15061661,3,3,3,NA,2,0,0,0,3,2,3,4,1,1,1,2,3,0,4,0,3,2,0,4,4,4,1,3,3,3,3,0,4,0,2
15061499,4,4,4,4,1,0,0,1,2,2,3,4,2,3,3,1,1,NA,4,1,1,2,0,4,3,3,0,2,4,3,2,1,3,0,2
15061647,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15061612,4,4,2,4,0,1,0,0,2,1,4,3,2,2,1,2,0,0,4,3,3,1,2,0,4,3,2,2,2,3,2,2,2,0,2
15061742,4,4,4,4,1,0,0,1,2,2,3,4,2,3,3,1,1,NA,4,1,1,2,0,4,3,3,0,2,4,3,2,1,3,0,2
15061710,2,3,2,3,2,0,1,1,2,3,3,4,2,2,4,2,1,1,4,2,0,3,2,1,3,2,1,1,3,2,3,2,2,3,2
15062372,3,4,2,3,1,0,1,1,2,1,3,4,2,3,2,2,3,1,3,1,2,2,2,1,3,3,0,1,4,3,1,1,3,0,2
15061583,3,3,3,NA,2,0,0,0,3,2,3,4,2,1,1,2,3,0,4,0,3,2,0,4,4,4,1,3,3,3,3,0,4,0,2
15061767,3,4,3,3,1,1,1,1,1,2,3,3,2,1,3,3,2,0,4,1,1,1,1,3,3,3,0,0,4,4,2,2,2,0,2
15062130,4,4,3,4,1,1,0,0,0,2,3,3,0,1,2,2,1,1,4,2,2,2,2,3,4,3,1,2,4,3,2,0,4,0,2
15061637,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15061337,3,4,2,3,1,1,1,1,1,2,3,3,2,2,1,2,2,1,4,1,3,1,1,2,3,2,1,1,4,3,2,1,3,0,2
15062104,4,4,2,3,0,2,1,1,1,0,4,3,2,1,3,2,2,1,4,1,1,3,3,1,3,3,2,1,3,3,2,1,3,0,2
15061579,2,NA,4,4,2,2,1,0,2,3,2,2,0,2,1,3,3,1,4,1,3,1,2,3,3,3,1,1,3,3,3,1,3,0,2
15061932,4,3,2,3,0,2,2,0,0,2,3,3,0,1,1,3,1,1,3,1,3,1,2,1,4,2,1,3,3,2,3,0,4,0,2
15061603,4,2,1,4,0,0,0,0,1,2,4,4,0,3,3,2,0,1,4,2,1,0,0,4,4,3,0,2,4,3,1,0,4,0,4
15060025,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15061704,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15061334,2,4,3,4,1,0,0,0,2,2,3,4,0,1,1,2,1,1,4,3,3,1,2,1,4,2,2,2,4,3,3,2,2,0,2
15061631,3,3,2,3,2,0,1,1,2,3,3,4,2,2,4,2,1,1,4,2,0,3,2,1,3,2,1,1,3,3,3,2,2,3,2
15060964,4,3,2,4,0,1,1,0,3,1,4,4,0,3,3,1,2,0,4,3,1,3,3,0,4,0,0,1,4,3,2,0,4,0,1
15061778,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15061718,4,4,1,4,0,1,0,0,2,0,4,3,2,2,2,1,2,0,3,3,2,3,2,1,4,2,2,2,3,3,1,0,4,2,2
15061486,3,3,3,4,0,3,0,0,1,3,2,3,2,0,1,4,0,1,4,2,3,2,2,3,4,3,2,2,2,3,1,1,3,0,0
15060214,4,3,2,4,1,1,2,0,0,2,3,4,2,2,1,1,1,2,4,2,3,1,1,2,4,1,1,2,3,4,2,0,4,0,3
15061333,4,4,2,3,0,3,1,1,1,1,4,2,2,3,0,2,1,1,4,2,4,1,1,2,2,3,3,1,2,3,2,1,3,0,2
15061962,4,3,2,3,0,2,2,0,0,2,3,3,0,1,1,3,1,1,3,1,3,1,2,2,4,2,1,3,2,2,3,0,4,0,2
15061624,4,2,1,4,0,0,0,0,1,2,4,4,0,3,3,2,0,1,4,2,1,0,0,4,4,3,0,2,4,3,1,0,NA,0,4
15061282,3,3,3,NA,2,0,0,0,3,2,3,4,1,1,1,2,3,0,4,0,3,2,0,4,4,4,1,3,3,3,3,0,4,0,2
15061529,1,4,2,4,2,1,1,2,2,3,4,4,NA,3,3,2,1,1,4,1,1,2,1,2,2,2,1,1,4,2,2,1,3,1,2
15061935,4,3,2,3,0,2,2,0,0,2,3,3,0,1,1,3,1,1,3,1,3,1,2,2,4,2,1,3,3,2,3,0,4,0,2
15061568,4,4,2,3,0,3,0,0,1,2,4,2,0,3,1,1,1,0,4,2,3,2,1,2,4,3,2,2,4,2,2,1,3,0,2
15061491,3,4,1,4,1,1,1,0,1,3,3,3,0,2,1,1,1,0,3,3,3,1,1,4,4,3,1,2,4,4,3,2,2,0,2
15061318,2,4,2,3,2,0,1,0,0,1,4,4,2,2,2,2,2,1,4,1,2,1,1,3,4,2,1,0,4,3,2,1,3,0,0
15061361,3,4,2,3,1,1,1,1,1,2,3,3,2,2,1,2,2,1,4,1,3,1,1,2,3,2,1,1,4,3,2,1,3,0,2
15061515,4,4,3,4,2,0,1,0,2,3,2,4,1,1,4,2,1,1,3,2,0,2,1,3,4,1,1,2,4,3,3,0,4,0,3
15062123,4,4,4,4,1,0,0,1,2,2,3,4,2,3,3,1,1,NA,4,1,1,2,0,4,3,3,0,2,4,3,2,1,3,0,2
15061358,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15061428,3,4,2,3,1,2,1,1,1,1,3,4,2,2,1,2,1,1,4,1,3,1,2,2,3,3,2,1,3,4,3,2,2,0,2
15061496,4,3,1,4,1,2,0,0,3,1,4,3,0,3,4,2,3,0,4,2,0,2,3,1,4,2,2,1,3,3,2,1,3,2,2
15061648,2,4,2,3,1,2,1,1,1,1,3,3,2,2,1,1,1,2,4,2,3,1,1,3,3,3,3,1,3,4,3,2,2,0,3
15061808,4,2,2,2,1,1,0,0,3,2,3,4,1,3,2,2,2,0,4,1,2,3,2,2,4,4,3,3,3,3,3,1,3,1,3
15061600,4,NA,2,4,0,3,1,0,1,0,4,3,0,1,3,3,2,2,4,1,1,2,3,3,4,3,0,1,3,4,2,0,NA,0,2
15061730,4,3,2,4,0,1,1,1,2,1,4,3,3,2,1,2,2,0,3,1,3,1,2,3,3,3,2,1,3,3,3,1,3,1,2
15061623,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15061405,3,3,3,NA,2,0,0,0,3,2,3,4,1,1,1,2,3,0,4,0,3,2,0,4,4,4,1,3,3,3,3,0,4,0,2
15061299,3,3,3,NA,2,0,0,0,3,2,3,4,1,1,1,2,3,0,4,0,3,2,0,4,4,4,1,3,3,3,3,0,4,0,2
15061578,4,4,2,3,0,2,1,1,1,0,4,3,2,1,3,2,2,1,4,1,1,3,3,1,3,3,2,1,3,3,2,1,3,0,2
15061476,1,3,3,3,3,1,0,0,1,2,3,4,2,3,2,3,0,2,4,2,2,1,1,4,4,3,2,0,4,3,1,1,3,0,2
15061765,1,4,2,4,2,1,1,2,2,3,4,4,NA,3,3,2,1,1,4,1,1,2,1,2,2,2,1,1,4,2,2,1,3,1,2
15062111,4,4,2,3,1,1,0,1,1,1,3,3,2,4,2,1,1,2,4,1,2,1,0,3,3,3,2,1,2,3,2,1,3,0,1
15061397,4,2,1,4,0,0,0,0,1,2,4,4,0,3,3,2,0,1,4,2,1,0,0,4,4,3,0,2,4,3,1,0,4,0,4
15061713,4,4,3,4,1,1,1,1,1,1,3,4,2,2,2,1,1,2,4,2,2,2,1,3,3,3,2,2,4,4,2,1,3,0,2
15061584,4,3,2,4,0,0,0,0,3,1,3,4,0,2,2,2,0,0,4,3,2,2,3,2,4,3,1,3,3,2,3,1,3,0,3
15061912,3,4,3,4,2,3,1,0,1,4,4,4,2,1,4,3,0,1,4,1,0,3,2,0,4,2,1,2,1,3,2,NA,NA,2,1
