SAMPLES,c1_12106,c2_27763,c2_28666,c2_28697,c2_2957,c2_3747,c2_39100,c2_4366,c2_50176,c2_51578,c2_52898,c2_55639,c2_55830,c2_55835,c2_58236
15061942,0,1,3,3,2,2,3,4,3,1,2,2,2,2,2
15061763,2,0,3,3,1,1,4,3,3,0,2,4,2,2,2
15061801,0,1,3,3,2,2,4,3,3,1,2,3,2,2,2
15061494,2,0,3,3,1,1,3,4,4,1,2,4,3,1,2
15061613,1,1,2,3,2,2,3,2,2,1,1,3,1,3,3
15062137,2,1,3,3,2,1,4,4,4,0,1,4,3,1,3
15061319,2,0,3,3,1,1,4,3,3,0,1,2,3,1,3
15062142,0,2,4,4,2,0,4,4,3,1,2,2,3,1,2
15060320,1,0,3,3,1,2,3,3,3,2,1,3,4,0,3
15061768,1,1,2,3,1,1,3,4,3,0,3,3,3,1,1
15061522,0,0,3,3,3,2,4,4,2,1,1,3,3,1,3
15060081,2,0,3,3,1,1,4,3,3,0,1,2,3,1,3
15061656,1,0,1,2,3,3,4,4,3,1,1,3,4,0,3
15061759,1,1,2,3,2,3,4,4,2,0,2,3,3,1,2
15061928,2,1,3,3,3,2,3,4,4,0,3,3,3,1,1
15061454,1,0,4,4,2,2,2,4,3,0,3,4,3,1,1
15061605,1,1,2,3,2,1,4,4,3,2,2,4,4,0,2
15060087,1,1,3,3,2,2,4,3,4,0,3,3,2,2,1
15061619,2,1,3,3,2,1,4,4,4,0,1,4,3,1,3
15060090,1,1,1,1,2,1,4,4,4,1,1,4,2,2,3
15061731,2,1,3,3,2,1,4,4,4,0,1,4,3,1,3
15061655,0,0,1,4,1,2,4,4,3,0,0,3,2,2,4
15061661,1,1,2,3,2,2,3,2,2,1,1,3,1,3,3
15061499,1,0,1,2,2,1,4,2,3,1,2,2,2,2,2
15061647,2,0,3,3,1,1,4,3,3,0,1,2,3,1,3
15061612,1,0,2,2,1,2,4,4,4,1,1,3,3,1,3
15061742,1,0,1,2,2,1,4,2,3,1,2,2,2,2,2
15061710,0,0,4,4,2,3,3,4,4,0,2,2,3,1,2
15062372,1,1,4,4,3,2,3,2,4,0,2,2,3,1,2
15061583,1,1,2,3,2,2,3,2,2,1,1,3,1,3,3
15061767,1,0,4,4,2,3,4,3,4,0,2,4,2,2,2
15062130,2,0,3,3,0,2,4,4,2,0,1,3,4,0,3
15061637,2,0,3,3,1,1,4,3,3,0,1,2,3,1,3
15061337,1,0,3,3,1,1,3,3,4,0,2,3,3,1,2
15062104,1,1,2,2,2,2,4,4,4,0,1,4,3,1,3
15061579,0,0,2,2,3,3,3,4,3,1,3,3,2,2,1
15061932,1,1,3,3,1,2,4,4,4,0,1,2,1,3,3
15061603,1,1,3,3,2,2,4,3,4,0,3,3,2,2,1
15060025,2,0,3,3,1,1,4,3,3,0,1,2,3,1,3
15061704,2,0,3,3,1,1,4,3,3,0,1,2,3,1,3
15061334,2,1,3,3,0,1,3,4,3,0,2,3,3,1,2
15061631,0,0,4,4,2,3,3,4,4,0,2,2,3,1,2
15060964,1,0,2,2,1,3,4,4,3,0,1,4,2,2,3
15061778,2,1,3,3,2,1,4,4,4,0,1,4,3,1,3
15061718,1,0,4,4,2,2,2,4,3,0,3,4,3,1,1
