SAMPLES,c1_13289,c1_15219,c1_16171,c1_16540,c1_2640,c1_513,c2_12760,c2_12779,c2_12788,c2_34179,c2_43243,c2_45168,c2_46777,c2_55072,c2_58373
15061942,3,1,0,2,2,2,0,4,0,1,3,4,4,4,4
15061763,4,0,0,1,4,3,0,4,0,3,4,4,3,4,4
15061801,1,2,2,1,4,2,1,3,1,3,0,3,1,1,2
15061494,3,1,0,0,3,2,0,4,0,2,3,3,2,2,3
15061613,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15062137,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15061319,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15062142,2,4,1,2,2,2,1,4,2,2,3,4,3,2,4
15060320,3,1,0,2,2,3,0,4,0,2,2,4,2,3,4
15061768,3,2,0,3,3,2,1,4,1,1,2,3,2,3,3
15061522,3,1,1,1,4,0,1,3,1,2,0,3,1,2,3
15060081,2,2,1,1,3,2,0,NA,NA,2,1,4,2,2,4
15061656,1,2,1,2,2,2,0,4,0,0,2,4,3,0,4
15061759,4,2,0,1,3,1,0,4,0,0,3,3,4,2,3
15061928,3,2,0,0,4,2,2,3,1,0,3,3,2,3,2
15061454,3,1,1,1,1,1,1,4,1,1,1,2,1,4,4
15061605,2,1,1,1,4,3,0,4,0,1,1,4,3,3,3
15060087,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15061619,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15060090,3,1,1,2,3,3,0,4,0,3,0,3,2,1,3
15061731,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15061655,1,2,0,3,2,1,1,3,2,2,2,4,3,1,4
15061661,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15061499,3,3,0,1,3,3,0,4,0,2,1,4,3,4,4
15061647,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061612,4,0,1,2,3,4,0,4,0,4,2,3,2,2,4
15061742,3,3,0,1,3,3,0,4,0,2,1,4,3,4,4
15061710,3,3,1,1,4,0,1,3,1,3,2,3,3,1,3
15062372,2,2,0,1,4,3,1,4,1,2,3,3,4,4,3
15061583,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15061767,4,1,0,1,3,4,0,4,0,1,4,4,4,4,4
15062130,4,2,0,2,2,4,0,4,0,2,2,4,3,4,4
15061637,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061337,4,1,0,2,3,1,1,4,1,2,3,4,2,4,4
15062104,4,1,0,0,4,3,1,4,1,1,3,4,4,3,4
15061579,4,0,0,2,2,2,1,4,1,3,3,4,3,4,4
15061932,2,2,0,1,4,2,0,4,0,1,2,4,3,4,4
15061603,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15060025,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061704,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061334,4,1,0,2,3,2,1,4,1,1,4,4,3,3,4
15061631,3,3,1,1,4,0,1,3,1,3,2,3,3,1,3
15060964,1,1,1,1,2,4,1,4,1,2,2,3,2,2,3
15061778,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15061718,3,1,1,1,1,2,1,4,1,1,1,1,1,4,4
15061486,3,2,0,3,2,3,0,4,0,0,4,3,4,3,4
15060214,2,3,0,2,2,1,0,4,0,2,1,4,3,3,4
15061333,2,1,0,1,4,2,1,4,1,1,4,4,3,4,4
15061962,2,2,0,1,4,2,0,4,0,1,2,4,3,4,4
15061624,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15061282,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15061529,3,2,0,1,3,3,0,4,0,2,2,4,2,4,3
15061935,2,2,0,1,4,2,0,4,0,1,2,4,3,4,4
15061568,3,2,0,1,3,4,1,4,1,2,2,4,3,3,4
15061491,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15061318,2,2,0,3,2,2,0,4,1,3,3,4,1,4,4
15061361,4,1,0,2,3,2,1,4,1,2,3,4,2,4,4
15061515,2,2,1,2,2,3,0,4,0,3,2,4,2,2,4
15062123,3,3,0,1,3,3,0,4,0,2,1,4,3,4,4
15061358,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061428,2,1,0,2,2,4,0,4,0,0,3,4,3,4,4
15061496,2,1,1,1,3,1,0,4,0,1,2,3,2,2,3
15061648,4,2,0,1,3,4,0,4,0,2,3,4,3,3,4
15061808,1,2,2,1,4,2,1,3,1,3,0,3,1,1,2
15061600,4,2,1,1,3,2,0,4,0,1,2,NA,2,3,4
15061730,3,0,1,2,4,2,0,4,0,2,3,3,2,3,4
15061623,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061405,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15061299,3,2,0,2,3,3,1,3,1,1,1,4,2,2,3
15061578,4,1,0,0,4,3,1,4,1,1,3,4,4,3,4
15061476,3,1,0,3,2,2,0,4,0,2,2,4,2,4,3
15061765,3,2,0,1,3,3,0,4,0,2,2,4,2,4,3
15062111,4,1,0,1,3,2,1,4,1,2,2,4,2,3,4
15061397,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15061713,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15061584,3,2,1,4,1,2,1,3,1,2,2,3,2,1,2
15061912,3,1,1,0,4,2,1,3,2,2,4,4,4,3,3
15061260,3,2,0,1,3,2,0,4,0,2,1,4,3,3,4
15062099,3,2,0,3,3,3,1,3,1,2,1,3,2,2,3
15061350,3,1,0,1,3,3,1,4,1,2,2,4,4,3,4
15060933,0,2,0,3,2,2,0,4,1,2,4,4,1,4,4
15061548,3,3,0,2,3,3,0,4,0,2,1,4,4,3,4
15061348,4,1,0,2,3,2,1,4,1,3,3,4,2,4,4
15061560,2,2,1,2,2,2,0,4,0,2,1,4,3,1,3
15061544,3,0,0,2,2,3,0,4,0,3,2,4,2,3,4
15061449,3,1,1,1,1,2,1,4,1,1,1,1,1,4,4
15062348,2,1,0,2,2,4,0,4,0,0,3,4,3,4,4
15061916,4,1,0,2,3,2,1,4,1,2,3,4,2,4,4
15062138,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15061946,2,1,1,1,3,1,0,4,0,1,2,3,2,2,3
15061676,4,1,0,2,3,2,1,4,1,3,3,4,2,4,4
15060536,1,1,0,3,3,4,0,4,1,2,2,3,3,2,4
15061391,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15061662,3,1,1,1,1,2,1,4,1,1,1,2,1,4,4
15061228,1,1,0,3,1,3,1,3,1,4,2,3,1,2,NA
15061356,3,1,1,2,3,3,0,4,0,3,0,3,2,1,3
15061963,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15061338,3,0,0,2,2,2,0,4,0,2,2,4,2,3,4
15062331,3,1,1,2,3,3,0,4,0,3,0,3,2,1,3
15062098,2,1,0,2,2,4,0,4,0,0,3,4,3,4,4
15062114,4,0,0,2,2,2,1,4,1,3,3,4,3,4,4
15062046,3,1,1,0,4,2,1,3,2,2,4,4,4,3,3
15062370,4,1,0,0,4,3,1,4,1,1,3,4,4,3,4
15061685,3,2,0,1,3,3,0,4,0,1,3,4,3,3,3
15061540,3,3,0,1,3,3,0,4,0,2,1,4,3,4,4
15061721,3,1,0,1,2,4,1,4,1,2,4,4,2,4,4
15062074,3,1,0,2,4,4,1,4,1,1,1,4,3,3,4
15062362,4,1,0,2,3,2,1,4,1,2,3,4,2,4,4
15061689,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
15061357,4,1,0,0,4,3,1,4,1,1,3,4,4,3,4
15061376,2,1,0,2,2,4,0,4,0,0,3,4,3,4,4
15061308,4,1,0,1,4,3,0,4,0,3,2,4,1,4,4
