SAMPLES,c1_16534,c1_16540,c1_16542,c1_3497,c1_3499,c1_5837,c1_7871,c1_7872,c1_7874,c2_10681,c2_12976,c2_14980,c2_39029,c2_47202,c2_53914
15060021,0,1,3,4,2,1,3,3,1,3,1,2,3,3,3
15060027,3,1,4,3,2,0,4,4,0,2,0,0,1,4,2
15060039,3,2,3,2,0,0,3,4,0,4,2,2,2,4,3
15060042,2,2,3,2,1,0,3,3,1,3,2,2,1,3,2
15060050,1,2,2,1,0,0,2,2,1,4,2,3,2,3,2
15060056,0,2,3,2,2,1,4,4,0,4,2,0,1,4,3
15060063,0,2,3,1,0,0,2,2,2,4,2,1,3,3,2
15060070,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15060072,1,1,4,3,1,0,2,2,2,3,3,2,0,2,4
15060082,2,2,3,0,0,0,3,4,0,4,2,2,1,4,2
15060085,2,0,4,3,1,0,2,2,2,3,2,2,2,3,1
15060097,2,1,3,2,0,1,1,3,0,2,2,1,1,4,4
15060101,1,2,4,3,2,1,3,3,0,2,2,1,1,4,3
15060102,2,1,3,2,2,1,1,2,2,4,2,NA,1,2,2
15060110,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15060112,2,2,4,3,1,1,3,3,1,3,2,2,1,3,2
15060114,2,2,3,3,2,0,3,3,0,3,2,1,0,4,3
15060120,3,4,2,1,0,0,4,4,0,4,1,2,1,4,1
15060121,1,1,4,2,1,1,3,3,1,3,2,2,3,3,2
15060122,1,2,2,1,0,0,2,2,1,4,2,2,2,3,2
15060138,2,3,3,2,0,0,4,4,0,4,2,0,1,4,2
15060160,2,2,2,2,0,0,2,3,1,4,2,3,2,3,2
15060187,2,2,4,3,1,1,3,3,1,4,1,1,2,3,3
15060188,2,2,3,2,0,NA,4,4,0,4,2,0,1,4,1
15060190,1,2,4,3,1,0,3,3,1,3,2,2,2,3,3
15060191,1,1,4,2,1,0,3,3,1,3,1,2,1,3,2
15060215,2,2,3,3,2,0,3,3,0,3,2,1,0,4,3
15060313,0,1,4,3,2,1,2,3,1,3,2,2,1,3,3
15060345,2,2,4,3,1,1,3,3,1,3,2,2,2,3,3
15060383,0,1,4,3,2,1,2,3,1,3,2,3,1,3,3
15060420,2,2,4,3,1,1,3,3,1,3,2,2,2,3,3
15060543,1,3,1,1,1,2,4,4,0,3,3,0,2,4,4
15060570,2,1,3,4,2,0,3,3,1,4,2,1,4,2,3
15060797,1,0,4,2,0,1,3,3,1,2,2,2,2,4,1
15060846,1,2,2,1,0,0,2,2,1,4,2,3,2,3,2
15060907,1,3,2,2,2,1,4,4,0,4,3,0,3,4,3
15060909,1,1,4,2,0,2,2,4,0,3,2,0,2,4,3
15060910,0,2,3,3,2,1,2,2,1,3,2,2,0,3,3
15061007,1,1,4,2,0,1,4,4,0,4,2,0,2,4,2
15061011,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061122,1,2,2,1,0,0,2,2,1,4,2,2,2,3,2
15061204,1,2,4,4,2,1,2,2,1,3,3,2,2,3,3
15061213,3,2,3,2,0,0,3,4,0,4,2,2,2,4,3
15061215,3,2,3,2,0,0,3,4,0,4,2,2,2,4,3
15061216,0,3,3,4,3,1,3,3,1,3,3,0,2,3,3
15061225,2,2,NA,3,2,0,3,3,0,3,2,1,0,4,3
15061226,1,1,3,3,1,0,4,4,0,4,1,0,3,4,3
15061237,1,3,1,1,1,2,4,4,0,3,3,0,2,4,4
15061256,2,1,4,3,1,1,4,4,0,4,2,0,1,4,2
15061257,1,2,2,1,1,0,4,4,0,3,3,0,1,4,3
15061258,2,2,3,2,0,1,3,3,1,4,1,3,1,3,3
15061259,2,2,3,2,0,0,4,4,0,4,2,0,1,4,1
15061261,1,1,4,2,1,1,3,3,1,3,2,2,1,3,2
15061262,1,2,4,3,2,1,3,3,0,2,2,1,1,4,3
15061263,1,3,4,4,2,1,4,4,0,2,2,0,1,4,3
15061264,1,2,4,3,2,1,3,3,0,2,2,1,1,4,3
15061265,2,2,4,3,1,1,4,4,0,3,3,0,1,4,2
15061270,1,1,4,1,1,1,3,3,1,3,2,2,2,3,2
15061271,2,0,4,1,1,0,2,2,2,4,3,0,2,2,3
15061273,2,2,4,3,1,1,4,4,0,3,3,0,1,4,2
15061274,1,0,4,2,0,0,1,2,2,4,4,2,0,2,2
15061277,2,1,4,0,0,2,1,3,1,4,3,2,2,3,2
15061279,1,1,4,2,1,0,2,3,1,3,2,2,1,3,2
15061281,3,2,3,2,0,0,3,4,0,4,2,2,2,4,3
15061283,2,2,4,3,1,1,3,3,1,3,2,2,1,3,2
15061286,2,0,4,1,1,0,2,2,2,4,3,0,2,2,3
15061288,3,2,3,3,0,0,3,4,0,4,2,2,2,4,3
15061289,3,2,3,2,0,0,3,4,0,4,2,2,2,4,3
15061290,1,2,4,1,0,1,3,4,0,4,2,0,1,4,3
