SAMPLES,c1_11237,c1_1318,c1_3612,c1_4359,c1_5411,c1_5936,c1_5940,c1_8293,c2_16915,c2_23251,c2_24556,c2_37342,c2_45611,c2_49313,c2_53914
15060021,3,3,3,3,3,1,1,0,4,0,3,1,4,1,3
15060027,3,1,3,2,2,1,1,0,3,0,4,0,3,3,2
15060039,3,0,4,2,3,1,1,0,3,2,3,0,3,1,3
15060042,3,3,3,3,3,1,1,0,4,0,4,2,4,1,2
15060050,3,4,4,4,2,2,2,0,4,0,3,1,3,1,2
15060056,3,3,4,2,3,1,1,0,4,1,3,1,2,2,3
15060063,4,0,3,2,4,0,0,0,4,3,3,1,3,3,2
15060070,4,2,3,2,3,0,0,0,4,0,3,0,4,2,1
15060072,4,1,3,1,2,1,1,0,4,0,2,2,3,3,4
15060082,4,2,2,3,4,0,0,0,4,0,4,0,4,2,2
15060085,2,3,2,2,3,1,1,1,4,0,4,0,3,1,1
15060097,4,0,4,0,3,0,0,1,4,0,2,0,2,4,4
15060101,4,1,4,2,3,1,1,0,2,0,4,0,4,2,3
15060102,3,2,3,2,3,1,1,0,4,1,4,0,4,1,2
15060110,4,2,3,2,3,0,0,0,4,0,3,0,4,2,1
15060112,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15060114,3,1,3,1,2,1,1,1,4,1,3,0,3,3,3
15060120,4,2,3,3,4,0,0,0,4,2,3,1,4,1,1
15060121,3,1,3,3,3,1,1,0,4,0,4,1,3,0,2
15060122,3,4,4,4,2,2,2,0,4,0,3,1,3,1,2
15060138,3,3,3,2,2,1,1,0,4,0,3,0,4,1,2
15060160,3,4,4,4,2,2,3,0,4,0,3,2,3,1,2
15060187,3,2,3,4,4,0,0,0,4,0,3,1,4,2,3
15060188,4,2,3,2,3,0,0,0,4,0,3,0,4,2,1
15060190,3,3,3,3,2,1,1,0,3,2,4,1,3,2,3
15060191,4,2,4,3,3,1,1,0,3,1,3,0,3,2,2
15060215,3,1,3,1,2,1,1,1,4,1,3,0,3,3,3
15060313,4,2,3,2,2,0,0,1,3,2,1,0,4,2,3
15060345,4,0,4,1,3,0,0,1,3,2,4,1,4,1,3
15060383,4,2,3,2,2,0,0,1,3,2,1,0,4,2,3
15060420,4,0,4,1,3,0,0,1,3,2,4,1,4,1,3
15060543,4,3,4,2,4,0,0,2,3,1,1,1,3,4,4
15060570,3,4,4,2,3,1,1,0,4,1,3,1,4,2,3
15060797,1,2,4,3,1,3,3,0,4,1,3,1,3,3,1
15060846,3,4,4,4,2,2,2,0,4,0,3,1,3,1,2
15060907,2,2,3,2,2,2,2,0,3,2,2,1,3,2,3
15060909,4,0,4,1,3,0,0,1,3,1,4,0,2,3,3
15060910,3,0,3,2,1,1,1,1,3,1,3,0,4,1,3
15061007,3,3,3,2,3,1,1,1,4,2,3,0,4,1,2
15061011,4,3,3,3,4,0,0,0,2,2,3,0,3,2,2
15061122,3,4,4,4,2,2,2,0,4,0,3,1,3,1,2
15061204,3,4,4,4,3,1,1,0,4,2,1,0,1,2,3
15061213,3,0,4,2,3,1,1,0,3,2,3,0,3,1,3
15061215,3,0,4,2,3,1,1,0,3,2,3,0,3,1,3
15061216,4,3,4,2,4,0,0,0,3,0,1,0,3,2,3
15061225,3,1,3,1,2,1,1,1,4,1,3,0,3,3,3
15061226,3,4,4,3,3,1,1,1,3,1,1,0,3,1,3
15061237,4,3,4,2,4,0,0,2,3,1,1,1,3,4,4
15061256,3,3,4,3,2,2,2,0,4,0,3,1,2,2,2
15061257,4,3,4,1,3,0,0,1,4,2,2,0,4,3,3
15061258,4,2,4,2,4,0,0,0,4,1,3,2,4,1,3
15061259,4,2,3,2,3,0,0,0,4,0,3,0,4,2,1
15061261,4,3,3,3,4,0,0,0,2,2,3,0,3,2,2
15061262,4,1,4,2,3,1,1,0,3,0,4,0,4,2,3
15061263,4,2,4,2,4,0,0,0,1,0,4,0,4,2,3
15061264,4,1,4,2,3,1,1,0,3,0,4,0,4,2,3
15061265,3,2,3,2,3,1,1,0,4,0,4,0,2,1,2
15061270,3,2,3,3,3,1,1,0,3,0,3,0,2,2,2
15061271,4,2,4,3,3,0,0,1,3,0,4,2,3,0,3
15061273,3,2,3,2,3,1,1,0,4,0,4,0,2,1,2
15061274,4,2,3,1,3,0,0,1,3,1,4,2,3,1,2
15061277,4,3,4,2,4,0,0,0,2,1,4,1,4,0,2
15061279,4,1,3,2,4,0,0,0,2,1,4,0,2,1,2
15061281,3,0,4,2,3,1,1,0,3,2,3,0,3,1,3
15061283,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061286,4,2,4,3,3,0,0,1,3,0,4,2,3,0,3
15061288,3,0,4,2,3,1,1,0,3,2,3,0,3,1,3
15061289,3,0,4,2,3,1,1,0,3,2,3,0,3,1,3
15061290,4,3,4,1,2,1,1,0,4,0,3,1,3,2,3
15061291,4,0,4,2,4,0,0,1,3,1,3,0,4,2,3
15061293,3,2,4,1,3,1,1,0,4,1,4,0,3,1,2
15061295,4,2,3,2,4,0,0,0,4,1,3,1,4,2,2
15061296,4,3,3,3,4,0,0,0,4,1,4,0,3,3,2
15061297,3,3,4,3,2,2,2,0,4,0,3,1,2,2,2
15061298,4,2,4,1,4,0,0,1,4,0,2,1,3,1,2
15061300,3,2,2,3,2,1,1,0,4,1,3,0,4,1,3
15061301,4,2,4,1,4,0,0,1,4,0,2,1,3,1,2
15061302,3,1,4,3,2,1,1,1,3,1,4,1,2,2,2
15061303,4,0,4,1,3,0,0,1,3,1,4,0,2,3,3
15061305,3,4,3,2,2,1,1,0,4,0,3,0,2,1,2
15061307,3,3,4,4,2,2,2,0,4,0,3,0,2,1,2
15061312,4,0,4,2,4,0,0,1,3,1,3,0,4,2,3
15061313,4,2,4,3,3,1,1,0,3,1,3,0,3,2,2
15061314,3,1,3,2,2,1,1,1,3,2,4,1,2,1,3
15061317,4,1,4,2,3,1,1,0,3,0,4,0,4,2,3
15061320,3,4,3,3,2,2,2,1,4,0,3,0,3,2,3
15061323,3,1,3,1,2,1,1,1,4,1,3,0,3,3,3
15061324,4,3,3,1,3,1,1,0,4,1,1,0,4,3,2
15061327,4,3,3,3,4,0,0,0,2,2,3,0,3,2,2
15061329,3,2,4,4,2,1,1,0,3,1,4,0,2,1,2
15061330,4,2,3,2,3,0,0,0,4,0,3,1,2,3,4
15061331,4,1,4,1,3,0,0,0,2,1,4,2,3,3,2
15061335,3,3,4,4,3,1,1,0,3,1,4,1,4,2,1
15061336,3,3,3,3,3,1,1,1,3,0,4,0,3,2,2
15061340,4,2,3,2,3,0,0,0,4,0,3,0,4,2,2
15061342,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061344,3,3,3,3,3,1,1,0,4,1,4,1,3,1,2
15061345,4,0,4,1,3,0,0,1,3,2,4,1,4,1,3
15061346,4,0,4,1,3,0,0,1,3,2,4,1,4,1,3
15061347,3,3,3,2,3,1,1,0,4,0,3,1,3,1,2
15061349,3,3,2,3,2,1,1,0,3,0,3,1,4,2,1
15061352,4,1,2,3,4,0,0,0,4,1,4,1,2,2,3
15061353,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061355,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061360,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061364,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061365,3,0,4,2,3,1,1,0,3,2,3,0,3,1,2
15061367,3,0,4,2,3,1,1,0,3,2,3,0,3,1,3
15061368,3,1,3,3,3,1,1,0,4,0,4,1,3,0,2
15061369,3,1,3,3,3,1,1,0,4,0,4,1,3,0,2
15061370,4,0,4,1,3,0,0,1,3,2,4,1,4,1,3
15061377,4,3,3,3,4,0,0,0,2,2,3,0,3,2,2
15061378,3,3,4,4,3,1,1,0,3,1,4,1,4,2,1
15061380,3,3,3,2,3,1,1,0,4,0,3,1,3,1,2
15061382,3,1,3,1,2,1,1,1,4,1,3,0,3,3,3
15061383,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061384,4,2,3,2,3,0,0,0,4,0,3,0,4,2,1
15061385,4,2,3,2,3,0,0,0,4,0,3,0,4,2,1
15061386,3,1,3,3,3,1,1,0,4,0,4,1,3,0,2
15061388,3,0,4,3,3,1,1,0,3,0,3,0,4,1,3
15061389,4,1,2,3,4,0,0,0,4,1,4,2,2,2,3
15061390,4,1,2,3,4,0,0,0,4,1,4,1,2,2,3
15061392,3,2,2,4,4,0,0,1,3,1,3,2,3,1,3
15061394,4,1,4,2,3,1,1,0,3,0,4,0,4,2,3
15061396,4,1,4,2,3,1,1,0,2,0,4,0,4,2,3
15061404,4,1,2,3,4,0,0,0,4,1,4,1,2,2,3
15061406,3,2,3,2,3,1,1,0,4,0,4,0,3,1,2
15061410,4,0,4,2,2,1,1,0,2,2,1,0,3,1,2
15061411,3,2,3,2,3,1,1,0,4,0,3,1,4,0,1
15061414,4,1,2,3,4,0,0,0,4,1,4,1,2,2,3
15061415,4,3,3,1,4,0,0,0,4,0,3,1,4,1,2
15061417,4,1,2,3,4,0,0,0,4,1,4,1,2,2,3
15061418,4,1,2,3,4,0,0,0,4,1,4,1,2,2,3
15061419,4,2,3,2,3,0,0,0,4,0,3,0,4,2,1
