SAMPLES,c1_1318,c1_1874,c1_3992,c1_4359,c1_4748,c2_12780,c2_2464,c2_26938,c2_27929,c2_2957,c2_31156,c2_36460,c2_50176,c2_5151,c2_5152
15061942,3,3,2,3,2,3,0,2,4,2,3,4,3,1,1
15061763,2,3,2,2,1,4,0,2,4,1,2,4,3,0,0
15061801,1,3,3,3,2,4,0,1,4,2,2,2,3,0,0
15061494,0,2,1,3,2,2,0,0,4,1,2,4,4,1,1
15061613,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15062137,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061319,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15062142,0,3,0,2,2,3,1,1,4,2,2,3,3,0,0
15060320,0,3,1,2,2,4,0,1,4,1,3,4,3,1,1
15061768,2,3,0,2,2,3,0,0,4,1,2,4,3,1,1
15061522,1,2,1,2,3,4,0,0,4,3,3,3,2,2,2
15060081,2,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061656,2,3,3,2,3,2,0,0,4,3,1,4,3,1,1
15061759,4,3,NA,4,2,2,1,0,4,2,1,3,2,1,1
15061928,0,3,0,3,3,4,1,0,4,3,1,4,4,1,1
15061454,4,2,1,2,2,2,0,0,4,2,3,4,3,2,2
15061605,3,3,0,2,3,4,0,0,4,2,2,3,3,0,0
15060087,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061619,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15060090,4,4,0,4,4,4,1,1,4,2,1,3,4,0,0
15061731,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061655,1,3,2,2,3,3,0,0,4,1,1,2,3,0,0
15061661,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15061499,2,3,2,3,2,4,0,1,4,2,2,4,3,0,0
15061647,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061612,2,2,2,3,1,3,0,2,4,1,2,4,4,1,1
15061742,2,3,2,3,2,4,0,1,4,2,2,4,3,0,0
15061710,3,3,1,3,2,3,0,0,4,2,3,4,4,1,1
15062372,3,4,1,2,2,4,0,0,3,3,3,3,4,0,0
15061583,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15061767,1,3,0,3,2,2,0,0,4,2,2,4,4,1,1
15062130,2,4,1,2,3,3,0,1,3,0,2,4,2,0,0
15061637,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061337,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15062104,2,3,1,4,1,3,0,0,4,2,3,4,4,1,1
15061579,2,3,1,3,3,4,0,0,3,3,4,4,3,0,0
15061932,0,3,2,1,3,4,1,1,3,1,2,3,4,1,1
15061603,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15060025,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061704,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061334,3,3,2,2,3,3,0,0,3,0,2,4,3,0,0
15061631,3,3,1,3,2,3,0,0,4,2,3,4,4,1,1
15060964,3,3,0,2,3,2,0,1,4,1,0,3,3,0,0
15061778,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061718,4,2,1,2,2,2,0,0,4,2,3,4,3,2,2
15061486,3,2,1,4,2,3,0,0,4,3,2,4,3,0,0
15060214,1,2,1,2,2,4,1,1,4,2,2,3,2,1,1
15061333,3,3,1,4,2,4,0,1,3,3,3,4,3,1,1
15061962,0,3,2,1,3,4,1,1,3,1,2,3,4,1,1
15061624,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061282,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15061529,2,3,1,2,1,3,0,1,4,1,1,4,3,1,1
15061935,0,3,2,1,3,4,1,1,3,1,2,3,4,1,1
15061568,1,3,1,1,2,4,0,0,4,1,3,4,3,0,0
15061491,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061318,4,3,0,3,2,2,0,2,3,1,2,4,4,0,0
15061361,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061515,1,3,1,2,1,3,0,1,4,3,2,4,3,0,0
15062123,2,3,2,3,2,4,0,1,4,2,2,4,3,0,0
15061358,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061428,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15061496,3,3,1,2,2,2,1,0,4,1,2,4,3,1,1
15061648,1,3,1,2,3,3,0,1,4,2,3,4,3,0,0
15061808,2,3,3,3,2,4,0,1,4,2,2,2,3,0,0
15061600,2,4,1,3,3,3,1,1,4,1,4,4,3,NA,NA
15061730,2,3,1,2,2,4,0,1,4,0,2,3,3,1,1
15061623,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061405,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15061299,1,2,NA,1,2,3,0,0,4,2,2,2,2,1,1
15061578,2,3,1,4,1,3,0,0,4,2,3,4,4,1,1
15061476,3,3,0,3,1,3,0,1,3,0,2,3,3,1,1
15061765,2,3,1,2,1,3,0,1,4,1,1,4,3,1,1
15062111,1,4,1,2,3,4,0,1,4,1,4,4,2,0,0
15061397,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061713,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061584,2,4,3,3,1,4,0,1,4,1,2,2,4,0,0
15061912,3,3,1,1,2,NA,0,0,4,2,2,4,2,1,1
15061260,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15062099,3,3,1,3,2,3,0,0,4,2,2,3,3,0,0
15061350,0,4,2,2,2,4,0,2,4,1,2,4,1,0,0
15060933,3,4,2,2,2,NA,1,2,3,2,1,3,1,0,0
15061548,4,4,1,2,3,4,0,1,3,1,3,4,2,0,0
15061348,2,4,1,3,3,3,0,1,3,1,4,3,4,0,0
