SAMPLES,c1_10202,c1_10555,c1_14664,c1_14813,c1_15909,c1_4206,c1_4238,c1_4243,c1_9695,c2_10615,c2_10690,c2_12770,c2_12976,c2_13133,c2_13177,c2_13180,c2_17938,c2_27635,c2_32415,c2_35053,c2_35101,c2_36599,c2_4165,c2_44816,c2_45886
15061942,1,3,3,3,3,4,4,2,1,3,1,3,2,0,0,0,4,3,1,0,4,0,3,3,1
15061763,1,3,3,3,4,3,4,2,2,4,0,3,1,0,0,0,3,3,2,0,4,0,3,2,2
15061801,2,3,3,2,2,3,2,4,2,4,0,4,4,2,2,2,2,4,2,2,4,0,0,2,3
15061494,2,4,4,2,4,4,4,1,2,4,0,3,3,0,0,0,4,3,2,2,3,2,2,4,1
15061613,1,3,3,2,4,3,4,4,2,4,0,3,2,0,0,0,3,3,2,2,3,0,2,2,3
15062137,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15061319,0,4,2,3,3,4,4,2,1,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15062142,1,4,2,4,2,2,2,3,2,2,1,4,4,2,2,2,3,4,2,1,3,0,1,1,2
15060320,0,3,4,3,3,4,4,3,1,4,0,3,2,0,0,0,3,3,1,0,4,2,3,2,2
15061768,1,4,3,2,3,3,3,3,0,3,1,3,2,1,1,1,3,3,0,1,4,0,3,2,2
15061522,0,4,2,3,3,3,3,3,0,4,0,2,2,1,1,1,4,2,0,2,3,0,1,3,1
15060081,1,4,2,3,3,4,4,2,2,3,1,3,2,0,0,0,3,NA,1,2,3,0,2,1,3
15061656,2,4,3,3,4,4,4,2,2,4,0,4,1,0,0,0,3,4,2,2,2,2,1,3,1
15061759,1,4,2,4,4,4,4,3,2,3,1,2,2,0,0,0,4,2,2,2,3,0,2,3,1
15061928,0,4,3,3,3,4,4,2,4,3,1,4,4,0,0,0,4,4,4,1,3,0,2,1,4
15061454,0,4,4,2,4,3,3,3,1,3,1,4,3,1,1,1,4,4,1,2,4,0,1,3,1
15061605,1,3,4,2,3,3,2,4,2,4,0,3,1,2,2,2,4,3,2,2,4,0,0,2,3
15060087,1,3,2,3,3,3,3,3,1,3,1,3,2,1,1,1,4,3,1,0,4,0,3,1,3
15061619,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15060090,2,3,3,2,4,3,3,4,3,4,0,3,2,1,1,1,3,3,3,1,4,0,1,2,2
15061731,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15061655,0,4,3,3,4,4,4,2,2,4,0,4,2,0,0,0,4,4,2,3,3,1,0,1,1
15061661,1,3,3,1,4,3,4,4,2,4,0,3,2,0,0,0,3,3,2,2,3,0,2,2,3
15061499,2,2,1,3,3,4,4,1,2,3,1,4,1,0,0,0,3,4,1,2,3,0,3,0,4
15061647,0,4,2,3,3,4,4,2,1,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15061612,1,3,3,3,4,3,4,1,3,4,0,3,2,0,0,0,3,3,3,1,4,0,3,2,2
15061742,2,2,1,3,3,4,4,1,1,3,1,4,1,0,0,0,3,4,1,2,3,0,3,0,4
15061710,0,4,2,4,4,3,3,3,1,3,1,4,1,1,1,1,4,4,1,2,3,0,1,3,1
15062372,2,3,3,3,3,4,3,3,2,1,1,3,3,1,1,1,3,3,2,1,4,0,2,1,3
15061583,1,3,3,2,4,3,4,4,2,4,0,3,2,0,0,0,3,3,2,2,3,0,2,2,3
15061767,1,4,3,4,4,3,3,2,1,4,0,3,2,1,1,1,3,3,1,2,3,0,3,2,2
15062130,1,4,1,2,3,4,4,2,1,3,1,4,1,0,0,0,2,4,1,2,3,1,3,1,3
15061637,0,4,2,3,3,4,4,2,2,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15061337,0,3,3,2,3,3,3,4,0,3,1,3,2,1,1,1,3,3,0,1,4,0,2,2,2
15062104,0,4,3,4,3,3,3,2,1,3,1,4,2,1,1,1,4,4,1,1,4,0,2,2,2
15061579,1,4,2,4,4,4,4,2,2,4,0,3,0,0,0,0,4,3,2,2,3,2,4,1,1
15061932,2,4,1,3,3,3,3,4,1,3,1,3,2,1,1,1,3,3,1,1,4,0,0,2,1
15061603,1,3,2,3,3,3,3,3,1,3,1,3,2,1,1,1,4,3,1,0,4,0,3,1,3
15060025,0,4,2,3,3,4,4,2,2,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15061704,0,4,2,3,3,4,4,2,1,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15061334,1,3,2,3,4,2,3,3,0,3,1,4,3,1,1,1,3,4,0,1,4,0,2,0,4
15061631,0,4,2,4,4,3,3,3,1,3,1,4,1,1,1,1,4,4,1,2,3,0,1,3,1
15060964,1,3,3,4,3,3,4,1,0,4,0,3,2,1,0,0,4,3,0,2,3,0,2,3,2
15061778,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15061718,0,4,4,2,4,3,3,3,1,3,1,4,3,1,1,1,4,4,1,2,4,0,1,3,1
15061486,1,4,1,4,4,3,4,2,2,4,0,2,3,0,0,0,3,2,2,2,3,1,3,4,1
15060214,2,3,3,4,4,4,4,2,2,2,2,3,3,0,0,0,4,3,2,0,4,0,2,2,2
15061333,0,4,3,3,3,4,4,3,1,3,1,2,2,0,0,0,2,2,1,1,3,2,4,2,2
15061962,2,4,1,3,3,3,3,4,1,3,1,3,2,1,1,1,3,3,1,1,4,0,0,2,1
15061624,1,3,2,3,3,3,3,3,1,3,1,3,2,1,1,1,4,3,1,0,4,0,3,1,3
15061282,1,3,3,2,4,3,4,4,2,4,0,3,2,0,0,0,3,3,2,2,3,0,2,2,3
15061529,1,4,3,3,4,3,3,3,1,4,0,3,2,1,1,1,3,3,1,1,4,0,0,3,1
15061935,2,4,1,3,3,3,3,4,1,3,1,3,2,1,1,1,3,3,1,1,4,0,0,2,1
15061568,1,4,3,3,4,4,4,3,1,3,1,3,4,0,0,0,3,3,1,1,4,0,3,2,2
15061491,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15061318,0,3,1,2,3,3,3,4,1,4,0,1,3,1,1,1,3,1,1,0,4,1,2,2,2
15061361,0,3,3,2,3,3,3,4,0,3,1,3,2,1,1,1,3,3,0,1,4,0,2,2,2
15061515,3,2,3,4,4,3,3,3,1,3,1,4,2,1,1,1,3,4,1,1,4,0,1,0,4
15062123,2,2,1,3,3,4,4,1,1,3,1,4,1,0,0,0,3,4,1,2,3,0,3,0,4
15061358,0,4,2,3,3,4,4,2,2,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15061428,0,3,4,3,2,2,3,4,0,3,1,3,2,1,1,1,4,3,0,0,4,0,0,2,2
15061496,0,4,3,3,4,3,3,3,2,3,1,3,2,1,1,1,4,3,2,2,3,0,1,3,1
15061648,0,4,4,4,3,4,4,3,1,3,1,3,3,0,0,0,4,3,1,2,3,0,4,1,3
15061808,2,3,3,2,2,3,2,4,2,4,0,4,3,2,2,2,2,4,2,2,4,0,0,2,3
15061600,0,3,4,3,4,3,3,4,0,3,3,2,4,1,1,1,4,3,1,3,4,0,1,2,1
15061730,0,4,3,2,3,4,4,3,1,4,0,2,1,0,0,0,3,2,1,2,3,0,4,3,1
15061623,0,4,2,3,3,4,4,2,2,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15061405,1,3,3,1,4,3,4,4,2,4,0,3,2,0,0,0,3,3,2,2,3,0,2,2,3
15061299,1,3,3,1,4,3,4,4,2,4,0,3,2,0,0,0,3,3,2,2,3,0,2,2,3
15061578,0,4,3,4,3,3,3,2,1,3,1,4,2,1,1,1,4,4,1,1,4,0,2,2,2
15061476,0,3,3,3,4,3,3,4,1,3,1,3,3,1,1,1,3,3,1,0,4,0,1,2,3
15061765,1,4,3,3,4,3,3,3,1,4,0,3,2,1,1,1,3,3,1,1,4,0,0,3,1
15062111,0,4,1,3,2,4,4,2,2,3,1,3,2,0,0,0,3,3,1,1,3,0,4,1,3
15061397,1,3,2,3,3,3,3,3,1,3,1,3,2,1,1,1,4,3,1,0,4,0,3,1,3
15061713,0,4,2,3,3,4,4,2,1,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15061584,2,4,3,3,4,3,3,2,4,4,0,4,2,1,1,1,4,4,4,1,4,0,2,0,2
15061912,1,3,3,3,4,4,4,3,1,4,0,3,1,0,0,0,4,3,1,2,3,4,2,2,2
15061260,0,4,2,3,3,4,4,2,1,3,1,4,2,0,0,0,3,4,1,1,3,0,3,1,3
15062099,2,4,4,3,3,3,3,4,1,4,0,3,2,1,1,1,2,3,1,2,4,0,2,2,3
15061350,1,4,4,3,3,4,4,2,1,3,1,3,4,0,0,0,3,3,1,1,4,0,3,2,2
15060933,2,3,3,4,3,4,4,3,3,4,0,2,3,0,0,0,3,2,3,2,3,3,2,2,2
15061548,1,4,2,3,3,4,4,2,2,2,2,4,2,0,0,0,3,4,2,2,2,0,3,2,2
15061348,0,3,3,2,3,3,3,4,0,3,1,3,2,1,1,1,3,3,0,1,4,0,2,2,2
15061560,2,4,3,4,3,3,3,2,1,3,0,3,2,1,1,1,2,3,1,0,4,0,3,1,4
15061544,1,2,2,3,3,3,3,3,0,3,1,3,2,1,1,1,4,3,1,0,4,0,3,2,3
15061449,0,4,4,2,4,3,3,3,1,3,1,4,3,1,1,1,4,4,1,2,4,0,1,3,1
15062348,0,3,4,3,2,2,3,4,0,3,1,3,2,1,1,1,4,3,0,0,4,0,0,2,2
15061916,0,3,3,2,3,3,3,4,0,3,1,3,2,1,1,1,3,3,0,1,4,0,2,2,2
15062138,1,3,2,3,3,3,3,3,1,3,1,3,2,1,1,1,4,3,1,0,NA,0,3,1,3
15061946,0,4,3,3,4,3,3,3,2,3,1,3,2,1,1,1,4,3,2,2,3,0,1,3,1
15061676,0,3,3,2,3,3,3,4,0,3,1,3,2,1,1,1,3,3,0,1,4,0,2,2,2
15060536,1,4,2,3,4,4,3,4,2,4,0,2,3,0,0,0,1,2,2,2,4,0,2,3,4
15061391,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15061662,0,4,4,2,4,3,3,3,1,3,1,4,3,1,1,1,4,4,1,2,4,0,1,3,1
15061228,0,4,3,3,4,3,3,4,3,4,0,4,0,1,1,1,4,4,3,2,3,0,0,2,3
15061356,2,3,3,2,4,3,3,4,3,4,0,3,2,1,1,1,3,3,3,1,4,0,1,2,2
15061963,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15061338,1,3,2,3,3,3,3,3,1,3,1,3,2,1,1,1,4,3,1,0,4,0,3,1,3
15062331,2,3,3,2,4,3,3,4,3,4,0,3,2,1,1,1,3,NA,3,1,4,0,1,2,2
15062098,0,3,4,3,2,2,3,4,0,3,1,3,2,1,1,1,4,3,0,0,4,0,0,2,2
15062114,1,4,1,4,4,4,4,2,2,4,0,3,0,0,0,0,4,3,2,2,3,2,4,1,1
15062046,1,NA,3,3,4,4,4,3,1,4,0,3,1,0,0,0,4,3,1,2,3,4,2,2,2
15062370,0,4,3,4,3,3,3,2,1,3,1,4,2,1,1,1,4,4,1,1,4,0,2,2,2
15061685,0,3,1,3,3,4,4,3,2,4,0,3,2,0,0,0,4,3,2,0,4,0,2,3,2
15061540,2,2,1,3,3,4,4,1,1,3,1,4,1,0,0,0,3,4,1,2,3,0,3,0,4
15061721,0,4,1,1,2,4,4,3,3,4,0,3,2,0,0,0,4,3,3,0,4,0,2,3,1
15062074,0,4,3,3,4,4,4,2,1,4,0,4,3,0,0,0,4,4,1,1,4,0,4,1,3
15062362,0,3,3,2,3,3,3,4,0,3,1,3,2,1,1,1,3,3,0,1,4,0,2,2,2
15061689,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
15061357,0,4,3,4,3,3,3,2,1,3,1,4,2,1,1,1,4,4,1,1,4,0,2,2,2
15061376,0,3,4,3,2,2,3,4,0,3,1,3,2,1,1,1,4,3,0,0,4,0,0,2,2
15061308,2,3,3,3,3,3,3,2,1,3,1,3,2,1,1,1,4,3,1,1,3,0,3,1,2
