SNP,GSCORE,CHROM,POS,SIGNIFICANCE,SEQID,TRAIT,GOTERMS,SOURCEANNOT,ANNOT
c1_11495,0.825,chr02,24792151,TRUE,Soltu.DM.02G009890,CPFlor.L,GO:0003676,Pfam,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
c2_32702,0.917,chr08,1899939,TRUE,Soltu.DM.08G001440,CPFlor.H,NA,NA,NA
c2_32702,0.917,chr08,1899939,TRUE,Soltu.DM.08G001440,CPFlor.H,NA,NA,NA
c1_11495,0.825,chr02,24792151,TRUE,Soltu.DM.02G009890,CPFlor.L,GO:0003676,Pfam,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
c1_7964,0.966,chr02,38139240,TRUE,Soltu.DM.02G024900,CPFlor.C,GO:0003824,Pfam,NAD dependent epimerase/dehydratase family
c1_8194,0.954,chr03,55211205,TRUE,Soltu.DM.03G030880,CPFlor.L,"GO:0003924, GO:0006614, GO:0005525, GO:0048500, GO:0008312",Pfam,"Signal recognition particle SRP54, helical bundle"
c1_8194,0.954,chr03,55211205,TRUE,Soltu.DM.03G030880,CPFlor.L,"GO:0003924, GO:0006614, GO:0005525, GO:0048500, GO:0008312",Pfam,"Signal recognition particle SRP54, helical bundle"
c1_5940,0.938,chr11,29258142,TRUE,Soltu.DM.11G015820,CPBrote.L,GO:0005515,Gene3D,Leucine-rich repeat domain superfamily
c1_11237,0.938,chr11,13277951,TRUE,Soltu.DM.11G011980,CPBrote.L,"GO:0016616, GO:0055114, GO:0051287",Pfam,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain"
c1_5936,0.938,chr11,28989434,TRUE,Soltu.DM.11G015780,CPBrote.L,"GO:0050661, GO:0004072, GO:0008652, GO:0055114, GO:0006520, GO:0016491",CDD,"Bifunctional aspartokinase/homoserine dehydrogenase, N-terminal catalytic domain"
c1_5936,0.938,chr11,28989434,TRUE,Soltu.DM.11G015780,CPBrote.L,"GO:0050661, GO:0004072, GO:0008652, GO:0055114, GO:0006520, GO:0016491",CDD,"Bifunctional aspartokinase/homoserine dehydrogenase, N-terminal catalytic domain"
c1_5940,0.938,chr11,29258142,TRUE,Soltu.DM.11G015820,CPBrote.L,GO:0005515,Gene3D,Leucine-rich repeat domain superfamily
c1_5940,0.938,chr11,29258142,TRUE,Soltu.DM.11G015820,CPBrote.L,GO:0005515,Gene3D,Leucine-rich repeat domain superfamily
c2_21934,0.955,chr04,5765944,TRUE,Soltu.DM.04G005270,CSBrote.C,NA,Pfam,OCRE domain
c2_51974,0.951,chr08,2472934,TRUE,Soltu.DM.08G001790,CSBrote.C,"GO:0030170, GO:0016831, GO:0003824, GO:0019752",Gene3D,Pyridoxal phosphate-dependent transferase domain 1
c2_21934,0.955,chr04,5765944,TRUE,Soltu.DM.04G005270,CSBrote.C,NA,Pfam,OCRE domain
c2_51974,0.951,chr08,2472934,TRUE,Soltu.DM.08G001790,CSBrote.C,"GO:0030170, GO:0016831, GO:0003824, GO:0019752",Gene3D,Pyridoxal phosphate-dependent transferase domain 1
c1_11544,0.76,chr02,26621058,FALSE,Soltu.DM.02G011880,CPTuber.H,NA,ProSitePatterns,Zinc finger C2H2 type domain signature.
c1_11907,0.866,chr09,58172429,TRUE,Soltu.DM.09G022590,CSPulpa.H,"GO:0005524, GO:0006468, GO:0004672",Pfam,"Serine-threonine/tyrosine-protein kinase, catalytic domain"
c1_4666,0.76,chr01,75668861,FALSE,Soltu.DM.01G036130,CPTuber.H,GO:0005515,Pfam,"WD domain, G-beta repeat"
c2_14623,0.76,chr01,67822946,FALSE,Soltu.DM.01G028040,CPTuber.H,"GO:0019354, GO:0008168, GO:0055114",CDD,Uroporphyrin-III C-methyltransferase
c2_2551,0.76,chr01,78177940,FALSE,Soltu.DM.01G039490,CPTuber.H,NA,Gene3D,Mss4/translationally controlled tumour-associated TCTP
c2_29450,0.76,chr03,5231620,FALSE,Soltu.DM.03G004830,CPTuber.H,NA,Pfam,Chlorophyll A-B binding protein
c2_36859,0.895,chr07,3398145,TRUE,Soltu.DM.07G003030,CSPulpa.H,NA,SUPERFAMILY,Armadillo-type fold
c2_36872,0.895,chr07,3452120,TRUE,Soltu.DM.07G003060,CSPulpa.H,"GO:0016020, GO:0055085, GO:0006821, GO:0005247",PRINTS,"Chloride channel, voltage gated"
c2_36872,0.895,chr07,3452120,TRUE,Soltu.DM.07G003060,CSPulpa.H,"GO:0016020, GO:0055085, GO:0006821, GO:0005247",PRINTS,"Chloride channel, voltage gated"
c1_11459,0.831,chr02,45124985,TRUE,Soltu.DM.02G033700,CTallo.C,NA,PRINTS,Glucose/ribitol dehydrogenase family signature
c2_27439,0.859,chr02,34015955,TRUE,Soltu.DM.02G019820,CTallo.H,"GO:0004857, GO:0042545, GO:0030599",Gene3D,Invertase/pectin methylesterase inhibitor domain superfamily
