"Registro","CT","CTallo","CPF","CPFlor","CB","CBaya","CPT","CPTuber","CST","CSTuber","CPC","CPulpa","CSC","CSPulpa","CPB","CPBrote","CSB","CSBrote"
"15060006","4","N77A","7","92A","4","146B","9","N186B","0",NA,"4","160A","7","79C","4","N92C","0",NA
"15060013","7","200A","7","N82B","5","144A","8","N187A","2","162C","2","157B","0",NA,"4","N92C","1","NN155C"
"15061904","5","N77A","7","N81A","5","146C","7","N77D","2","161B","2","160D","0",NA,"4","N92C","1","NN155C"
"15060016","4","N77A","7","N81B","4","143C","9","N186A","0",NA,"4","160B","7","79A","4","N92C","1","NN155C"
"15060021","4","N77A","7","77A","4","146A","9","N186A","0",NA,"4","160B","7","N79A","4","N92C","1","NN155C"
"15060025","2","144A","7","92A","4","144B","2","162A","8","187A","2","155B","0",NA,"4","N92C","1","NN155C"
"15060027","4","N77A","8","83B","4","144A","7","183B","2","161A","2","155A","0",NA,"4","N92C","1","NN155C"
"15062333","4","N77A","7","82A","4","144A","7","N186C","8","N186A","2","155A","0",NA,"4","N92C","0",NA
"15060039","2","144A","7","N81A","","146B","6","183A","2","160A","2","155A","0",NA,"3","N81B","1","NN155C"
"15062036","3","144A","7","N80B","6","143A","7","N77D","2","160A","1","155A","0",NA,"4","N83A","1","155B"
"15060042","4","N77A","6","N81B","1","144B","7","N77D","2","160A","1","155A","0",NA,"4","N92C","1","155B"
"15062038","2","144A","7","N82A","2","143B","6","178A","2","162B","3","160C","0",NA,"3","72B","1","NN155B"
"15060050","3","144A","7","N82B","5","146B","2","165D","7","187C","1","155A","0",NA,"4","N81B","1","NN155C"
"15060056","2","144A","1","157B","1","144B","2","162A","5","65B","1","155C","0",NA,"4","N92C","1","NN155C"
"15061905","3","143B","7","86B",NA,NA,"6","178A","1","160A","2","160D","0",NA,"3","N78B","1","NN155C"
"15060063","5","N77A","7","N81A","2","144C","6","183B","0",NA,"4","160D","6","184B","3","N78A","1","NN155C"
"15060070","5","N77A","7","N81A","5","144A","9","N186A","1","160A","2","155A","7","83A","4","N92C","1","NN155C"
"15062039","2","144A","7","77A","1","143A","1","163D","6","N77D","2","160C","0",NA,"4","83A","1","NN155C"
"15060072","2","144A","7","N87B","1","144C","5","31C","2","161A","3","160C","0",NA,"3","NN74B","1","NN155B"
"15061906","5","N77A","7","92A","2","144A","9","N186A","0",NA,"2","155A","7","N79A","4","N92C","1","NN155D"
"15061907","1","144B","1","157B","6","146A","2","160A","0",NA,"3","160C","0",NA,"1","NN155A","4","N78B"
"15060081","3","144A","7","92A","5","146C","2","162B","8","187B","2","155B","0",NA,"4","N92C","1","NN155B"
"15062331","3","144A","7","N81B","5","156A","8","N77D","1","164C","1","155A","0",NA,"4","N82A","1","NN155B"
"15060082","3","144A","7","83B","4","146A","2","160A","8","N79A","2","155A","0",NA,"4","N92C","1","NN155A"
"15062332","3","144A","7","72B","1","144B","8","N77B","1","165D","2","155A","0",NA,"4","N92C","1","NN155B"
"15061908","4","N77A","7","72B","1","146B","6","183B","8","N186B","3","162D","0",NA,"4","N81B","1","NN155B"
"15060085","3","144A","7","N88A","1","143B","9","N187A","0",NA,"2","155B","0",NA,"4","N92C","1","NN155B"
"15061909","3","144A","7","N81A","6","144C","9","N186B","0",NA,"2","160D","0",NA,"4","N92C","1","NN155B"
"15060087","5","N77A","7","N80A","6","146B","8","N187A","1","162C","1","NN155A","7","N79B","4","N92C","1","NN155B"
"15060090","2","144A","7","N80A","1","144B","8","N77B","2","162C","1","155B","0",NA,"4","N92C","1","NN155C"
"15060097","1","144A","7","N88C","1","143B","2","161A","0",NA,"1","155B","0",NA,"2","75C","1","NN155A"
"15060100","3","144A","1","157B","1","145B","7","183D","2","161A","2","160C","0",NA,"4","N92C","1","NN155C"
"15060101","2","144A","1","157B","5","143A","8","N77D","1","160A","2","155A","0",NA,"4","N92C","1","NN155C"
"15060102","2","144A","1","157B","1","144A","9","187B","0",NA,"1","155A","7","77A","4","N92C","1","NN155C"
"15061910","3","144A","7","83B","5","144A","8","N77D","0",NA,"2","155A","0",NA,"4","N92C","1","NN155C"
"15060110","5","N77A","7","N81A","5","144A","8","N77A","2","162A","2","155A","7","N67B","4","N92C","1","NN155B"
"15060112","2","144A","8","N87A","5","146A","6","187B","1","161A","3","160D","0",NA,"4","N92C","1","NN155C"
"15060114","2","144A","7","86C","4","144A","8","183D","1","161A","2","155A","0",NA,"4","83D","1","155B"
"15060120","4","N77A","7","N81C","4","144C","2","160A","5","185C","2","155A","0",NA,"4","N80B","1","NN155C"
"15060121","3","144A","7","92A","5","143B","8","N77A","0",NA,"2","155A","0",NA,"4","N92C","1","NN155C"
"15060122","3","144A","6","N81D","5","146A","8","183D","1","161B","1","160D","0",NA,"4","83A","1","NN155C"
"15061911","1","144A","7","N82B","5","144A","6","180A","1","160B","2","160D","0",NA,"4","NN74D","1","NN155C"
"15060138","5","N77A","7","83B","6","146A","6","182A","3","161B","2","155A","0",NA,"4","N92C","1","NN155C"
"15062046","3","144A","7","N81B","1","144A","2","162B","5","184D","3","160C","0",NA,"4","72B","1","NN155C"
"15061912","2","144A","7","N81C","5","144A","2","162B","5","176B","3","160C","0",NA,"3","72B","1","NN155C"
"15060160","3","144A","7","83B","5","143B","8","183D","1","162C","2","160D","0",NA,"4","N92C","1","NN155B"
"15061915","1","144A","7","N82B","2","144A","2","162A","6","182B","2","160D","0",NA,"3","72D","1","NN155C"
"15062334","2","144A","7","N82A","1","143B","2","162C","7","184B","2","155A","0",NA,"4","N92C","0",NA
"15062050","2","144A","7","N80B","4","143A","2","161A","6","181B","2","160D","0",NA,"3","NN74C","1","NN155D"
"15060187","4","N77A","7","N78A","4","144A","8","N186C","1","160B","3","160B","0",NA,"4","86B","1","NN155D"
"15061916","2","144A","7","83B","5","146C","6","187A","1","161A","2","160D","0",NA,"4","N92C","0",NA
"15062335","2","144A","7","N78A","1","143A","6","184A","0",NA,"2","160D","0",NA,"4","N80A","1","NN155D"
"15060188","3","144A","7","N81B","5","143B","3","164B","8","N187A","1","155B","0",NA,"4","N92C","1","NN155C"
"15060190","3","144A","7","83B","2","144C","8","N177A","1","173D","2","160D","0",NA,"4","N92C","1","NN155C"
"15060191","1","144A","7","N81A","2","N144A","2","162B","7","184B","2","160C","0",NA,"4","N92C","1","NN155C"
"15060214","3","144A","7","83B","2","144A","3","162A","6","184B","2","155A","0",NA,"3","NN74C","1","NN155C"
"15060215","2","144A","7","N81B","6","144A","8","N67B","1","162B","1","155A","0",NA,"4","83A","1","NN155C"
"15060313","1","144A","7","N81A","5","146B","2","163C","5","183D","4","160D","0",NA,"1","NN155C","0",NA
