SAMPLES,c1_11237,c1_14614,c1_15178,c1_15225,c1_2071,c1_2086,c1_2090,c1_3746,c1_3992,c1_5126,c1_513,c1_5546,c1_5580,c1_6668,c1_7624,c2_14763,c2_14764,c2_16204,c2_17061,c2_1908,c2_21314,c2_22165,c2_22186,c2_22758,c2_33777,c2_34546,c2_34698,c2_34709,c2_34717,c2_3512,c2_36942,c2_40765,c2_45611,c2_46398,c2_48128,c2_49724,c2_52196,c2_52202,c2_52203,c2_53708,c2_54811,c2_55639,c2_56602,c2_5771,c2_5784,c2_5845,c2_5868,c2_8508,c2_8515,c2_9003
15061942,4,1,0,1,4,4,4,4,2,4,2,2,2,4,0,0,4,4,2,3,1,1,3,2,4,0,4,4,0,2,0,4,3,2,1,4,0,4,4,3,1,2,1,4,4,4,4,4,4,0
15061763,3,1,0,3,4,4,4,4,2,3,3,3,1,4,0,0,4,4,3,3,1,0,4,1,4,0,4,4,0,2,0,4,3,1,2,3,0,4,4,1,2,4,1,4,4,4,4,4,4,0
15061801,4,1,1,2,3,3,3,3,3,3,2,2,1,4,0,1,3,4,3,4,0,0,4,3,3,0,3,2,1,3,0,3,4,2,2,4,0,4,4,2,2,3,0,3,3,3,3,4,4,1
15061494,4,1,0,1,4,4,4,3,1,3,2,3,0,4,0,0,4,4,4,3,1,1,3,3,4,1,4,4,0,4,0,4,3,1,2,3,0,4,4,0,2,4,0,4,4,4,4,3,3,0
15061613,3,0,0,3,3,3,3,2,2,4,3,3,1,4,0,0,4,4,3,3,1,1,3,2,3,0,4,4,0,2,0,4,3,4,1,3,0,2,4,3,3,3,1,3,3,3,3,4,4,0
15062137,4,2,0,1,4,4,4,4,1,4,3,2,2,4,0,0,4,4,2,3,1,3,1,1,4,1,4,4,0,1,0,4,2,1,1,3,1,3,3,2,3,4,0,4,4,4,4,4,4,0
15061319,4,1,0,1,4,4,4,4,1,3,2,3,1,4,0,1,3,4,3,2,2,1,3,3,4,0,4,4,0,1,1,3,3,2,2,3,0,4,4,2,2,2,0,4,4,4,4,4,4,0
15062142,4,0,1,0,3,3,3,3,0,4,2,4,0,4,1,2,2,4,4,3,1,3,1,2,3,1,3,3,1,3,1,1,3,2,0,4,0,4,4,4,3,2,0,3,3,3,3,4,4,0
15060320,4,1,0,2,4,4,4,4,1,3,3,3,1,3,0,0,4,4,3,3,1,1,3,1,4,1,4,4,0,1,1,3,4,2,1,3,0,4,4,2,1,3,1,4,4,4,4,4,4,0
15061768,3,0,0,1,4,4,4,3,0,4,2,2,2,4,0,0,4,4,2,4,0,2,1,2,4,2,4,4,0,3,0,4,4,2,1,4,0,3,4,3,2,3,0,4,4,4,4,4,4,0
15061522,3,1,1,1,4,4,4,3,1,4,0,4,1,4,0,0,4,4,3,4,0,1,2,1,4,1,4,4,0,3,1,3,4,1,0,3,0,4,4,2,1,3,2,4,4,4,4,3,3,0
15060081,4,1,0,1,3,3,3,4,1,3,2,2,1,4,NA,1,3,3,2,2,2,1,3,3,4,1,4,4,0,1,1,3,3,2,2,3,0,4,4,2,2,2,0,3,3,3,3,4,4,0
15061656,4,2,0,0,4,4,4,4,3,3,2,4,0,4,1,2,2,4,4,3,1,0,4,2,4,0,3,2,1,4,1,2,4,3,2,3,0,4,4,2,2,3,1,4,4,4,4,4,4,1
15061759,2,0,0,0,4,4,4,4,NA,4,1,2,2,3,0,0,4,4,2,4,0,1,3,2,4,2,4,4,0,2,0,4,3,2,0,4,0,4,4,2,1,3,0,4,4,4,4,4,4,0
15061928,2,1,0,0,4,4,4,2,0,4,2,3,0,4,0,0,4,4,4,3,1,1,3,3,4,2,4,4,0,2,0,3,4,0,1,3,0,4,4,2,1,3,0,4,4,4,4,4,4,2
15061454,3,1,1,2,4,4,4,3,1,4,1,3,1,4,0,0,4,4,3,3,1,0,4,3,4,0,3,2,1,3,1,4,3,1,1,4,1,3,3,0,1,4,0,4,4,4,4,3,3,0
15061605,4,3,0,3,3,3,3,3,0,4,3,3,0,4,0,0,4,4,4,4,0,1,3,2,3,0,3,2,1,4,0,3,4,1,2,4,0,2,4,2,3,4,0,3,3,3,3,3,3,0
15060087,4,0,0,2,4,4,4,4,2,4,2,3,1,4,0,0,4,4,3,3,1,1,3,3,4,0,4,4,0,2,0,4,4,2,2,4,1,3,3,2,3,3,1,4,4,4,4,4,4,0
15061619,4,2,0,1,4,4,4,4,1,4,3,2,2,4,0,0,4,4,2,3,1,3,1,1,4,1,4,4,0,1,0,4,2,1,1,3,1,3,3,2,3,4,0,4,4,4,4,4,4,0
15060090,3,3,0,2,3,3,3,3,0,2,3,3,0,4,0,2,2,4,4,4,0,1,3,2,3,1,4,4,0,4,1,4,3,3,2,4,1,2,3,2,3,4,0,3,3,3,3,4,4,0
15061731,4,2,0,1,4,4,4,4,1,4,3,2,2,4,0,0,4,4,2,3,1,3,1,1,4,1,4,4,0,1,0,4,2,1,1,3,1,3,3,2,3,4,0,4,4,4,4,4,4,0
15061655,3,0,0,2,2,2,3,2,2,3,1,4,0,4,2,0,4,4,4,2,2,0,4,2,1,3,4,4,0,2,3,4,4,2,2,2,1,3,3,3,1,3,0,2,2,3,2,4,4,2
15061661,3,0,0,3,3,3,3,2,2,4,3,3,1,4,0,0,4,4,3,3,1,1,3,2,3,0,4,4,0,2,0,4,3,4,1,3,0,2,4,3,3,3,1,3,3,3,3,4,4,0
15061499,4,1,0,0,4,4,4,4,2,3,3,4,0,4,1,0,4,3,4,4,0,1,3,3,4,1,4,4,0,2,1,3,3,2,1,4,0,2,4,2,3,2,0,4,4,4,4,4,4,0
15061647,4,1,0,1,4,4,4,4,1,3,2,3,1,4,0,1,3,4,3,2,2,1,3,3,4,0,4,4,0,1,1,3,3,2,2,3,0,4,4,2,2,2,0,4,4,4,4,4,4,0
15061612,4,1,1,2,4,4,4,4,2,3,4,4,0,4,0,0,4,4,4,2,2,1,3,2,4,1,4,4,0,2,1,4,4,1,2,3,0,4,4,3,3,3,0,4,4,4,4,4,4,2
15061742,4,1,0,0,4,4,4,4,2,3,3,4,0,4,1,0,4,3,4,4,0,1,3,3,4,1,4,4,0,2,1,3,3,2,1,4,0,2,4,2,3,2,0,4,4,4,4,4,4,0
15061710,3,1,1,1,4,4,4,3,1,4,0,2,2,4,0,0,4,4,2,3,1,0,4,4,4,2,4,4,0,3,1,3,4,2,0,3,0,4,4,1,2,2,1,4,4,4,4,3,3,0
15062372,3,0,0,2,3,3,3,3,1,3,3,3,1,4,0,0,4,4,3,4,0,1,3,3,3,1,3,2,1,4,1,4,1,3,1,3,0,4,4,3,3,2,1,3,3,3,3,4,4,0
15061583,3,0,0,3,3,3,3,2,2,4,3,3,1,4,0,0,4,4,3,3,1,1,3,2,3,0,4,4,0,2,0,4,3,4,1,3,0,2,4,3,3,3,1,3,3,3,3,4,4,0
15061767,3,2,0,2,4,4,4,4,0,2,4,2,2,4,0,0,4,4,2,2,2,1,3,3,4,1,4,4,0,1,0,4,3,2,2,3,0,4,4,2,2,4,1,4,4,4,4,4,4,0
15062130,4,1,0,1,4,4,4,4,1,3,4,1,NA,4,0,0,4,4,NA,3,1,1,3,2,4,0,4,4,0,1,0,4,2,0,2,3,0,4,4,2,3,3,1,4,4,4,4,4,4,0
15061637,4,1,0,1,4,4,4,4,1,3,2,3,1,4,0,1,3,4,3,2,2,1,3,3,4,0,4,4,0,1,1,3,3,2,2,3,0,4,4,2,2,2,0,4,4,4,4,4,4,0
15061337,3,0,0,2,4,4,4,4,1,4,1,2,2,4,0,0,4,3,2,3,1,2,2,2,4,0,4,4,0,2,0,4,3,2,2,3,0,4,4,2,2,3,1,4,4,4,4,4,4,0
15062104,3,1,1,1,4,4,4,4,1,4,3,3,1,4,0,0,4,4,3,2,2,1,3,3,4,1,4,4,0,0,2,4,2,1,2,3,0,4,4,2,2,4,2,4,4,4,4,4,4,0
15061579,3,1,0,1,4,4,4,4,1,3,2,4,0,3,0,0,4,3,4,4,0,1,3,2,4,0,4,4,0,2,0,4,4,1,2,4,0,4,4,4,4,3,NA,4,4,4,4,4,4,0
15061932,4,1,0,1,2,2,2,4,2,3,2,3,0,4,0,2,2,3,4,3,1,1,3,1,2,1,3,3,1,2,1,3,2,3,1,4,0,4,4,3,2,2,0,2,2,2,2,4,4,0
15061603,4,0,0,2,4,4,4,4,2,4,2,3,1,4,0,0,4,4,3,3,1,1,3,3,4,0,4,4,0,2,0,4,4,2,2,4,1,3,3,2,3,3,1,4,4,4,4,4,4,0
15060025,4,1,0,1,4,4,4,4,1,3,2,3,1,4,0,1,3,4,3,2,2,1,3,3,4,0,4,4,0,1,1,3,3,2,2,3,0,4,4,2,2,2,0,4,4,4,4,4,4,0
15061704,4,1,0,1,4,4,4,4,1,3,2,3,1,4,0,1,3,4,3,2,2,1,3,3,4,0,4,4,0,1,1,3,3,2,2,3,0,4,4,2,2,2,0,4,4,4,4,4,4,0
15061334,4,0,0,2,4,4,4,4,2,4,2,3,2,4,0,0,4,3,2,2,2,3,1,3,4,2,4,4,0,2,0,4,4,2,2,3,1,3,3,2,3,3,1,4,4,4,4,4,4,0
15061631,3,1,1,1,4,4,4,3,1,4,0,2,2,4,0,0,4,4,2,3,1,0,4,4,4,2,4,4,0,3,1,3,4,2,1,3,0,4,4,1,2,2,1,4,4,4,4,3,3,0
15060964,3,0,2,1,4,4,4,3,0,4,4,4,1,3,0,0,4,4,3,2,2,0,4,4,4,2,4,4,0,2,0,4,4,1,2,2,0,4,4,0,1,4,1,4,4,4,4,2,2,2
15061778,4,2,0,1,4,4,4,4,1,4,3,2,2,4,0,0,4,4,2,3,1,3,1,1,4,1,4,4,0,1,0,4,2,1,1,3,1,3,3,2,3,4,0,4,4,4,4,4,4,0
15061718,3,1,1,2,4,4,4,3,1,4,2,3,1,4,0,0,4,4,3,3,1,0,4,3,4,0,3,3,1,3,1,4,3,1,1,4,1,3,3,0,1,4,0,4,4,4,4,3,3,0
15061486,3,2,0,0,4,4,4,4,1,3,3,3,1,2,0,1,3,4,3,3,1,0,4,1,4,1,4,4,0,2,2,3,4,1,0,3,0,4,4,3,1,3,0,4,4,4,4,3,3,2
15060214,4,3,0,1,3,3,3,4,1,3,1,4,0,4,1,1,3,2,4,4,0,1,3,1,3,1,3,3,1,1,0,3,2,2,0,3,0,3,4,2,1,1,0,3,3,3,3,4,4,1
15061333,3,2,0,3,4,4,4,4,1,4,2,4,0,2,0,1,3,3,4,3,1,1,3,2,4,0,4,4,0,1,0,4,3,3,2,4,1,3,3,2,3,4,1,4,4,4,4,4,4,0
15061962,4,1,0,1,2,2,2,4,2,3,2,3,0,4,0,2,2,3,4,3,1,1,3,1,2,1,3,3,1,2,1,3,2,3,1,4,0,4,4,3,2,2,0,2,2,2,2,4,4,0
15061624,4,0,0,2,4,4,4,4,2,4,2,3,1,4,0,0,4,4,3,3,1,1,3,3,4,0,4,4,0,2,0,4,4,2,2,4,1,3,3,2,3,3,1,4,4,4,4,4,4,0
15061282,3,0,0,3,3,3,3,2,2,4,3,3,1,4,0,0,4,4,3,3,1,1,3,2,3,0,4,4,0,2,0,4,3,4,1,3,0,2,4,3,3,3,1,3,3,3,3,4,4,0
15061529,3,0,0,2,4,4,4,4,1,4,3,3,1,4,0,0,4,3,3,3,1,2,2,3,4,0,4,4,0,3,1,3,4,2,0,3,0,3,4,2,0,3,0,4,4,4,4,3,3,2
15061935,4,1,0,1,2,2,2,4,2,3,2,3,0,4,0,2,2,3,4,3,1,1,3,1,2,1,3,3,1,2,1,3,2,3,1,4,0,4,4,3,2,2,0,2,2,2,2,4,4,0
15061568,3,1,1,1,4,4,4,4,1,3,4,2,2,3,0,1,3,4,2,4,0,1,3,2,4,0,4,4,0,2,0,3,4,1,1,4,1,3,3,3,2,3,3,4,4,4,4,4,4,0
15061491,4,2,0,1,4,4,4,4,1,4,3,2,2,4,0,0,4,4,2,3,1,3,1,1,4,1,4,4,0,1,0,4,2,1,1,3,1,3,3,2,3,4,0,4,4,4,4,4,4,0
15061318,3,0,0,1,4,4,4,4,0,4,2,4,0,4,0,0,4,3,4,2,2,1,3,2,4,0,4,4,0,2,2,3,3,2,2,2,0,3,4,3,2,3,1,4,4,4,4,4,4,0
15061361,3,0,0,2,4,4,4,4,1,4,2,2,2,4,0,0,4,3,2,3,1,2,2,2,4,0,4,4,0,2,0,4,3,2,2,3,0,4,4,2,2,3,1,4,4,4,4,4,4,0
