"GSCORE","TRAIT","LGSCORE","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC","TOOLS"
0.982,"CBaya.H",0.99,"additive",0.986,"c1_5483","8",57177039,1.08503298680701e-13,12.964557,4.299725,TRUE,74,1,0.986,"GW,GP,TS"
0.966,"CPFlor.C",0.971,"additive",1.041,"c1_7964","2",38139240,9.97713077897077e-07,6.000994,4.30103,TRUE,77,1,0.959,"GW,GP,TS"
0.966,"CPFlor.C",0.971,"additive",1.041,"c2_12720","7",54318643,3.70692381714435e-05,4.430986,4.30103,TRUE,77,1,0.959,"GW,GP,TS"
0.955,"CSBrote.C",0.958,"additive",1.012,"c2_21934","4",5765944,6.74488843674569e-08,7.171025,4.896857,TRUE,51,1,0.988,"GW,GP"
0.954,"CPFlor.L",0.958,"additive",1.013,"c1_8194","3",55211205,7.4981169782486e-06,5.125048,4.896857,TRUE,51,1,0.987,"GW,GP"
0.951,"CSBrote.C",0.958,"additive",1.012,"c2_51974","8",2472934,4.63560265599629e-12,11.333894,4.896857,TRUE,48,1,0.988,"GW,GP"
0.947,"CPulpa.C",0.951,"additive",0.977,"c1_7874","2",43712601,3.63078054770101e-07,6.44,4.9,TRUE,51,1,0.977,"GW,GP"
0.947,"CPulpa.C",0.951,"additive",0.977,"c2_14491","1",67248400,1.07151930523761e-05,4.97,4.9,TRUE,51,1,0.977,"GW,GP"
0.938,"CPBrote.L",0.942,"additive",1.035,"c1_5936","11",28989434,3.63036289306436e-06,5.44005,4.896857,TRUE,51,1,0.965,"GW,GP"
0.938,"CPBrote.L",0.942,"additive",1.035,"c1_5940","11",29258142,4.14696386428646e-06,5.38227,4.896857,TRUE,51,1,0.965,"GW,GP"
0.938,"CPBrote.L",0.942,"additive",1.035,"c1_11237","11",13277951,4.78209002235405e-06,5.320382,4.896857,TRUE,51,1,0.965,"GW,GP"
0.923,"CPulpa.L",0.927,"additive",1.057,"c2_47202","2",44641059,5.24807460249772e-06,5.28,4.9,TRUE,51,1,0.943,"GW,GP"
0.917,"CPFlor.H",0.924,"additive",1.061,"c2_32702","8",1899939,5.66019342410075e-08,7.247169,4.896857,TRUE,48,1,0.939,"GW,GP"
0.895,"CSPulpa.H",0.87,"additive",1.138,"c2_36872","7",3452120,5.03942944973161e-08,7.297619,4.896857,TRUE,74,1,0.862,"GW,GP,TS"
0.895,"CSPulpa.H",0.87,"additive",1.138,"c2_36859","7",3398145,3.38635207664938e-06,5.470268,4.896857,TRUE,74,1,0.862,"GW,GP,TS"
0.885,"CPFlor.H",0.889,"additive",0.841,"c2_53521","1",12643802,3.18732788863993e-05,4.496573,4.30103,TRUE,78,1,0.841,"GW,GP,TS"
0.884,"CPFlor.H",0.889,"additive",0.841,"c1_4319","11",1240937,1.19250644084639e-06,5.923539,4.30103,TRUE,77,1,0.841,"GW,GP,TS"
0.884,"CPFlor.H",0.889,"additive",0.841,"c2_27271","2",42001715,1.09581862342198e-05,4.960261,4.30103,TRUE,77,1,0.841,"GW,GP,TS"
0.884,"CPFlor.H",0.889,"additive",0.841,"c2_53273","11",10339933,1.25930920010458e-05,4.899868,4.30103,TRUE,77,1,0.841,"GW,GP,TS"
0.88,"CPFlor.H",0.889,"additive",0.841,"c1_14992","10",53500596,2.81194478218927e-06,5.550993,4.30103,TRUE,74,1,0.841,"GW,GP,TS"
0.88,"CPFlor.H",0.889,"additive",0.841,"c2_51390","3",1033702,3.12444529090949e-06,5.505227,4.30103,TRUE,74,1,0.841,"GW,GP,TS"
0.88,"CPFlor.H",0.889,"additive",0.841,"c2_49910","1",86380115,3.87646153014094e-06,5.411565,4.30103,TRUE,74,1,0.841,"GW,GP,TS"
0.88,"CPFlor.H",0.889,"additive",0.841,"c2_36577","1",84761046,8.40261434570856e-06,5.075586,4.30103,TRUE,74,1,0.841,"GW,GP,TS"
0.88,"CPFlor.H",0.889,"additive",0.841,"c2_38952","2",26857322,1.53544356071264e-05,4.813766,4.30103,TRUE,74,1,0.841,"GW,GP,TS"
0.876,"CPFlor.H",0.889,"additive",0.841,"c2_54916","12",50520906,1.86582254604473e-05,4.72913,4.30103,TRUE,71,1,0.841,"GW,GP,TS"
0.876,"CPFlor.H",0.889,"additive",0.841,"c2_45643","7",2001373,4.40188391336471e-05,4.356361,4.30103,TRUE,71,1,0.841,"GW,GP,TS"
0.876,"CPFlor.H",0.889,"additive",0.841,"c2_18549","7",55778768,4.63006829935226e-05,4.334413,4.30103,TRUE,71,1,0.841,"GW,GP,TS"
0.866,"CSPulpa.H",0.87,"additive",1.138,"c1_11907","9",58172429,4.1671081291795e-06,5.380165,4.896857,TRUE,51,1,0.862,"GW,GP"
0.859,"CTallo.H",0.862,"additive",0.851,"c2_27439","2",34015955,1.22782947713179e-05,4.910862,4.896857,TRUE,51,1,0.851,"GW,GP"
0.847,"CPBrote.L",0.856,"additive",1.206,"c2_49313","11",10087686,1.78314882868468e-05,4.748812,4.294025,TRUE,74,1,0.794,"GW,GP,TS"
0.843,"CPBrote.L",0.856,"additive",1.206,"c1_14763","8",48388972,2.56525600279128e-05,4.590869,4.294025,TRUE,71,1,0.794,"GW,GP,TS"
0.843,"CPBrote.L",0.856,"additive",1.206,"c2_51051","8",48748977,3.11885575765451e-05,4.506005,4.294025,TRUE,71,1,0.794,"GW,GP,TS"
0.843,"CPBrote.L",0.856,"additive",1.206,"c2_23828","5",782722,3.19387358432651e-05,4.495682,4.294025,TRUE,71,1,0.794,"GW,GP,TS"
0.843,"CPBrote.L",0.856,"additive",1.206,"c2_24556","12",59404785,3.930055662587e-05,4.405601,4.294025,TRUE,71,1,0.794,"GW,GP,TS"
0.831,"CTallo.C",0.834,"additive",0.811,"c1_11459","2",45124985,1.10650328656033e-05,4.956047,4.896857,TRUE,51,1,0.811,"GW,GP"
0.827,"CPulpa.H",0.832,"additive",0.76,"c2_56627","11",11020656,6.43940264085168e-07,6.191154,4.303628,TRUE,77,1,0.76,"GW,GP,TS"
