Prefix,CHL_Components,Models,Traits,Heritability
BerryC,C,BRR,BerryC.C,0.328329104208732
BerryC,C,BRR,BerryC.C,0.32828305244726
BerryC,C,BRR,BerryC.C,0.299592703455195
BerryC,C,BRR,BerryC.C,0.257447921632993
BerryC,C,BRR,BerryC.C,0.218102295192484
BerryC,C,BRR,BerryC.C,0.209408599265896
BerryC,C,BRR,BerryC.C,0.19772435530116
BerryC,C,BRR,BerryC.C,0.246677280504515
BerryC,C,BRR,BerryC.C,0.222272984661145
BerryC,C,BRR,BerryC.C,0.19796549366857
BerryC,C,BRR,BerryC.C,0.210953889244223
BerryC,C,BRR,BerryC.C,0.211761388975633
BerryC,C,BRR,BerryC.C,0.173631312681433
BerryC,C,BRR,BerryC.C,0.208863483141299
BerryC,C,BRR,BerryC.C,0.185229988701176
BerryC,C,BRR,BerryC.C,0.179207748315949
BerryC,C,BRR,BerryC.C,0.188791185729521
BerryC,C,BRR,BerryC.C,0.210736942028542
BerryC,C,BRR,BerryC.C,0.205288324328865
BerryC,C,BRR,BerryC.C,0.224070756021597
BerryC,C,BRR,BerryC.C,0.193120567336964
BerryC,C,BRR,BerryC.C,0.179623957302129
BerryC,C,BRR,BerryC.C,0.188066588713717
BerryC,C,BRR,BerryC.C,0.179828576592971
BerryC,C,BRR,BerryC.C,0.162017971162532
BerryC,C,BRR,BerryC.C,0.162508046189545
BerryC,C,BRR,BerryC.C,0.150600265311702
BerryC,C,BRR,BerryC.C,0.160827424327845
BerryC,C,BRR,BerryC.C,0.179175505017887
BerryC,C,BRR,BerryC.C,0.177714932463448
BerryC,C,BRR,BerryC.C,0.174330654766826
BerryC,C,BRR,BerryC.C,0.173014248890137
BerryC,C,BRR,BerryC.C,0.174309188698334
BerryC,C,BRR,BerryC.C,0.161261718681545
BerryC,C,BRR,BerryC.C,0.142338666124567
BerryC,C,BRR,BerryC.C,0.137128438510046
BerryC,C,BRR,BerryC.C,0.147106578311991
BerryC,C,BRR,BerryC.C,0.139620090214491
BerryC,C,BRR,BerryC.C,0.141290585132416
BerryC,C,BRR,BerryC.C,0.120671198235057
BerryC,C,BRR,BerryC.C,0.123333924852347
BerryC,C,BRR,BerryC.C,0.119647954969125
BerryC,C,BRR,BerryC.C,0.131034446830541
BerryC,C,BRR,BerryC.C,0.123615830519778
BerryC,C,BRR,BerryC.C,0.123232874387561
BerryC,C,BRR,BerryC.C,0.150913964955327
BerryC,C,BRR,BerryC.C,0.137011937857568
BerryC,C,BRR,BerryC.C,0.149408872187331
BerryC,C,BRR,BerryC.C,0.144101466190268
BerryC,C,BRR,BerryC.C,0.167255093586172
BerryC,C,BRR,BerryC.C,0.180462875095326
BerryC,C,BRR,BerryC.C,0.164057185288359
BerryC,C,BRR,BerryC.C,0.152438718511062
BerryC,C,BRR,BerryC.C,0.154311332064045
BerryC,C,BRR,BerryC.C,0.178829822321164
BerryC,C,BRR,BerryC.C,0.174885822152989
BerryC,C,BRR,BerryC.C,0.166362841334664
BerryC,C,BRR,BerryC.C,0.158835420179759
BerryC,C,BRR,BerryC.C,0.167360158796519
BerryC,C,BRR,BerryC.C,0.152015897073975
BerryC,C,BRR,BerryC.C,0.164599479778122
BerryC,C,BRR,BerryC.C,0.144037182903695
BerryC,C,BRR,BerryC.C,0.147751335260977
BerryC,C,BRR,BerryC.C,0.143608576758349
BerryC,C,BRR,BerryC.C,0.143167005343755
BerryC,C,BRR,BerryC.C,0.143927896216199
BerryC,C,BRR,BerryC.C,0.129315478705472
BerryC,C,BRR,BerryC.C,0.138242611776144
BerryC,C,BRR,BerryC.C,0.136963566337785
BerryC,C,BRR,BerryC.C,0.148265085138641
BerryC,C,BRR,BerryC.C,0.183043769648604
BerryC,C,BRR,BerryC.C,0.194348529484843
BerryC,C,BRR,BerryC.C,0.198489843070806
BerryC,C,BRR,BerryC.C,0.198055927531284
BerryC,C,BRR,BerryC.C,0.20422714081312
BerryC,C,BRR,BerryC.C,0.195040001812452
BerryC,C,BRR,BerryC.C,0.187049928702463
BerryC,C,BRR,BerryC.C,0.202571692266247
BerryC,C,BRR,BerryC.C,0.20271533696178
BerryC,C,BRR,BerryC.C,0.194484024264393
BerryC,C,BRR,BerryC.C,0.222375618633213
BerryC,C,BRR,BerryC.C,0.217426073120517
BerryC,C,BRR,BerryC.C,0.209571103357928
BerryC,C,BRR,BerryC.C,0.191054814015261
BerryC,C,BRR,BerryC.C,0.207526900581543
BerryC,C,BRR,BerryC.C,0.224680095716069
BerryC,C,BRR,BerryC.C,0.196825084598952
BerryC,C,BRR,BerryC.C,0.192110008668869
BerryC,C,BRR,BerryC.C,0.203373141313981
BerryC,C,BRR,BerryC.C,0.205181009257491
BerryC,C,BRR,BerryC.C,0.167807251803043
BerryC,C,BRR,BerryC.C,0.180696681446197
BerryC,C,BRR,BerryC.C,0.171064998563943
BerryC,C,BRR,BerryC.C,0.169901061643809
BerryC,C,BRR,BerryC.C,0.147909396658791
BerryC,C,BRR,BerryC.C,0.14619402870204
BerryC,C,BRR,BerryC.C,0.180512282537057
BerryC,C,BRR,BerryC.C,0.165543659282948
BerryC,C,BRR,BerryC.C,0.164677808487064
BerryC,C,BRR,BerryC.C,0.169610868260907
BerryC,C,BRR,BerryC.C,0.176856329527214
BerryC,C,BRR,BerryC.C,0.157591513835882
BerryC,C,BRR,BerryC.C,0.128641194273903
BerryC,C,BRR,BerryC.C,0.165552706499581
BerryC,C,BRR,BerryC.C,0.154445493406186
BerryC,C,BRR,BerryC.C,0.148013494996971
BerryC,C,BRR,BerryC.C,0.145309346227702
BerryC,C,BRR,BerryC.C,0.126516474147261
BerryC,C,BRR,BerryC.C,0.149211208033827
BerryC,C,BRR,BerryC.C,0.146039003010022
BerryC,C,BRR,BerryC.C,0.151438270976236
BerryC,C,BRR,BerryC.C,0.168310624380081
BerryC,C,BRR,BerryC.C,0.137950844074203
BerryC,C,BRR,BerryC.C,0.138025414940768
BerryC,C,BRR,BerryC.C,0.172848451010991
BerryC,C,BRR,BerryC.C,0.17574070539029
BerryC,C,BRR,BerryC.C,0.180818253902505
BerryC,C,BRR,BerryC.C,0.177266496658608
BerryC,C,BRR,BerryC.C,0.141074843034657
BerryC,C,BRR,BerryC.C,0.137326987548904
BerryC,C,BRR,BerryC.C,0.15639350488305
BerryC,C,BRR,BerryC.C,0.175525643047749
BerryC,C,BRR,BerryC.C,0.14662150616281
BerryC,C,BRR,BerryC.C,0.165746424383625
BerryC,C,BRR,BerryC.C,0.165213443795125
BerryC,C,BRR,BerryC.C,0.142240662466495
BerryC,C,BRR,BerryC.C,0.153427255617485
BerryC,C,BRR,BerryC.C,0.153226033621052
BerryC,C,BRR,BerryC.C,0.139297657673613
BerryC,C,BRR,BerryC.C,0.141967964494451
BerryC,C,BRR,BerryC.C,0.143084414059921
BerryC,C,BRR,BerryC.C,0.16094187961894
BerryC,C,BRR,BerryC.C,0.134805965890086
BerryC,C,BRR,BerryC.C,0.160042866480768
BerryC,C,BRR,BerryC.C,0.140359458001403
BerryC,C,BRR,BerryC.C,0.158357487733753
BerryC,C,BRR,BerryC.C,0.173353403301794
BerryC,C,BRR,BerryC.C,0.175680509680536
BerryC,C,BRR,BerryC.C,0.183476069803394
BerryC,C,BRR,BerryC.C,0.156335748599561
BerryC,C,BRR,BerryC.C,0.179557850586691
BerryC,C,BRR,BerryC.C,0.150507669149261
BerryC,C,BRR,BerryC.C,0.177073548318355
BerryC,C,BRR,BerryC.C,0.168401284053868
BerryC,C,BRR,BerryC.C,0.156983259483515
BerryC,C,BRR,BerryC.C,0.137544362575727
BerryC,C,BRR,BerryC.C,0.144535304516395
BerryC,C,BRR,BerryC.C,0.144181421370027
BerryC,C,BRR,BerryC.C,0.124522569482272
BerryC,C,BRR,BerryC.C,0.117915530122197
BerryC,C,BRR,BerryC.C,0.129812086379331
BerryC,C,BRR,BerryC.C,0.119630367017083
BerryC,C,BRR,BerryC.C,0.141898358465596
BerryC,C,BRR,BerryC.C,0.144941450683943
BerryC,C,BRR,BerryC.C,0.161864485906707
BerryC,C,BRR,BerryC.C,0.154790404491051
BerryC,C,BRR,BerryC.C,0.145340679672833
BerryC,C,BRR,BerryC.C,0.147250920922957
BerryC,C,BRR,BerryC.C,0.130846650028476
BerryC,C,BRR,BerryC.C,0.14232026592676
BerryC,C,BRR,BerryC.C,0.128759053062964
BerryC,C,BRR,BerryC.C,0.169284927430016
BerryC,C,BRR,BerryC.C,0.159498043246564
BerryC,C,BRR,BerryC.C,0.166673580237927
BerryC,C,BRR,BerryC.C,0.131534052277489
BerryC,C,BRR,BerryC.C,0.124552184716054
BerryC,C,BRR,BerryC.C,0.120020140026675
BerryC,C,BRR,BerryC.C,0.126349722947201
BerryC,C,BRR,BerryC.C,0.142013398543501
BerryC,C,BRR,BerryC.C,0.175885718135297
BerryC,C,BRR,BerryC.C,0.187284569790157
BerryC,C,BRR,BerryC.C,0.187573333690162
BerryC,C,BRR,BerryC.C,0.208534091401745
BerryC,C,BRR,BerryC.C,0.166822405829182
BerryC,C,BRR,BerryC.C,0.128513233974055
BerryC,C,BRR,BerryC.C,0.174469758696448
BerryC,C,BRR,BerryC.C,0.183406000955592
BerryC,C,BRR,BerryC.C,0.198119208399011
BerryC,C,BRR,BerryC.C,0.207914974536009
BerryC,C,BRR,BerryC.C,0.186765686443134
BerryC,C,BRR,BerryC.C,0.190123492181619
BerryC,C,BRR,BerryC.C,0.199436196581959
BerryC,C,BRR,BerryC.C,0.217104444070331
BerryC,C,BRR,BerryC.C,0.200566950593995
BerryC,C,BRR,BerryC.C,0.188855510106129
BerryC,C,BRR,BerryC.C,0.217567785425302
BerryC,C,BRR,BerryC.C,0.236227289934857
BerryC,C,BRR,BerryC.C,0.259640620822935
BerryC,C,BRR,BerryC.C,0.229867319608064
BerryC,C,BRR,BerryC.C,0.269740389849184
BerryC,C,BRR,BerryC.C,0.252320803103497
BerryC,C,BRR,BerryC.C,0.250781522206098
BerryC,C,BRR,BerryC.C,0.251425882175854
BerryC,C,BRR,BerryC.C,0.233666587737077
BerryC,C,BRR,BerryC.C,0.198693444969956
BerryC,C,BRR,BerryC.C,0.195970734836743
BerryC,C,BRR,BerryC.C,0.184582140794509
BerryC,C,BRR,BerryC.C,0.182211931048874
BerryC,C,BRR,BerryC.C,0.174045200711857
BerryC,C,BRR,BerryC.C,0.18737608495024
BerryC,C,BRR,BerryC.C,0.16234727363273
BerryC,C,BRR,BerryC.C,0.181228427003883
BerryC,C,BRR,BerryC.C,0.191231819813214
BerryC,C,BRR,BerryC.C,0.177921804972786
BerryC,C,BRR,BerryC.C,0.207924027698401
BerryC,C,BRR,BerryC.C,0.211215754311793
BerryC,C,BRR,BerryC.C,0.187686758401468
BerryC,C,BRR,BerryC.C,0.187596688715793
BerryC,C,BRR,BerryC.C,0.176504880534627
BerryC,C,BRR,BerryC.C,0.169697868442546
BerryC,C,BRR,BerryC.C,0.166456549374716
BerryC,C,BRR,BerryC.C,0.15030560272462
BerryC,C,BRR,BerryC.C,0.170282697694876
BerryC,C,BRR,BerryC.C,0.172159696677574
BerryC,C,BRR,BerryC.C,0.198108797679847
BerryC,C,BRR,BerryC.C,0.189825172331057
BerryC,C,BRR,BerryC.C,0.166119435868562
BerryC,C,BRR,BerryC.C,0.188090962701847
BerryC,C,BRR,BerryC.C,0.169688180984914
BerryC,C,BRR,BerryC.C,0.17449026967965
BerryC,C,BRR,BerryC.C,0.168190968930939
BerryC,C,BRR,BerryC.C,0.157057407715109
BerryC,C,BRR,BerryC.C,0.151882075174878
BerryC,C,BRR,BerryC.C,0.169051945121631
BerryC,C,BRR,BerryC.C,0.165245680576865
BerryC,C,BRR,BerryC.C,0.191632190348719
BerryC,C,BRR,BerryC.C,0.164834531446541
BerryC,C,BRR,BerryC.C,0.190277733685534
BerryC,C,BRR,BerryC.C,0.170469915406155
BerryC,C,BRR,BerryC.C,0.167592574500877
BerryC,C,BRR,BerryC.C,0.164913938383223
BerryC,C,BRR,BerryC.C,0.195275898349573
BerryC,C,BRR,BerryC.C,0.189232803124232
BerryC,C,BRR,BerryC.C,0.181137158055781
BerryC,C,BRR,BerryC.C,0.179912673848967
BerryC,C,BRR,BerryC.C,0.154844854576713
BerryC,C,BRR,BerryC.C,0.200141147506242
BerryC,C,BRR,BerryC.C,0.179838693284346
BerryC,C,BRR,BerryC.C,0.209059318118172
BerryC,C,BRR,BerryC.C,0.185921923170601
BerryC,C,BRR,BerryC.C,0.168625831923136
BerryC,C,BRR,BerryC.C,0.157922604250513
BerryC,C,BRR,BerryC.C,0.18161231817923
BerryC,C,BRR,BerryC.C,0.194441375423397
BerryC,C,BRR,BerryC.C,0.178024345381594
BerryC,C,BRR,BerryC.C,0.187834262748806
BerryC,C,BRR,BerryC.C,0.18420178242786
BerryC,C,BRR,BerryC.C,0.17307944765771
BerryC,C,BRR,BerryC.C,0.181245290536434
BerryC,C,BRR,BerryC.C,0.17691987474936
BerryC,C,BRR,BerryC.C,0.196529502941952
BerryC,C,BRR,BerryC.C,0.240005052977851
BerryC,C,BRR,BerryC.C,0.181897496164295
BerryC,C,BRR,BerryC.C,0.185006834388226
BerryC,C,BRR,BerryC.C,0.255857105013077
BerryC,C,BRR,BerryC.C,0.260116857658851
BerryC,C,BRR,BerryC.C,0.23564237914646
BerryC,C,BRR,BerryC.C,0.200649505500719
BerryC,C,BRR,BerryC.C,0.163217639757746
BerryC,C,BRR,BerryC.C,0.175616242778366
BerryC,C,BRR,BerryC.C,0.173856570784541
BerryC,C,BRR,BerryC.C,0.161257831275886
BerryC,C,BRR,BerryC.C,0.161372795370759
BerryC,C,BRR,BerryC.C,0.168049497793122
BerryC,C,BRR,BerryC.C,0.149460713105227
BerryC,C,BRR,BerryC.C,0.159238386296993
BerryC,C,BRR,BerryC.C,0.187242427893821
