SAMPLES,c1_12106,c2_28666,c2_4366,c2_55639,c2_58236
15061942,0,3,4,2,2
15061763,2,3,3,4,2
15061801,0,3,3,3,2
15061494,2,3,4,4,2
15061613,1,2,2,3,3
15062137,2,3,4,4,3
15061319,2,3,3,2,3
15062142,0,4,4,2,2
15060320,1,3,3,3,3
15061768,1,2,4,3,1
15061522,0,3,4,3,3
15060081,2,3,3,2,3
15061656,1,1,4,3,3
15061759,1,2,4,3,2
15061928,2,3,4,3,1
15061454,1,4,4,4,1
15061605,1,2,4,4,2
15060087,1,3,3,3,1
15061619,2,3,4,4,3
15060090,1,1,4,4,3
15061731,2,3,4,4,3
15061655,0,1,4,3,4
15061661,1,2,2,3,3
15061499,1,1,2,2,2
15061647,2,3,3,2,3
15061612,1,2,4,3,3
15061742,1,1,2,2,2
15061710,0,4,4,2,2
15062372,1,4,2,2,2
15061583,1,2,2,3,3
15061767,1,4,3,4,2
15062130,2,3,4,3,3
15061637,2,3,3,2,3
15061337,1,3,3,3,2
15062104,1,2,4,4,3
15061579,0,2,4,3,1
15061932,1,3,4,2,3
15061603,1,3,3,3,1
15060025,2,3,3,2,3
15061704,2,3,3,2,3
15061334,2,3,4,3,2
15061631,0,4,4,2,2
15060964,1,2,4,4,3
15061778,2,3,4,4,3
15061718,1,4,4,4,1
15061486,2,4,3,3,4
15060214,2,3,4,1,3
15061333,2,4,3,4,2
15061962,1,3,4,2,3
15061624,1,3,3,3,1
15061282,1,2,2,3,3
15061529,1,4,3,3,3
15061935,1,3,4,2,3
15061568,1,3,4,3,2
15061491,2,3,4,4,3
15061318,1,3,4,3,2
15061361,1,3,3,3,2
15061515,1,2,3,3,2
15062123,1,1,2,2,2
15061358,2,3,3,2,3
15061428,1,3,4,3,3
15061496,0,3,4,3,2
15061648,1,3,3,4,1
15061808,0,3,3,3,2
15061600,1,2,3,4,3
15061730,1,2,3,2,2
15061623,2,3,3,2,3
15061405,1,2,2,3,3
15061299,1,2,2,3,3
15061578,1,2,4,4,3
15061476,2,3,2,3,2
15061765,1,4,3,3,3
15062111,1,4,4,3,1
15061397,1,3,3,3,1
15061713,2,3,3,2,3
15061584,0,1,3,2,2
15061912,1,2,4,3,3
15061260,2,3,3,2,3
15062099,1,2,3,4,4
15061350,0,3,4,3,2
15060933,0,3,4,3,4
15061548,1,4,4,1,3
15061348,1,3,3,3,2
15061560,2,3,3,3,1
15061544,1,3,3,3,1
15061449,1,4,4,4,1
15062348,1,3,4,3,3
15061916,1,3,3,3,2
15062138,1,3,3,3,1
15061946,0,3,4,3,2
15061676,1,3,3,3,2
15060536,1,3,4,3,4
15061391,2,3,4,4,3
15061662,1,4,4,4,1
15061228,0,2,3,4,0
15061356,1,1,4,4,3
15061963,2,3,4,4,3
15061338,1,3,3,3,1
15062331,1,1,4,4,3
15062098,1,3,4,3,3
15062114,0,2,4,3,1
15062046,1,2,4,3,3
15062370,1,2,4,4,3
15061685,0,3,4,2,1
15061540,1,1,2,2,2
15061721,2,3,3,2,3
15062074,1,3,4,3,2
15062362,1,3,3,3,2
15061689,2,3,4,4,3
15061357,1,2,4,4,3
15061376,1,3,4,3,3
15061308,2,3,4,4,3
