SAMPLES,c1_15225,c1_16540,c1_16542,c1_3098,c1_3497,c1_3499,c1_4347,c1_5112,c1_7187,c1_7871,c1_7872,c1_7874,c1_8069,c2_10681,c2_1296,c2_12976,c2_14491,c2_14980,c2_19135,c2_21041,c2_22024,c2_22744,c2_23776,c2_27900,c2_32257,c2_4030,c2_47199,c2_47202,c2_48818,c2_50028,c2_53914,c2_58249,c2_686,c2_7401,c2_9137
15061942,1,2,3,4,3,0,3,2,3,2,3,1,4,4,0,2,2,2,3,1,2,4,3,1,4,2,2,2,1,3,2,2,3,1,4
15061763,3,1,4,3,1,1,3,4,3,2,3,1,4,3,0,1,4,2,3,0,1,3,4,2,4,3,1,3,0,3,2,1,2,1,3
15061801,2,1,3,2,1,1,4,1,3,3,4,0,2,3,0,4,1,1,3,1,2,2,1,2,4,3,1,4,0,2,3,2,2,0,4
15061494,1,0,4,4,2,1,2,2,4,4,4,0,4,4,0,3,2,0,3,1,2,2,4,0,4,4,0,4,1,4,2,3,3,1,4
15061613,3,2,3,NA,3,2,1,2,4,3,3,0,3,3,0,2,2,1,1,1,3,1,1,2,4,2,0,4,1,3,3,1,3,0,3
15062137,1,1,4,4,2,1,3,3,3,4,4,0,4,3,0,2,2,0,2,0,1,3,4,1,3,1,0,4,0,4,3,1,2,0,4
15061319,1,1,4,4,2,1,3,1,3,3,3,1,4,3,0,2,2,2,2,1,1,3,3,2,4,2,2,3,0,4,2,3,3,1,4
15062142,0,2,4,4,3,1,3,3,2,3,4,0,2,4,0,4,3,0,2,1,2,2,2,3,3,3,0,4,2,3,2,2,3,1,4
15060320,2,2,3,3,3,1,4,3,3,3,3,1,4,3,0,2,2,2,4,0,2,3,4,1,4,1,3,2,1,3,1,1,2,0,3
15061768,1,3,3,4,2,0,1,3,4,4,4,0,3,4,1,2,3,0,3,0,2,3,4,2,4,1,0,4,0,4,1,1,4,0,4
15061522,1,1,3,3,2,0,2,2,4,4,4,0,4,4,0,2,3,2,3,0,1,2,2,1,4,3,0,4,0,3,2,1,2,0,3
15060081,1,1,4,4,2,1,3,1,3,3,3,1,4,3,1,2,2,2,2,1,1,3,2,2,4,2,2,3,0,4,2,2,2,1,4
15061656,0,2,4,4,3,2,1,2,4,4,4,0,4,2,1,1,1,0,2,2,1,1,2,2,4,2,0,4,0,4,2,2,2,0,2
15061759,0,1,4,4,4,1,2,3,4,4,4,0,2,4,1,2,4,0,4,0,2,2,4,2,4,1,1,4,0,4,NA,2,3,0,4
15061928,0,0,4,4,2,0,1,3,4,3,3,1,3,4,1,4,1,1,1,1,2,3,4,1,3,0,2,1,1,3,2,3,3,0,4
15061454,2,1,4,4,2,0,2,1,3,2,2,0,4,4,1,3,3,2,2,0,2,4,3,1,3,3,0,4,0,4,1,2,4,2,4
15061605,3,1,3,3,2,1,3,2,3,3,3,0,1,4,0,1,1,1,2,0,2,2,2,1,3,4,0,4,1,3,3,1,3,0,4
15060087,2,2,3,4,2,0,4,3,4,4,4,0,4,4,0,2,2,0,3,0,0,3,4,2,4,0,0,4,2,3,1,3,3,0,4
15061619,1,1,4,4,2,1,3,3,3,4,4,0,4,3,0,2,2,0,2,0,1,3,4,1,3,1,0,4,0,4,3,1,2,0,4
15060090,2,2,2,3,1,0,4,1,4,2,2,1,3,4,0,2,3,3,2,1,2,1,1,1,3,2,1,3,0,3,2,2,1,0,4
15061731,1,1,4,4,2,1,3,3,3,4,4,0,4,3,0,2,2,0,2,0,1,3,4,1,3,1,0,4,0,4,3,1,2,0,4
15061655,2,3,4,3,3,1,3,2,4,3,3,1,3,3,1,2,3,1,2,1,2,2,1,3,3,2,1,4,0,2,2,3,1,2,2
15061661,3,2,3,NA,3,2,2,2,4,3,3,0,3,3,0,2,2,1,1,1,3,1,1,2,4,2,0,4,1,3,3,1,3,0,3
15061499,0,1,4,4,2,1,2,1,4,3,3,1,4,3,0,1,3,2,3,0,1,1,2,4,4,2,1,3,0,4,2,3,4,0,4
15061647,1,1,4,4,2,1,3,1,3,3,3,1,4,3,0,2,1,2,2,1,1,3,3,2,4,2,2,3,0,4,2,3,3,1,4
15061612,2,2,3,4,0,0,2,3,4,3,4,0,4,4,0,2,4,2,2,0,0,3,4,2,4,1,0,4,0,4,2,2,3,1,2
15061742,0,1,4,4,2,1,1,1,4,3,3,1,4,3,0,1,3,2,3,0,1,1,2,4,4,2,1,3,0,4,2,3,4,0,4
15061710,1,1,3,3,4,2,3,3,4,3,3,1,4,3,0,1,3,2,2,0,1,1,4,1,4,3,1,3,0,3,3,4,1,1,2
15062372,2,1,4,3,4,1,3,1,2,3,3,1,4,3,0,3,4,2,3,0,3,3,2,2,3,2,1,3,0,4,1,2,3,1,4
15061583,3,2,3,NA,3,2,1,2,4,3,3,0,3,3,0,2,2,2,1,1,3,1,1,2,4,2,0,4,1,3,3,1,3,0,3
15061767,2,1,4,3,2,1,3,2,3,3,3,1,4,3,0,2,3,2,1,0,2,3,4,2,4,1,1,3,0,3,2,3,1,1,4
15062130,1,2,4,4,2,1,2,1,4,4,4,0,3,3,0,1,1,0,1,0,1,3,3,1,4,2,0,4,1,4,2,2,3,0,4
15061637,1,1,4,4,2,1,3,1,3,3,3,1,4,3,0,2,2,2,2,1,1,3,3,2,4,2,2,3,0,4,2,3,3,1,4
15061337,2,2,4,3,3,1,2,2,4,3,3,1,4,3,0,2,4,2,2,0,2,3,3,1,4,1,1,3,0,3,2,1,2,1,3
15062104,1,0,4,3,3,0,2,2,4,3,3,1,4,4,0,2,3,2,1,0,2,4,4,2,4,3,1,3,2,3,2,3,1,2,3
15061579,1,2,3,4,3,2,3,1,4,3,4,0,3,2,0,0,3,0,2,1,3,3,4,2,4,1,1,3,0,4,3,1,4,0,4
15061932,1,1,4,3,2,0,4,2,3,2,4,0,4,3,2,2,4,0,1,1,1,3,4,2,3,1,1,4,1,3,3,1,3,0,4
15061603,2,2,3,4,2,0,4,3,4,4,4,0,4,4,0,2,2,0,3,0,0,3,4,2,4,0,0,4,2,3,1,3,3,0,4
15060025,1,1,4,4,2,1,3,1,3,3,3,1,4,3,0,2,1,2,2,2,1,3,3,2,4,2,2,3,0,4,2,3,3,1,4
15061704,1,1,4,4,2,1,3,1,3,3,3,1,4,3,0,2,2,2,2,2,1,3,3,2,4,2,2,3,0,4,2,3,3,1,4
15061334,2,2,4,4,3,1,3,2,4,4,4,0,4,3,0,3,3,0,1,0,1,4,4,2,4,1,0,4,2,4,3,2,2,1,4
15061631,1,1,3,3,4,2,3,3,4,3,3,1,4,3,0,1,3,2,2,0,1,1,4,1,4,3,1,3,0,3,3,4,1,1,2
15060964,1,1,4,4,2,0,2,4,4,4,4,0,4,4,0,2,3,0,3,2,2,3,4,0,4,3,0,4,0,3,2,3,0,0,4
15061778,1,1,4,4,2,1,3,3,3,4,4,0,4,3,0,2,2,0,2,0,1,3,4,1,3,1,0,4,0,4,3,1,2,0,4
15061718,2,1,4,4,2,0,2,1,3,2,2,0,4,4,1,3,3,2,2,0,2,4,4,1,3,3,0,4,0,4,1,2,4,2,4
15061486,0,3,3,4,2,0,3,2,3,4,4,0,2,2,1,3,2,2,0,3,0,2,4,0,4,2,0,4,0,4,1,1,2,0,4
15060214,1,2,4,4,3,1,3,2,4,2,3,0,4,3,2,3,3,2,2,2,1,1,2,1,4,1,0,4,0,4,2,1,3,0,4
15061333,3,1,4,3,1,0,2,3,2,3,3,1,4,4,0,2,4,2,3,0,1,4,3,0,4,1,2,2,0,3,2,1,3,1,3
15061962,1,1,4,3,2,0,4,2,3,2,4,0,4,3,2,2,4,0,1,1,1,3,4,2,3,1,1,4,1,3,3,1,3,0,4
15061624,2,2,3,4,2,0,4,3,4,4,4,0,4,4,0,2,2,0,3,0,0,3,4,2,4,0,0,4,2,3,1,3,3,0,4
15061282,3,2,3,NA,3,2,2,2,4,3,3,0,3,3,0,2,2,1,1,1,3,1,1,2,4,2,0,4,1,3,3,1,3,0,3
15061529,2,1,3,4,2,2,2,1,4,1,2,2,4,4,0,2,2,NA,3,0,1,3,4,0,4,2,2,2,1,2,2,3,2,1,4
15061935,1,1,4,3,2,0,4,1,3,2,4,0,4,3,2,2,4,0,1,1,1,3,4,2,3,1,1,4,1,3,3,1,3,0,4
15061568,1,1,4,3,2,0,3,3,2,4,4,0,3,4,0,4,3,0,3,0,1,4,3,1,4,2,0,4,0,3,2,1,3,1,2
15061491,1,1,4,4,2,1,3,3,3,4,4,0,4,3,0,2,2,0,2,0,1,3,4,1,3,1,0,4,0,4,3,1,2,0,4
15061318,1,3,4,3,3,2,2,2,4,4,4,0,3,4,1,3,3,2,2,0,2,3,3,1,4,1,0,4,0,3,2,2,2,0,3
15061361,2,2,4,3,3,1,2,2,4,3,3,1,4,3,0,2,4,2,2,0,2,3,3,1,4,1,1,3,0,3,2,1,2,1,3
15061515,2,2,4,4,3,2,3,2,4,3,3,0,4,2,0,2,3,1,1,0,1,2,3,3,3,2,0,4,1,2,3,4,2,1,4
15062123,0,1,4,4,2,1,2,1,4,3,3,1,4,3,0,1,3,2,3,0,1,1,2,4,4,2,1,3,0,4,2,3,4,0,4
15061358,1,1,4,4,2,1,3,1,3,3,3,1,4,3,0,2,2,2,2,1,1,3,3,2,4,2,2,3,0,4,2,3,3,1,4
15061428,2,2,4,3,3,1,3,3,4,3,3,1,4,3,0,2,3,2,2,0,1,4,3,0,4,1,1,3,0,4,3,1,3,1,3
15061496,1,1,3,4,4,1,1,2,4,4,4,0,4,4,0,2,3,0,3,0,3,3,4,0,4,2,1,4,0,4,2,4,3,0,4
15061648,1,1,4,3,3,1,3,2,4,2,3,1,4,3,0,3,2,2,2,0,1,1,3,1,4,1,1,3,0,3,3,2,0,1,3
15061808,2,1,3,2,1,1,4,1,3,3,4,0,2,3,0,3,1,1,3,1,2,2,1,2,4,3,1,4,0,2,3,2,2,0,4
15061600,1,1,4,4,3,0,1,0,4,4,4,0,4,4,0,4,4,0,1,1,2,2,3,0,4,2,0,4,0,2,2,2,2,2,4
15061730,1,2,3,4,2,0,1,2,4,3,3,1,3,4,0,1,3,3,2,0,2,3,3,1,3,1,1,3,0,4,3,1,3,1,3
15061623,1,1,4,4,2,1,3,1,3,3,3,1,4,3,0,2,2,2,2,1,1,3,3,2,4,2,2,3,0,4,2,3,3,1,4
15061405,3,2,3,NA,3,2,2,2,4,3,3,0,3,3,0,2,2,1,1,1,3,1,1,2,4,2,0,4,1,3,3,1,3,0,3
15061299,3,2,3,NA,3,2,1,2,4,3,3,0,3,3,0,2,2,1,1,1,3,1,1,2,4,2,0,4,1,3,3,1,3,0,3
15061578,1,0,4,3,3,0,2,2,4,3,3,1,4,4,0,2,3,2,1,0,2,4,4,2,4,3,1,3,1,3,2,3,1,2,3
15061476,2,3,3,3,4,3,1,1,4,3,4,0,3,3,0,3,3,2,3,0,0,3,3,0,4,1,0,4,0,3,1,2,2,0,3
15061765,2,1,3,4,2,2,2,1,4,1,2,2,4,4,0,2,2,NA,3,0,1,3,4,0,4,2,2,2,1,1,2,3,2,1,4
