SAMPLES,c1_12386,c1_13243,c1_13289,c1_15219,c1_16171,c1_16540,c1_2112,c1_2640,c1_4192,c1_513,c1_6192,c2_10539,c2_12760,c2_12779,c2_12788,c2_13821,c2_25662,c2_27928,c2_32334,c2_33514,c2_34179,c2_38667,c2_39834,c2_41405,c2_41963,c2_42169,c2_43243,c2_45168,c2_46777,c2_50220,c2_51800,c2_55072,c2_55199,c2_56145,c2_58373
15061942,4,4,3,1,0,2,0,2,1,2,3,2,0,4,0,2,3,3,3,4,1,4,2,4,3,0,3,4,4,0,2,4,3,4,4
15061763,3,3,4,0,0,1,0,4,3,3,4,2,0,4,0,1,2,3,4,4,3,4,3,4,4,0,4,4,3,1,4,4,2,4,4
15061801,3,3,1,2,2,1,1,4,4,2,3,3,1,3,1,1,3,4,4,4,3,4,2,3,2,2,0,3,1,2,3,1,2,3,2
15061494,2,3,3,1,0,0,0,3,4,2,4,4,0,4,0,3,3,4,3,4,2,2,1,4,3,0,3,3,2,3,2,2,1,4,3
15061613,4,3,3,2,0,2,1,3,3,3,3,3,1,3,1,1,3,3,3,4,1,4,3,3,3,0,1,4,2,2,3,2,2,3,3
15062137,3,3,4,1,0,1,0,4,3,3,3,2,0,4,0,3,2,3,3,4,3,4,3,4,3,0,2,4,1,0,3,4,2,4,4
15061319,3,2,3,2,0,1,0,3,2,2,3,4,0,4,0,1,4,4,4,4,2,4,3,4,4,0,1,4,3,2,2,3,2,4,4
15062142,2,2,2,4,1,2,1,2,4,2,4,3,1,4,2,3,1,4,1,4,2,3,3,3,4,1,3,4,3,2,2,2,0,3,4
15060320,3,4,3,1,0,2,0,2,3,3,3,1,0,4,0,3,3,3,4,4,2,4,3,4,4,0,2,4,2,2,3,3,2,4,4
15061768,3,1,3,2,0,3,0,3,3,2,4,1,1,4,1,1,3,4,4,4,1,3,3,4,3,0,2,3,2,2,3,3,1,4,3
15061522,3,3,3,1,1,1,0,4,2,0,3,4,1,3,1,0,4,3,3,4,2,4,2,4,1,1,0,3,1,0,4,2,2,4,3
15060081,3,2,2,2,1,1,1,3,2,2,3,4,0,NA,NA,1,4,4,4,4,2,4,3,3,4,1,1,4,2,2,2,2,2,3,4
15061656,3,3,1,2,1,2,1,2,3,2,3,4,0,4,0,2,2,4,2,4,0,2,2,3,3,1,2,4,3,0,1,0,2,3,4
15061759,2,2,4,2,0,1,0,3,4,1,4,3,0,4,0,2,2,4,3,4,0,2,3,4,4,0,3,3,4,2,4,2,1,4,3
15061928,3,2,3,2,0,0,0,4,3,2,3,2,2,3,1,3,3,4,3,3,0,2,3,4,3,0,3,3,2,2,3,3,3,4,2
15061454,3,4,3,1,1,1,0,1,2,1,3,4,1,4,1,1,4,2,3,4,1,2,2,4,2,1,1,2,1,2,3,4,0,4,4
15061605,3,2,2,1,1,1,1,4,4,3,4,2,0,4,0,2,1,3,4,4,1,3,3,3,3,1,1,4,3,2,3,3,1,3,3
15060087,4,2,3,0,0,2,0,2,2,2,3,1,0,4,0,1,3,3,4,4,2,4,3,4,3,0,2,4,2,0,4,3,3,4,4
15061619,3,3,4,1,0,1,0,4,3,3,3,2,0,4,0,3,2,3,3,4,3,4,3,4,3,0,2,4,1,0,3,4,2,4,4
15060090,2,4,3,1,1,2,1,3,3,3,3,1,0,4,0,1,4,3,3,4,3,3,2,3,2,1,0,3,2,2,3,1,3,3,3
15061731,3,3,4,1,0,1,0,4,3,3,3,2,0,4,0,3,2,3,3,4,3,4,3,4,3,0,2,4,1,0,3,4,2,4,4
15061655,3,2,1,2,0,3,2,2,3,1,3,1,1,3,2,2,3,3,3,4,2,2,3,3,4,0,2,4,3,3,NA,1,1,3,4
15061661,4,3,3,2,0,2,1,3,3,3,3,3,1,3,1,1,3,3,3,4,1,4,3,3,3,0,1,4,2,2,3,2,2,3,3
15061499,3,2,3,3,0,1,0,3,2,3,3,3,0,4,0,1,3,4,3,3,2,3,3,4,4,0,1,4,3,2,2,4,2,4,4
15061647,3,2,3,2,0,1,0,3,2,2,3,4,0,4,0,1,4,4,3,4,2,4,3,4,4,0,1,4,3,2,2,3,2,4,4
15061612,3,2,4,0,1,2,0,3,3,4,4,2,0,4,0,1,4,2,3,4,4,3,2,4,3,1,2,3,2,3,3,2,1,4,4
15061742,3,2,3,3,0,1,0,3,2,3,3,3,0,4,0,1,3,4,3,3,2,3,3,4,4,0,1,4,3,2,2,4,2,4,4
