"GSCORE","TRAIT","LGSCORE","TOOL","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC"
0.987,"CBaya.H",0.99,"TASSEL","additive",0.986,"c1_5483","8",57177039,1.08503298680701e-13,12.964557,4.299725,TRUE,105,1,0.986
0.971,"CPFlor.C",0.971,"TASSEL","additive",1.041,"c1_7964","2",38139240,9.97713077897077e-07,6.000994,4.30103,TRUE,108,1,0.959
0.971,"CPFlor.C",0.971,"TASSEL","additive",1.041,"c2_12720","7",54318643,3.70692381714435e-05,4.430986,4.30103,TRUE,108,1,0.959
0.967,"CSBrote.C",0.967,"GAPIT","additive",1.012,"c2_21934","4",5765944,6.74488843674569e-08,7.171025,4.896857,TRUE,81,1,0.988
0.966,"CPFlor.L",0.966,"GAPIT","additive",1.013,"c1_8194","3",55211205,7.4981169782486e-06,5.125048,4.896857,TRUE,81,1,0.987
0.964,"CSBrote.C",0.967,"GAPIT","additive",1.012,"c2_51974","8",2472934,4.63560265599629e-12,11.333894,4.896857,TRUE,78,1,0.988
0.959,"CPulpa.C",0.959,"GWASpoly","additive",0.977,"c1_7874","2",43712601,3.63078054770101e-07,6.44,4.9,TRUE,81,1,0.977
0.959,"CPulpa.C",0.959,"GWASpoly","additive",0.977,"c2_14491","1",67248400,1.07151930523761e-05,4.97,4.9,TRUE,81,1,0.977
0.95,"CPBrote.L",0.95,"GAPIT","additive",1.035,"c1_5936","11",28989434,3.63036289306436e-06,5.44005,4.896857,TRUE,81,1,0.965
0.95,"CPBrote.L",0.95,"GAPIT","additive",1.035,"c1_5940","11",29258142,4.14696386428646e-06,5.38227,4.896857,TRUE,81,1,0.965
0.95,"CPBrote.L",0.95,"GAPIT","additive",1.035,"c1_11237","11",13277951,4.78209002235405e-06,5.320382,4.896857,TRUE,81,1,0.965
0.948,"CPBrote.H",0.95,"GAPIT","additive",1.035,"c2_51974","8",2472934,5.81468626936329e-19,18.235474,4.896857,TRUE,78,1,0.965
0.936,"CPBrote.C",0.936,"GAPIT","additive",0.945,"c1_5940","11",29258142,1.22711701902284e-05,4.911114,4.896857,TRUE,81,1,0.945
0.935,"CPulpa.L",0.935,"GWASpoly","additive",1.057,"c1_7874","2",43712601,1.54881661891248e-07,6.81,4.9,TRUE,81,1,0.943
0.935,"CPulpa.L",0.935,"GWASpoly","additive",1.057,"c2_47202","2",44641059,5.24807460249772e-06,5.28,4.9,TRUE,81,1,0.943
0.93,"CPFlor.H",0.932,"GAPIT","additive",1.061,"c2_32702","8",1899939,5.66019342410075e-08,7.247169,4.896857,TRUE,78,1,0.939
0.919,"CSTuber.C",0.922,"SHEsis","additive",1.112,"c2_12976","4",66094837,4.37e-06,5.359519,4.896857,TRUE,105,1,0.888
0.901,"CSPulpa.H",0.878,"GAPIT","additive",1.138,"c2_36872","7",3452120,5.03942944973161e-08,7.297619,4.896857,TRUE,105,1,0.862
0.901,"CSPulpa.H",0.878,"GAPIT","additive",1.138,"c2_36859","7",3398145,3.38635207664938e-06,5.470268,4.896857,TRUE,105,1,0.862
0.898,"CPFlor.L",0.898,"TASSEL","additive",1.146,"c1_7964","2",38139240,7.15154707746195e-06,5.1456,4.30103,TRUE,108,1,0.854
0.898,"CPFlor.L",0.898,"TASSEL","additive",1.146,"c2_12720","7",54318643,4.12817840482057e-05,4.384242,4.30103,TRUE,108,1,0.854
0.897,"CSTuber.C",0.897,"SHEsis","additive",1.112,"c2_47301","5",6523999,3.41e-06,5.467246,4.896857,TRUE,81,1,0.888
0.897,"CSTuber.C",0.897,"SHEsis","additive",1.112,"c1_590","1",78822269,7.77e-06,5.109579,4.896857,TRUE,81,1,0.888
0.897,"CPulpa.L",0.897,"GAPIT","additive",0.888,"c1_7874","2",43712601,8.61409658161843e-06,5.06479,4.896857,TRUE,81,1,0.888
0.889,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c1_7964","2",38139240,3.89637427339991e-09,8.409339,4.30103,TRUE,108,1,0.841
0.889,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_12720","7",54318643,3.05651659400703e-07,6.514773,4.30103,TRUE,108,1,0.841
0.889,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c1_4319","11",1240937,1.19250644084639e-06,5.923539,4.30103,TRUE,108,1,0.841
0.889,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_27271","2",42001715,1.09581862342198e-05,4.960261,4.30103,TRUE,108,1,0.841
0.889,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_53273","11",10339933,1.25930920010458e-05,4.899868,4.30103,TRUE,108,1,0.841
0.889,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_53521","1",12643802,3.18732788863993e-05,4.496573,4.30103,TRUE,108,1,0.841
0.889,"CSPulpa.H",0.889,"SHEsis","additive",0.842,"c2_34958","4",56187339,1.16e-05,4.935542,4.896857,TRUE,108,1,0.842
0.887,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_36872","7",3452120,5.41e-07,6.266803,4.896857,TRUE,105,1,0.842
0.887,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_36859","7",3398145,7.24e-06,5.140261,4.896857,TRUE,105,1,0.842
0.886,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c1_14992","10",53500596,2.81194478218927e-06,5.550993,4.30103,TRUE,105,1,0.841
0.886,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_51390","3",1033702,3.12444529090949e-06,5.505227,4.30103,TRUE,105,1,0.841
0.886,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_49910","1",86380115,3.87646153014094e-06,5.411565,4.30103,TRUE,105,1,0.841
0.886,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_36577","1",84761046,8.40261434570856e-06,5.075586,4.30103,TRUE,105,1,0.841
0.886,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_38952","2",26857322,1.53544356071264e-05,4.813766,4.30103,TRUE,105,1,0.841
0.883,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_54916","12",50520906,1.86582254604473e-05,4.72913,4.30103,TRUE,102,1,0.841
0.883,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_45643","7",2001373,4.40188391336471e-05,4.356361,4.30103,TRUE,102,1,0.841
0.883,"CPFlor.H",0.889,"TASSEL","additive",0.841,"c2_18549","7",55778768,4.63006829935226e-05,4.334413,4.30103,TRUE,102,1,0.841
0.878,"CSPulpa.H",0.878,"GAPIT","additive",1.138,"c1_11907","9",58172429,4.1671081291795e-06,5.380165,4.896857,TRUE,81,1,0.862
0.876,"CSBrote.L",0.876,"GAPIT","additive",0.858,"c2_21934","4",5765944,2.39738936315418e-08,7.620261,4.896857,TRUE,81,1,0.858
0.873,"CSBrote.L",0.876,"GAPIT","additive",0.858,"c2_51974","8",2472934,3.60761234029869e-07,6.44278,4.896857,TRUE,78,1,0.858
0.871,"CTallo.H",0.871,"GAPIT","additive",0.851,"c2_27439","2",34015955,1.22782947713179e-05,4.910862,4.896857,TRUE,81,1,0.851
0.869,"CPBrote.L",0.869,"GWASpoly","additive",1.152,"c1_5940","11",29258142,2.18776162394955e-06,5.66,4.9,TRUE,81,1,0.848
0.869,"CPBrote.L",0.869,"GWASpoly","additive",1.152,"c1_5936","11",28989434,2.39883291901949e-06,5.62,4.9,TRUE,81,1,0.848
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_29450","3",5231620,5.59e-16,15.252588,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_13628","11",38340411,7.76e-15,14.110138,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_21915","4",5978666,3.28e-14,13.484126,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_12405","7",53517936,1.87e-10,9.728158,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_2551","1",78177940,2.79e-10,9.554396,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c1_730","1",78044268,1.07e-09,8.970616,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_38555","2",45126941,3.42e-09,8.465974,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_18964","0",45998630,7.47e-09,8.126679,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_2571","1",78284593,1.32e-08,7.879426,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_39220","9",2606808,1.56e-08,7.806875,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c1_12564","4",61951232,4.47e-08,7.349692,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_42756","7",53172895,1.14e-07,6.943095,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_14589","1",67677246,1.15e-06,5.939302,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_42807","7",53249056,1.31e-06,5.882729,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c1_3241","1",82422668,1.73e-06,5.761954,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_14609","1",67743305,3.55e-06,5.449772,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c1_1341","9",4558118,9.57e-06,5.019088,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_68","3",57124156,1.09e-05,4.962574,4.896857,TRUE,81,1,0.842
0.864,"CSPulpa.H",0.864,"SHEsis","additive",0.842,"c2_43229","4",46957891,1.23e-05,4.910095,4.896857,TRUE,81,1,0.842
0.862,"CPFlor.L",0.862,"GWASpoly","additive",1.197,"c1_7964","2",38139240,6.30957344480193e-07,6.2,4.9,TRUE,108,1,0.803
0.853,"CPBrote.L",0.856,"TASSEL","additive",1.206,"c2_49313","11",10087686,1.78314882868468e-05,4.748812,4.294025,TRUE,105,1,0.794
0.85,"CPBrote.L",0.856,"TASSEL","additive",1.206,"c1_14763","8",48388972,2.56525600279128e-05,4.590869,4.294025,TRUE,102,1,0.794
0.85,"CPBrote.L",0.856,"TASSEL","additive",1.206,"c2_51051","8",48748977,3.11885575765451e-05,4.506005,4.294025,TRUE,102,1,0.794
0.85,"CPBrote.L",0.856,"TASSEL","additive",1.206,"c2_23828","5",782722,3.19387358432651e-05,4.495682,4.294025,TRUE,102,1,0.794
0.85,"CPBrote.L",0.856,"TASSEL","additive",1.206,"c2_24556","12",59404785,3.930055662587e-05,4.405601,4.294025,TRUE,102,1,0.794
0.843,"CTallo.C",0.843,"GAPIT","additive",0.811,"c1_11459","2",45124985,1.10650328656033e-05,4.956047,4.896857,TRUE,81,1,0.811
0.837,"CPFlor.L",0.837,"GWASpoly","additive",1.197,"c1_11495","2",24792151,7.41310241300918e-06,5.13,4.9,TRUE,81,1,0.803
0.837,"CPFlor.L",0.837,"GWASpoly","additive",1.197,"c1_8194","3",55211205,9.77237220955811e-06,5.01,4.9,TRUE,81,1,0.803
0.832,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_56627","11",11020656,6.43940264085168e-07,6.191154,4.303628,TRUE,108,1,0.76
0.832,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_39342","4",61680075,3.56384328949458e-05,4.448081,4.303628,TRUE,108,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_57401","9",47335903,7.77173370735101e-10,9.109482,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_50391","2",33624476,1.56507319358636e-09,8.805465,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_4200","9",37679162,5.64690527323994e-09,8.248189,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c2_38405","1",63687206,7.52064754563672e-09,8.123745,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c1_13289","1",6218981,1.8474977478725e-08,7.733416,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c1_8186","7",3086913,4.74233445258186e-07,6.324008,4.303628,TRUE,105,1,0.76
0.829,"CPulpa.H",0.832,"TASSEL","additive",0.76,"c1_8019","10",49714737,5.90808264409057e-07,6.228553,4.303628,TRUE,105,1,0.76
