SAMPLES,GEBVs(BRR),ACTUAL
15062362,34.5,42
15061954,37.137,42
15062339,35.854,42
15061482,36.175,43
15062104,35.424,37
15061707,34.37,41
15061567,35.291,42
15061964,31.061,30
15061488,33.357,30
15061438,33.372,50
15061814,33.209,31
15061721,33.192,30
15061601,34.505,30
15061719,31.024,27
15061629,35.948,31
15061477,35.27,31
15061761,31.095,27
15061336,33.905,42
15061386,35.337,42
15061305,34.217,27
15061676,34.512,37
15061523,30.131,29
15061763,33.826,42
15061385,30.304,29
15062133,32.59,27
15061333,35.3,41
15061627,36.921,27
15061731,33.358,41
15061641,33.333,31
15061330,35.39,42
15061626,32.957,27
15062147,38.602,42
15061487,33.547,42
15060536,34.478,41
15061261,37.043,42
15061389,33.308,27
15060101,31.067,27
15061397,30.454,33
15061551,35.899,42
15061539,30.334,30
15062115,32.357,29
15061361,34.653,31
15061669,38.378,42
15062359,41.429,41
15061690,33.292,42
15061308,33.365,33
15062372,36.175,41
15061342,34.61,41
15061281,35.785,42
15061932,39.278,42
15061370,37.139,37
15061630,29.683,27
15061789,36.161,37
15061666,37.419,27
15062143,34.023,30
15061297,32.802,28
15061907,37.527,27
15061538,30.23,27
15062371,35.271,42
15061685,34.057,27
15062081,33.864,29
15061969,37.795,42
15061498,33.168,43
15061271,37.512,42
15062344,32.544,30
15061279,33.847,42
15062144,30.358,42
15061722,34.744,37
15061768,33.811,27
15061557,37.024,37
15061434,38.528,50
15060072,38.204,27
15061405,32.94,31
15062052,37.17,33
15062098,37.079,42
15061916,34.487,43
15061377,37.072,41
15061633,37.568,30
15061702,38.296,30
15061614,32.907,42
15061368,35.399,27
15061520,32.387,30
15060082,33.823,30
15061656,36.729,27
15061331,35.559,42
15061327,37.055,50
15062074,36.758,27
15061300,32.277,27
15061776,36.192,42
15061462,34.908,27
15061302,35.046,33
15061957,35.592,29
15061514,37.152,30
15060909,39.159,41
15062063,34.556,37
15060090,35.247,31
15061301,36.247,42
15061423,37.25,31
15061453,32.357,30
15060215,33.057,31
15062119,35.301,42
15061537,31.055,27
15061667,34.078,41
15062123,37.817,42
15061710,29.721,30
15061258,35.411,29
15061443,36.298,41
15060050,35.347,42
15060110,30.245,27
15062053,36.95,30
15061764,30.609,43
15061799,33.691,30
