SAMPLES,c1_10001,c1_10924,c1_11495,c1_11920,c1_12108,c1_12152,c1_13135,c1_13863,c1_15218,c1_2641,c1_4464,c1_5837,c1_7029,c1_7192,c1_7964,c1_8194,c1_9619,c1_9878,c2_12720,c2_13821,c2_1486,c2_18549,c2_18684,c2_21309,c2_25179,c2_26741,c2_28666,c2_3108,c2_31181,c2_32056,c2_32952,c2_36650,c2_39191,c2_39576,c2_41406,c2_45698,c2_46749,c2_4884,c2_49313,c2_49770,c2_50283,c2_50324,c2_51567,c2_52205,c2_52800,c2_54613,c2_6683,c2_680,c2_8253,c2_8867
15060021,3,4,0,1,4,4,0,4,0,4,4,1,2,1,2,4,4,4,3,2,1,4,4,4,2,4,4,3,4,4,4,4,3,3,4,2,1,1,1,2,1,1,4,0,4,0,4,1,3,4
15060027,4,4,0,1,4,4,0,4,1,4,2,0,2,3,3,4,4,4,1,2,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,1,4,2,3,0,4,4,4,0,4,0,4,3,1,4
15060039,3,4,0,1,4,3,1,4,3,4,4,0,2,2,4,4,4,2,3,0,3,4,4,4,4,2,3,2,4,4,3,4,4,4,3,1,1,1,1,2,4,4,3,0,4,0,4,3,0,3
15060042,4,4,0,1,4,4,0,4,1,4,4,0,1,3,2,4,4,3,4,1,3,4,4,4,2,3,3,2,4,4,3,4,4,4,4,1,3,1,1,NA,3,3,4,0,4,0,4,3,2,4
15060050,3,3,0,1,4,3,1,4,1,3,3,0,3,4,2,4,4,3,3,1,3,3,4,4,2,3,1,3,3,4,3,2,2,3,3,1,2,1,1,2,3,3,4,0,3,0,3,3,3,4
15060056,4,4,0,3,3,3,0,4,1,3,4,1,3,2,0,4,3,2,0,4,0,3,4,4,3,4,3,4,4,3,3,4,4,4,4,1,3,0,2,0,1,1,4,1,4,0,4,0,4,4
15060063,4,4,0,0,4,4,0,4,2,4,1,0,2,2,4,4,4,3,3,3,2,4,4,4,4,4,3,3,4,4,3,4,4,4,4,2,3,2,3,1,2,2,3,0,4,0,4,2,0,4
15060070,4,4,0,1,4,4,0,4,1,4,3,0,1,2,3,4,4,4,1,1,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,3,2,1,2,1,3,3,3,0,3,0,4,3,0,4
15060072,3,3,0,3,4,3,0,4,2,4,3,0,0,4,2,4,3,3,3,3,1,2,2,2,3,3,2,2,4,3,3,3,3,4,4,1,1,3,3,0,3,3,4,2,3,1,4,1,0,4
15060082,3,4,0,2,4,4,0,4,2,4,3,0,3,2,4,4,4,4,2,1,2,4,4,4,4,4,2,4,4,3,4,4,4,4,4,1,4,1,2,0,4,4,4,0,3,0,4,2,3,4
15060085,4,4,0,0,3,4,1,4,1,4,1,0,1,3,2,4,4,2,4,3,3,4,4,4,3,4,3,2,4,4,4,4,3,4,3,3,3,0,1,2,3,3,3,0,4,0,4,3,1,3
15060097,3,3,0,2,4,3,2,3,2,4,3,1,0,3,3,4,4,3,1,3,4,3,3,3,3,3,3,1,3,4,3,3,4,3,2,0,2,1,4,0,1,1,2,0,4,1,3,4,3,2
15060101,4,3,1,2,4,3,0,4,0,4,4,1,0,2,3,3,2,2,1,3,2,2,1,3,3,2,2,3,4,2,3,3,2,4,4,2,2,1,2,1,3,3,NA,2,4,1,3,2,1,4
15060102,4,4,0,1,3,3,1,3,0,3,4,1,0,0,2,4,3,2,2,3,2,4,4,3,2,3,4,3,3,3,2,4,3,3,3,1,4,0,1,2,2,2,4,1,4,1,4,2,3,3
15060110,4,4,0,1,4,4,0,4,1,4,3,0,1,2,3,4,4,4,1,1,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,3,2,1,2,1,3,3,3,0,3,0,4,3,0,4
15060112,4,4,0,1,4,4,0,4,1,4,2,1,1,2,3,4,4,3,2,2,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,3,2,1,1,1,4,4,4,0,3,0,4,3,1,4
15060114,4,2,0,0,4,4,1,3,1,4,3,0,3,3,2,4,2,2,1,1,3,4,4,4,3,2,2,3,3,2,4,1,3,3,3,3,2,1,3,0,4,4,4,2,4,0,2,3,3,3
15060120,3,4,0,1,3,4,0,4,1,4,4,0,1,0,2,4,4,4,2,2,2,4,4,4,2,3,3,4,4,4,4,4,4,3,4,1,3,0,1,0,3,3,4,0,4,0,4,1,3,4
15060121,4,4,0,2,4,4,0,4,1,4,4,1,1,2,1,4,3,3,1,2,2,4,4,4,3,3,4,4,4,3,3,4,4,4,4,3,3,1,0,1,4,4,4,0,4,0,4,2,3,4
15060122,3,3,0,1,4,3,1,4,1,3,3,0,3,4,2,4,4,3,3,1,3,3,4,4,2,3,1,3,2,4,3,2,2,3,3,1,2,1,1,2,3,3,4,0,3,0,3,3,3,4
15060138,4,4,0,1,4,4,0,4,2,4,2,0,2,2,2,4,4,4,3,2,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,2,1,2,1,0,3,3,4,0,2,0,4,3,0,4
15060160,3,3,0,1,4,3,1,4,2,3,3,0,3,4,2,4,4,3,3,2,3,3,4,4,2,3,1,3,2,4,3,2,2,3,3,1,2,2,1,NA,3,3,4,0,3,0,3,3,3,4
15060187,3,4,0,1,4,4,0,2,1,4,2,1,1,2,2,4,3,3,4,1,3,4,4,4,2,4,2,4,4,3,4,4,4,1,4,3,2,4,2,0,2,2,3,1,3,0,4,3,3,4
15060188,4,4,0,1,4,4,0,4,1,3,3,NA,1,2,2,NA,4,3,1,1,3,4,4,4,3,3,3,3,4,4,3,4,4,4,NA,3,2,1,2,1,3,3,3,0,2,0,4,3,0,4
15060190,4,4,0,2,4,4,0,4,0,4,3,0,1,1,2,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,2,NA,4,4,3,0,4,0,4,4,2,4
15060191,4,4,0,0,4,4,0,4,1,4,3,0,1,4,2,4,1,3,1,1,3,4,4,4,4,3,1,3,4,NA,4,4,4,4,4,4,1,1,2,2,4,4,3,2,4,0,4,3,2,4
15060215,4,2,0,0,4,4,1,3,1,4,3,0,3,3,2,4,2,2,1,1,3,4,4,4,3,2,2,3,3,2,4,2,3,3,3,3,2,1,3,0,4,4,4,2,4,0,2,3,3,3
15060313,2,2,0,2,4,3,1,4,1,4,3,1,1,3,1,4,3,2,3,2,4,4,4,4,2,3,1,2,3,3,4,2,2,2,3,2,1,2,2,0,4,4,3,1,4,0,2,4,3,4
15060345,4,4,0,0,4,4,0,4,1,4,3,1,1,1,2,4,4,4,1,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,2,2,2,1,1,4,4,4,0,3,0,4,3,1,4
15060383,3,2,0,2,4,3,1,4,1,4,3,1,1,3,1,4,3,2,3,2,4,4,4,4,2,3,1,2,3,3,4,2,2,2,3,2,1,2,2,0,4,4,3,1,4,0,2,4,3,4
15060420,4,4,0,0,4,4,0,4,1,4,3,1,1,1,2,4,4,4,1,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,2,2,2,1,1,4,4,4,0,3,0,4,3,1,4
15060543,4,4,0,1,4,3,0,4,1,2,3,2,3,3,1,4,4,4,3,2,0,4,4,4,1,4,3,1,4,4,4,4,4,3,4,2,2,3,4,0,3,3,2,0,4,0,4,0,1,4
15060570,4,4,0,0,4,4,0,2,2,4,1,0,2,3,3,4,4,4,3,2,3,4,4,2,3,4,2,3,4,4,2,4,2,3,4,2,2,4,2,0,4,4,4,0,3,1,4,3,1,4
15060797,4,4,0,1,4,4,0,4,2,4,1,1,3,3,2,4,4,2,3,4,1,4,4,3,3,4,2,3,4,4,3,4,4,3,4,1,2,2,3,0,2,2,2,0,4,1,4,1,0,4
15060846,3,2,0,1,4,3,1,4,1,3,3,0,3,4,2,4,4,3,3,1,3,3,4,4,2,3,1,3,2,4,3,3,2,3,3,1,2,1,1,2,3,3,4,0,3,0,3,3,3,4
