SAMPLES,c1_13962,c1_15225,c1_15470,c1_16540,c1_16542,c1_3098,c1_3497,c1_3499,c1_4347,c1_5112,c1_7187,c1_7871,c1_7872,c1_7874,c1_8069,c1_8541,c1_9014,c2_10681,c2_11101,c2_1296,c2_12976,c2_14491,c2_14939,c2_14980,c2_15047,c2_16362,c2_19135,c2_20799,c2_21041,c2_22024,c2_22744,c2_23776,c2_27887,c2_27900,c2_32257,c2_34091,c2_4030,c2_45035,c2_47199,c2_47202,c2_48818,c2_49017,c2_50028,c2_53347,c2_53914,c2_58249,c2_686,c2_7401,c2_791,c2_9137
15061942,0,1,0,2,3,4,3,0,3,2,3,2,3,1,4,0,2,4,1,0,2,2,4,2,1,0,3,3,1,2,4,3,3,1,4,0,2,0,2,2,1,0,3,0,2,2,3,1,4,4
15061763,0,3,0,1,4,3,1,1,3,4,3,2,3,1,4,0,1,3,3,0,1,4,4,2,0,0,3,1,0,1,3,4,4,2,4,0,3,1,1,3,0,1,3,1,2,1,2,1,4,3
15061801,0,2,1,1,3,2,1,1,4,1,3,3,4,0,2,1,1,3,0,0,4,1,3,1,2,0,3,0,1,2,2,1,4,2,4,0,3,0,1,4,0,2,2,1,3,2,2,0,4,4
15061494,2,1,1,0,4,4,2,1,2,2,4,4,4,0,4,0,2,4,1,0,3,2,4,0,4,0,3,2,1,2,2,4,4,0,4,0,4,0,0,4,1,2,4,0,2,3,3,1,4,4
15061613,0,3,1,2,3,NA,3,2,1,2,4,3,3,0,3,0,0,3,1,0,2,2,4,1,3,0,1,1,1,3,1,1,3,2,4,0,2,0,0,4,1,2,3,1,3,1,3,0,4,3
15062137,0,1,1,1,4,4,2,1,3,3,3,4,4,0,4,0,2,3,2,0,2,2,4,0,0,1,2,2,0,1,3,4,3,1,3,0,1,1,0,4,0,1,4,0,3,1,2,0,3,4
15061319,0,1,0,1,4,4,2,1,3,1,3,3,3,1,4,0,1,3,1,0,2,2,4,2,2,0,2,2,1,1,3,3,4,2,4,0,2,1,2,3,0,1,4,0,2,3,3,1,4,4
15062142,0,0,1,2,4,4,3,1,3,3,2,3,4,0,2,1,1,4,2,0,4,3,3,0,2,1,2,2,1,2,2,2,3,3,3,0,3,0,0,4,2,1,3,1,2,2,3,1,3,4
15060320,0,2,0,2,3,3,3,1,4,3,3,3,3,1,4,0,0,3,1,0,2,2,4,2,2,0,4,2,0,2,3,4,4,1,4,1,1,1,3,2,1,1,3,1,1,1,2,0,4,3
15061768,1,1,2,3,3,4,2,0,1,3,4,4,4,0,3,0,2,4,2,1,2,3,3,0,1,0,3,2,0,2,3,4,3,2,4,0,1,0,0,4,0,1,4,0,1,1,4,0,4,4
15061522,2,1,2,1,3,3,2,0,2,2,4,4,4,0,4,1,1,4,2,0,2,3,3,2,1,0,3,1,0,1,2,2,4,1,4,0,3,1,0,4,0,2,3,1,2,1,2,0,4,3
15060081,0,1,1,1,4,4,2,1,3,1,3,3,3,1,4,0,1,3,2,1,2,2,4,2,2,0,2,2,1,1,3,2,4,2,4,0,2,1,2,3,0,1,4,0,2,2,2,1,4,4
15061656,0,0,1,2,4,4,3,2,1,2,4,4,4,0,4,0,1,2,0,1,1,1,4,0,3,0,2,2,2,1,1,2,4,2,4,0,2,0,0,4,0,NA,4,1,2,2,2,0,4,2
15061759,1,0,2,1,4,4,4,1,2,3,4,4,4,0,2,0,1,4,1,1,2,4,3,0,2,0,4,1,0,2,2,4,4,2,4,1,1,0,1,4,0,1,4,0,NA,2,3,0,4,4
15061928,1,0,2,0,4,4,2,0,1,3,4,3,3,1,3,1,1,4,1,1,4,1,2,1,3,1,1,2,1,2,3,4,3,1,3,0,0,1,2,1,1,1,3,0,2,3,3,0,3,4
15061454,1,2,0,1,4,4,2,0,2,1,3,2,2,0,4,0,1,4,1,1,3,3,4,2,4,1,2,1,0,2,4,3,4,1,3,0,3,1,0,4,0,0,4,0,1,2,4,2,3,4
15061605,0,3,0,1,3,3,2,1,3,2,3,3,3,0,1,0,2,4,1,0,1,1,4,1,3,1,2,1,0,2,2,2,4,1,3,0,4,0,0,4,1,1,3,2,3,1,3,0,3,4
15060087,0,2,1,2,3,4,2,0,4,3,4,4,4,0,4,0,1,4,3,0,2,2,4,0,4,0,3,2,0,0,3,4,4,2,4,0,0,0,0,4,2,1,3,0,1,3,3,0,4,4
15061619,0,1,1,1,4,4,2,1,3,3,3,4,4,0,4,0,2,3,2,0,2,2,4,0,0,1,2,2,0,1,3,4,3,1,3,0,1,1,0,4,0,1,4,0,3,1,2,0,3,4
15060090,0,2,1,2,2,3,1,0,4,1,4,2,2,1,3,1,1,4,1,0,2,3,3,3,1,1,2,1,1,2,1,1,3,1,3,0,2,1,1,3,0,3,3,1,2,2,1,0,3,4
15061731,0,1,1,1,4,4,2,1,3,3,3,4,4,0,4,0,2,3,2,0,2,2,4,0,0,1,2,2,0,1,3,4,3,1,3,0,1,1,0,4,0,1,4,0,3,1,2,0,3,4
15061655,0,2,2,3,4,3,3,1,3,2,4,3,3,1,3,1,1,3,2,1,2,3,3,1,1,1,2,0,1,2,2,1,4,3,3,1,2,1,1,4,0,1,2,1,2,3,1,2,3,2
15061661,0,3,1,2,3,NA,3,2,2,2,4,3,3,0,3,0,0,3,2,0,2,2,4,1,3,0,1,1,1,3,1,1,3,2,4,0,2,0,0,4,1,2,3,1,3,1,3,0,4,3
15061499,0,0,0,1,4,4,2,1,2,1,4,3,3,1,4,0,2,3,0,0,1,3,4,2,3,0,3,0,0,1,1,2,4,4,4,0,2,0,1,3,0,2,4,0,2,3,4,0,4,4
15061647,0,1,0,1,4,4,2,1,3,1,3,3,3,1,4,0,1,3,1,0,2,1,4,2,2,0,2,2,1,1,3,3,4,2,4,0,2,1,2,3,0,1,4,0,2,3,3,1,4,4
15061612,0,2,2,2,3,4,0,0,2,3,4,3,4,0,4,0,2,4,2,0,2,4,4,2,1,0,2,2,0,0,3,4,3,2,4,0,1,1,0,4,0,1,4,1,2,2,3,1,4,2
15061742,0,0,0,1,4,4,2,1,1,1,4,3,3,1,4,0,2,3,0,0,1,3,4,2,3,0,3,0,0,1,1,2,4,4,4,0,2,0,1,3,0,2,4,0,2,3,4,0,4,4
15061710,2,1,1,1,3,3,4,2,3,3,4,3,3,1,4,1,1,3,1,0,1,3,2,2,2,0,2,1,0,1,1,4,4,1,4,0,3,1,1,3,0,NA,3,1,3,4,1,1,4,2
15062372,0,2,1,1,4,3,4,1,3,1,2,3,3,1,4,0,1,3,1,0,3,4,4,2,1,1,3,1,0,3,3,2,3,2,3,0,2,2,1,3,0,1,4,0,1,2,3,1,3,4
15061583,0,3,1,2,3,NA,3,2,1,2,4,3,3,0,3,0,0,3,1,0,2,2,4,2,3,0,1,1,1,3,1,1,3,2,4,0,2,0,0,4,1,2,3,1,3,1,3,0,4,3
15061767,0,2,1,1,4,3,2,1,3,2,3,3,3,1,4,0,2,3,2,0,2,3,4,2,2,0,1,1,0,2,3,4,4,2,4,0,1,0,1,3,0,1,3,0,2,3,1,1,4,4
15062130,0,1,0,2,4,4,2,1,2,1,4,4,4,0,3,0,3,3,2,0,1,1,4,0,2,0,1,3,0,1,3,3,3,1,4,0,2,1,0,4,1,1,4,0,2,2,3,0,4,4
15061637,0,1,0,1,4,4,2,1,3,1,3,3,3,1,4,0,1,3,1,0,2,2,4,2,2,0,2,2,1,1,3,3,4,2,4,0,2,1,2,3,0,1,4,0,2,3,3,1,4,4
15061337,0,2,2,2,4,3,3,1,2,2,4,3,3,1,4,0,0,3,1,0,2,4,4,2,1,0,2,2,0,2,3,3,3,1,4,0,1,0,1,3,0,1,3,0,2,1,2,1,4,3
